z,uni,y,value
Kenya,Demand: GWh,2024,13760.000000000002
Kenya,Demand: GWh,2030,18679.99999999997
Kenya,Demand: GWh,2036,25956.0
Kenya,Electricity demand for H2 production: GWh,2024,1e-06
Kenya,Electricity demand for H2 production: GWh,2030,1e-06
Kenya,Electricity demand for H2 production: GWh,2036,1e-06
Kenya,Total Demand (Including P to H2): GWh,2024,1e-06
Kenya,Total Demand (Including P to H2): GWh,2030,1e-06
Kenya,Total Demand (Including P to H2): GWh,2036,1e-06
Kenya,Total production: GWh,2024,16131.198393888202
Kenya,Total production: GWh,2030,18878.98974764405
Kenya,Total production: GWh,2036,20284.16900857491
Kenya,Unmet demand: GWh,2024,0.0007961951118417
Kenya,Unmet demand: GWh,2030,0.0002753680214866
Kenya,Unmet demand: GWh,2036,0.0003317118804456
Kenya,Surplus generation: GWh,2024,0.0044160782369879
Kenya,Surplus generation: GWh,2030,0.0012127458779154
Kenya,Surplus generation: GWh,2036,0.0017848653820791
Kenya,Imports exchange: GWh,2024,1469.8367926824951
Kenya,Imports exchange: GWh,2030,2899.2069781394907
Kenya,Imports exchange: GWh,2036,10744.990395531262
Kenya,Exports exchange: GWh,2024,3782.9917267087776
Kenya,Exports exchange: GWh,2030,3010.442485914596
Kenya,Exports exchange: GWh,2036,4743.614003017294
Kenya,Net interchange: GWh,2024,-2313.1549340262823
Kenya,Net interchange: GWh,2030,-111.23550777510536
Kenya,Net interchange: GWh,2036,6001.376392513968
Kenya,Net interchange Ratio: GWh,2024,-0.1681071899728402
Kenya,Net interchange Ratio: GWh,2030,-0.0059547916367829
Kenya,Net interchange Ratio: GWh,2036,0.2312134532483421
Burundi,Demand: GWh,2024,1105.4000000000003
Burundi,Demand: GWh,2030,2308.01084
Burundi,Demand: GWh,2036,3081.810298000003
Burundi,Electricity demand for H2 production: GWh,2024,1e-06
Burundi,Electricity demand for H2 production: GWh,2030,1e-06
Burundi,Electricity demand for H2 production: GWh,2036,1e-06
Burundi,Total Demand (Including P to H2): GWh,2024,1e-06
Burundi,Total Demand (Including P to H2): GWh,2030,1e-06
Burundi,Total Demand (Including P to H2): GWh,2036,1e-06
Burundi,Total production: GWh,2024,844.9522082995071
Burundi,Total production: GWh,2030,2542.5374027356866
Burundi,Total production: GWh,2036,3312.222142002709
Burundi,Unmet demand: GWh,2024,31.09779429572883
Burundi,Unmet demand: GWh,2030,0.000204144226213
Burundi,Unmet demand: GWh,2036,0.0002610517231344
