z,y,value
Kenya,2024,3.966563468106394e-06
Kenya,2030,1.6171791439338163e-06
Kenya,2036,1.86296585081713e-06
Burundi,2024,0.2591896331107228
Burundi,2030,0.49877545728921
Burundi,2036,0.5327823902591933
Djibouti,2024,0.7370045275024648
Djibouti,2030,0.1420989539981982
Djibouti,2036,0.1466843501157101
Drc_E,2030,1.337134970041325e-06
Drc_E,2036,1.857947186367724e-06
Egypt,2024,0.3144605409545623
Egypt,2030,0.3007867419236165
Egypt,2036,0.2618587247883966
Ethiopia,2024,3.320191540432275e-07
Ethiopia,2030,1.0027319508740344e-07
Ethiopia,2036,5.477412294558508e-08
Libya,2024,0.4353503293769396
Libya,2030,0.4559714224877614
Libya,2036,0.4525761763967293
Rwanda,2024,0.0038097130287615
Rwanda,2030,0.0104317854609472
Rwanda,2036,0.0006889476203937
Somaliland,2030,1.7532816240872334e-05
Somaliland,2036,0.078033318120719
Mogadishu,2030,0.6277672983206487
Mogadishu,2036,0.6272773684750371
SomaliaROC,2030,0.6270107654834285
SomaliaROC,2036,0.6270741842136903
SouthSudan,2024,0.661135483265246
SouthSudan,2030,0.0545381326866754
SouthSudan,2036,0.0047190886322285
Sudan,2024,0.3982344847984857
Sudan,2030,0.3296365554542073
Sudan,2036,0.1912975512690402
Tanzania,2024,0.2773389779683934
Tanzania,2030,0.0252357477676045
Tanzania,2036,0.0145154985846673
Uganda,2024,1.3796956898620568e-06
Uganda,2030,1.821473094823577e-05
Uganda,2036,7.58387866652454e-06
