z,g,uni,y,value
Kenya,Cummins_Cogeneration_Kenya_Limited,Annuity Cost in MUSD,2030,19.134676593661556
Kenya,Cummins_Cogeneration_Kenya_Limited,Annuity Cost in MUSD,2036,19.13489087867549
Kenya,Cummins_Cogeneration_Kenya_Limited,Fixed Cost in MUSD,2030,17.559039496673872
Kenya,Cummins_Cogeneration_Kenya_Limited,Fixed Cost in MUSD,2036,17.559236136476223
Kenya,Cummins_Cogeneration_Kenya_Limited,Variable Cost in MUSD,2030,2.499539966897018
Kenya,Cummins_Cogeneration_Kenya_Limited,Variable Cost in MUSD,2036,2.499567670995235
Kenya,Cummins_Cogeneration_Kenya_Limited,Spinning Reserve Cost in MUSD,2030,0.2013283376408345
Kenya,Cummins_Cogeneration_Kenya_Limited,Spinning Reserve Cost in MUSD,2036,0.2024266851920022
Kenya,Cummins_Cogeneration_Kenya_Limited,Capacity Factor,2030,0.6500027811054849
Kenya,Cummins_Cogeneration_Kenya_Limited,Capacity Factor,2036,0.6500027062909077
Kenya,Municipal_Waste_to_Energy_,Annuity Cost in MUSD,2030,4.133937937121064
Kenya,Municipal_Waste_to_Energy_,Annuity Cost in MUSD,2036,4.133997904110929
Kenya,Municipal_Waste_to_Energy_,Fixed Cost in MUSD,2030,3.793530513013864
Kenya,Municipal_Waste_to_Energy_,Fixed Cost in MUSD,2036,3.793585542046541
Kenya,Municipal_Waste_to_Energy_,Variable Cost in MUSD,2030,0.5400197897486964
Kenya,Municipal_Waste_to_Energy_,Variable Cost in MUSD,2036,0.5400274630379834
Kenya,Municipal_Waste_to_Energy_,Spinning Reserve Cost in MUSD,2030,0.0408483104400947
Kenya,Municipal_Waste_to_Energy_,Spinning Reserve Cost in MUSD,2036,0.0409119952578959
Kenya,Municipal_Waste_to_Energy_,Capacity Factor,2030,0.6500129049569133
Kenya,Municipal_Waste_to_Energy_,Capacity Factor,2036,0.6500127120705911
Kenya,Roadtech_Solutions,Annuity Cost in MUSD,2030,1.0891344537025909
Kenya,Roadtech_Solutions,Annuity Cost in MUSD,2036,1.089077126422826
Kenya,Roadtech_Solutions,Fixed Cost in MUSD,2030,0.9994501237657228
Kenya,Roadtech_Solutions,Fixed Cost in MUSD,2036,0.9993975170773004
Kenya,Roadtech_Solutions,Variable Cost in MUSD,2030,0.1422824595145738
Kenya,Roadtech_Solutions,Variable Cost in MUSD,2036,0.1422748067529292
Kenya,Roadtech_Solutions,Spinning Reserve Cost in MUSD,2030,0.0105789449709277
Kenya,Roadtech_Solutions,Spinning Reserve Cost in MUSD,2036,0.0105849632663307
Kenya,Roadtech_Solutions,Capacity Factor,2030,0.6500490424765311
Kenya,Roadtech_Solutions,Capacity Factor,2036,0.6500482948364277
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2024,2.141458218661546
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2030,2.178026251302276
Kenya,Small_Biomass_Thika_Way,Annuity Cost in MUSD,2036,2.177967022162603
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2024,1.9651207198563667
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2030,1.9986775728458204
Kenya,Small_Biomass_Thika_Way,Fixed Cost in MUSD,2036,1.9986232209053645
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2024,0.2797455634548744
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2030,0.2845224821352152
Kenya,Small_Biomass_Thika_Way,Variable Cost in MUSD,2036,0.2845145815521293
Kenya,Small_Biomass_Thika_Way,Spinning Reserve Cost in MUSD,2024,0.0210037858512465
