z,uni,y,q,value
Kenya,Demand: GWh,2024,Q1,3461.6939240208403
Kenya,Demand: GWh,2024,Q2,3466.3656824782643
Kenya,Demand: GWh,2024,Q3,3313.3724188498954
Kenya,Demand: GWh,2024,Q4,3518.567974651005
Kenya,Demand: GWh,2030,Q1,4701.430536836603
Kenya,Demand: GWh,2030,Q2,4706.822584239383
Kenya,Demand: GWh,2030,Q3,4493.639398230185
Kenya,Demand: GWh,2030,Q4,4778.107480693807
Kenya,Demand: GWh,2036,Q1,6535.329650159804
Kenya,Demand: GWh,2036,Q2,6541.546940356442
Kenya,Demand: GWh,2036,Q3,6237.965658386013
Kenya,Demand: GWh,2036,Q4,6641.157751097745
Kenya,Total production: GWh,2024,Q1,3936.684739810327
Kenya,Total production: GWh,2024,Q2,4017.0568108696702
Kenya,Total production: GWh,2024,Q3,4075.0355183916768
Kenya,Total production: GWh,2024,Q4,4102.421324816539
Kenya,Total production: GWh,2030,Q1,4856.267167124862
Kenya,Total production: GWh,2030,Q2,3968.885165125287
Kenya,Total production: GWh,2030,Q3,5014.520396862866
Kenya,Total production: GWh,2030,Q4,5039.317018531022
Kenya,Total production: GWh,2036,Q1,5330.954060245632
Kenya,Total production: GWh,2036,Q2,4245.148312346257
Kenya,Total production: GWh,2036,Q3,5183.534662757828
Kenya,Total production: GWh,2036,Q4,5524.531973225166
Kenya,Unmet demand: GWh,2024,Q1,0.0001985664007919
Kenya,Unmet demand: GWh,2024,Q2,0.0001987273597264
Kenya,Unmet demand: GWh,2024,Q3,0.0001992284049856
Kenya,Unmet demand: GWh,2024,Q4,0.0001996729463377
Kenya,Unmet demand: GWh,2030,Q1,6.884138661396358e-05
Kenya,Unmet demand: GWh,2030,Q2,6.776920326194307e-05
Kenya,Unmet demand: GWh,2030,Q3,6.902990953807995e-05
Kenya,Unmet demand: GWh,2030,Q4,6.97275220727092e-05
Kenya,Unmet demand: GWh,2036,Q1,8.280513342818861e-05
Kenya,Unmet demand: GWh,2036,Q2,8.199221265144815e-05
Kenya,Unmet demand: GWh,2036,Q3,8.246256838035457e-05
Kenya,Unmet demand: GWh,2036,Q4,8.445196598565458e-05
Kenya,Surplus generation: GWh,2024,Q1,0.0011059112162956
Kenya,Surplus generation: GWh,2024,Q2,0.0011078401802876
Kenya,Surplus generation: GWh,2024,Q3,0.0011045062035221
Kenya,Surplus generation: GWh,2024,Q4,0.0010978206368824
Kenya,Surplus generation: GWh,2030,Q1,0.0002785100408419
Kenya,Surplus generation: GWh,2030,Q2,0.0003557253176054
Kenya,Surplus generation: GWh,2030,Q3,0.0003020255645117
Kenya,Surplus generation: GWh,2030,Q4,0.0002764849549562
Kenya,Surplus generation: GWh,2036,Q1,0.0004210925528957
Kenya,Surplus generation: GWh,2036,Q2,0.0004926142682286
Kenya,Surplus generation: GWh,2036,Q3,0.0004882083346352
Kenya,Surplus generation: GWh,2036,Q4,0.0003829502263194
Kenya,Imports exchange: GWh,2024,Q1,341.3651778917323
Kenya,Imports exchange: GWh,2024,Q2,382.2288417958003
Kenya,Imports exchange: GWh,2024,Q3,386.42828869867617
Kenya,Imports exchange: GWh,2024,Q4,359.8144842962832
Kenya,Imports exchange: GWh,2030,Q1,702.0675605023357
Kenya,Imports exchange: GWh,2030,Q2,761.2146180670514
Kenya,Imports exchange: GWh,2030,Q3,717.7521598601991
Kenya,Imports exchange: GWh,2030,Q4,718.1726397099096
Kenya,Imports exchange: GWh,2036,Q1,2646.2557020513154
Kenya,Imports exchange: GWh,2036,Q2,2675.964552338138
Kenya,Imports exchange: GWh,2036,Q3,2714.070057216967
Kenya,Imports exchange: GWh,2036,Q4,2708.7000839248403
Kenya,Exports exchange: GWh,2024,Q1,805.2140212569788
Kenya,Exports exchange: GWh,2024,Q2,920.0220190282552
Kenya,Exports exchange: GWh,2024,Q3,1132.5978106004077
Kenya,Exports exchange: GWh,2024,Q4,925.1578758231408
Kenya,Exports exchange: GWh,2030,Q1,835.6797642591217
Kenya,Exports exchange: GWh,2030,Q2,0.1768323296315949
Kenya,Exports exchange: GWh,2030,Q3,1216.9158843435398
Kenya,Exports exchange: GWh,2030,Q4,957.6700049823072
Kenya,Exports exchange: GWh,2036,Q1,1362.2366118200966
Kenya,Exports exchange: GWh,2036,Q2,297.6017424926442
Kenya,Exports exchange: GWh,2036,Q3,1573.1911809237108
Kenya,Exports exchange: GWh,2036,Q4,1510.584467780844
Burundi,Demand: GWh,2024,Q1,274.4590534691587
Burundi,Demand: GWh,2024,Q2,278.63095173890827
Burundi,Demand: GWh,2024,Q3,278.9836293626975
Burundi,Demand: GWh,2024,Q4,273.3263654292352
Burundi,Demand: GWh,2030,Q1,573.0545237384036
Burundi,Demand: GWh,2030,Q2,581.7652044227126
Burundi,Demand: GWh,2030,Q3,582.501574770368
Burundi,Demand: GWh,2030,Q4,570.6895370685144
Burundi,Demand: GWh,2036,Q1,765.1806923801701
Burundi,Demand: GWh,2036,Q2,776.8117752893266
Burundi,Demand: GWh,2036,Q3,777.7950261830097
Burundi,Demand: GWh,2036,Q4,762.022804147495
Burundi,Total production: GWh,2024,Q1,211.6859746202764
Burundi,Total production: GWh,2024,Q2,221.1794661908098
Burundi,Total production: GWh,2024,Q3,208.8406089939624
Burundi,Total production: GWh,2024,Q4,203.2461584944592
Burundi,Total production: GWh,2030,Q1,631.3731210581217
Burundi,Total production: GWh,2030,Q2,639.489758503252
Burundi,Total production: GWh,2030,Q3,641.7542596896413
