uni,value
Annualized capex: $m,46046.15401704789
Fixed O&M: $m,32599.25518350045
Variable O&M: $m,12348.533881187135
Spinning Reserve costs: $m,1518.4571621218322
NPV of system cost: $m,182288.30418010583
Additional transmission costs: $m,51.68697207603038
Fuel cost: $m,85335.75134468112
Unmet demand cost: $m,3149.967244989387
Sys Spinning Reserve violation: $m,0.0024593680776231483
Sys Planning Reserve violation: $m,0.0003012643489350243
Zonal Spinning Reserve violation: $m,190.49759420777073
Zonal Planning Reserve violation: $m,1047.9749993451805
Excess Generation Costs: $m,9.137791729576652e-19
Total Generation: GWh,6566272.133714694
Total Demand: GWh,6554168.741972902
Total Capacity Added: MW,55005.224853361804
Total Investment Undiscounted: $m,99358.98245161548
Total Trade: GWh,55496.46833047299
Total USE: GWh,3150.2731429203377
Total Emission: mt,1536.5640318647104
Total Demand for H2 production: GWh,1e-06
Total Demand including demand for H2 production: GWh,1e-06
Total H2 produced: mmBTU,1e-06
Total External Demand of H2: mmBTU,1e-06
Total Unmet External Demand of H2: mmBTU,1e-06
Total H2 for power production: mmBTU,1e-06
