g,y,value
South,2024,1.0
South,2030,1.0
South,2036,1.0
OCGT,2024,1.0
OCGT,2030,1.0
OCGT,2036,1.0
CCGT,2024,1.0
CCGT,2030,1.0
CCGT,2036,1.0
CTH_10,2024,1.0
CTH_10,2030,1.0
CTH_10,2036,1.0
CTH_30,2024,1.0
CTH_30,2030,1.0
CTH_30,2036,1.0
CTH_5,2024,1.0
CTH_5,2030,1.0
CTH_5,2036,1.0
Buhiga,2024,0.329945205479452
Buhiga,2030,0.329945205479452
Buhiga,2036,0.329945205479452
Gikonge,2024,0.329945205479452
Gikonge,2030,0.329945205479452
Gikonge,2036,0.329945205479452
Kayenzi,2024,0.329945205479452
Kayenzi,2030,0.329945205479452
Kayenzi,2036,0.329945205479452
Marangara,2024,0.329945205479452
Marangara,2030,0.329945205479452
Marangara,2036,0.329945205479452
Mugere,2024,0.329945205479452
Mugere,2030,0.329945205479452
Mugere,2036,0.329945205479452
Nyemanga,2024,0.5170958904109589
Nyemanga,2030,0.5170958904109589
Nyemanga,2036,0.5170958904109589
Rusumo_Falls,2024,1.0
Rusumo_Falls,2030,1.0
Rusumo_Falls,2036,1.0
Ruvyironza,2024,1.0
Ruvyironza,2030,1.0
Ruvyironza,2036,1.0
RUZB_007,2024,1.0
RUZB_007,2030,1.0
RUZB_007,2036,1.0
Ruzizi_I,2024,0.5148767123287671
Ruzizi_I,2030,0.5148767123287671
Ruzizi_I,2036,0.5148767123287671
Ruzizi_II,2024,0.5170958904109589
Ruzizi_II,2030,0.5170958904109589
Ruzizi_II,2036,0.5170958904109589
Rwegura,2024,1.0
Rwegura,2030,1.0
Rwegura,2036,1.0
Dama015,2024,0.5198630136986301
Dama015,2030,0.5198630136986301
Dama015,2036,0.5198630136986301
Kabu16,2024,0.329945205479452
Kabu16,2030,0.329945205479452
Kabu16,2036,0.329945205479452
Kabu23,2024,0.329945205479452
Kabu23,2030,0.329945205479452
Kabu23,2036,0.329945205479452
Kirasa-karonge,2024,0.5198630136986301
Kirasa-karonge,2030,0.5198630136986301
Kirasa-karonge,2036,0.5198630136986301
Mpanda_BUR,2024,0.329945205479452
Mpanda_BUR,2030,0.329945205479452
Mpanda_BUR,2036,0.329945205479452
Mule037_(Mulembwe),2024,0.5198630136986301
Mule037_(Mulembwe),2030,0.5198630136986301
Mule037_(Mulembwe),2036,0.5198630136986301
Mulembwe,2024,0.329945205479452
Mulembwe,2030,0.329945205479452
Mulembwe,2036,0.329945205479452
Mushara,2024,0.329945205479452
Mushara,2030,0.329945205479452
Mushara,2036,0.329945205479452
Sigu011,2024,0.329945205479452
Sigu011,2030,0.329945205479452
Sigu011,2036,0.329945205479452
Waga_(Kanka),2024,0.92
Waga_(Kanka),2030,0.92
Waga_(Kanka),2036,0.92
Centrale_tourbe_(Kayanza),2024,1.0
Centrale_tourbe_(Kayanza),2030,1.0
Centrale_tourbe_(Kayanza),2036,1.0
Jiji,2024,0.5170958904109589
Jiji,2030,0.5170958904109589
Jiji,2036,0.5170958904109589
Ruvyi102_(Ruvyironza),2024,1.0
Ruvyi102_(Ruvyironza),2030,1.0
Ruvyi102_(Ruvyironza),2036,1.0
Centrale_thermique_(Dechets_Municipaux),2024,1.0
Centrale_thermique_(Dechets_Municipaux),2030,1.0
Centrale_thermique_(Dechets_Municipaux),2036,1.0
Gikuka_(KIKU002),2024,1.0
Gikuka_(KIKU002),2030,1.0
Gikuka_(KIKU002),2036,1.0
BoulaosM01,2024,1.0
BoulaosM01,2030,1.0
BoulaosM01,2036,1.0
BoulaosM02,2024,1.0
BoulaosM02,2030,1.0
BoulaosM02,2036,1.0
BoulaosM03,2024,1.0
BoulaosM03,2030,1.0
BoulaosM03,2036,1.0
BoulaosM04,2024,1.0
BoulaosM04,2030,1.0
BoulaosM04,2036,1.0
BoulaosM05,2024,1.0
BoulaosM05,2030,1.0
BoulaosM05,2036,1.0
BoulaosM06,2024,1.0
BoulaosM06,2030,1.0
BoulaosM06,2036,1.0
ICE_Aggregate_DJI,2024,1.0
ICE_Aggregate_DJI,2030,1.0
ICE_Aggregate_DJI,2036,1.0
Obock,2024,1.0
Obock,2030,1.0
Obock,2036,1.0
Tadjourah,2024,1.0
Tadjourah,2030,1.0
Tadjourah,2036,1.0
HFO_Aggregate_DJI,2024,1.0
HFO_Aggregate_DJI,2030,1.0
HFO_Aggregate_DJI,2036,1.0
MaraboutG01,2024,1.0
MaraboutG01,2030,1.0
MaraboutG01,2036,1.0
MaraboutG12,2024,1.0
MaraboutG12,2030,1.0
MaraboutG12,2036,1.0
MaraboutG13,2024,1.0
MaraboutG13,2030,1.0
MaraboutG13,2036,1.0
MaraboutG14,2024,1.0
MaraboutG14,2030,1.0
MaraboutG14,2036,1.0
MaraboutG15,2024,1.0
MaraboutG15,2030,1.0
MaraboutG15,2036,1.0
MaraboutG16,2024,1.0
MaraboutG16,2030,1.0
MaraboutG16,2036,1.0
MaraboutG17,2024,1.0
MaraboutG17,2030,1.0
MaraboutG17,2036,1.0
MaraboutG18,2024,1.0
MaraboutG18,2030,1.0
MaraboutG18,2036,1.0
MaraboutG21,2024,1.0
MaraboutG21,2030,1.0
MaraboutG21,2036,1.0
MaraboutG22,2024,1.0
MaraboutG22,2030,1.0
MaraboutG22,2036,1.0
MaraboutG23,2024,1.0
MaraboutG23,2030,1.0
MaraboutG23,2036,1.0
MaraboutG24,2024,1.0
MaraboutG24,2030,1.0
MaraboutG24,2036,1.0
MaraboutG25,2024,1.0
MaraboutG25,2030,1.0
MaraboutG25,2036,1.0
MaraboutG31,2024,1.0
MaraboutG31,2030,1.0
MaraboutG31,2036,1.0
MaraboutG32,2024,1.0
MaraboutG32,2030,1.0
MaraboutG32,2036,1.0
Battery_5MW_DJI,2024,1.0
Battery_5MW_DJI,2030,1.0
Battery_5MW_DJI,2036,1.0
HFO_Project_01_DJI,2024,1.0
