z,q,d,t,y,value
Kenya,Q1,d1,t1,2024,53.71413246255355
Kenya,Q1,d1,t1,2030,50.0762545189547
Kenya,Q1,d1,t1,2036,33.22697459359898
Kenya,Q1,d1,t2,2024,53.71131877879504
Kenya,Q1,d1,t2,2030,50.07612555416728
Kenya,Q1,d1,t2,2036,33.22676913940506
Kenya,Q1,d1,t3,2024,53.71000503735798
Kenya,Q1,d1,t3,2030,50.0760549743396
Kenya,Q1,d1,t3,2036,33.22666865200012
Kenya,Q1,d1,t4,2024,53.70957976123099
Kenya,Q1,d1,t4,2030,50.0760177390418
Kenya,Q1,d1,t4,2036,33.22661011292712
Kenya,Q1,d1,t5,2024,53.70945549587389
Kenya,Q1,d1,t5,2030,50.076020080805314
Kenya,Q1,d1,t5,2036,33.22662268433202
Kenya,Q1,d1,t6,2024,53.71359089101597
Kenya,Q1,d1,t6,2030,50.07643181446296
Kenya,Q1,d1,t6,2036,33.22708107839592
Kenya,Q1,d1,t7,2024,53.71953748830899
Kenya,Q1,d1,t7,2030,50.07719503155986
Kenya,Q1,d1,t7,2036,33.22770293821799
Kenya,Q1,d1,t8,2024,53.71890803555412
Kenya,Q1,d1,t8,2030,50.07693595853235
Kenya,Q1,d1,t8,2036,33.227597147237496
Kenya,Q1,d1,t9,2024,53.72860317501164
Kenya,Q1,d1,t9,2030,50.07783501696565
Kenya,Q1,d1,t9,2036,33.228681842524715
Kenya,Q1,d1,t10,2024,53.735844057874445
Kenya,Q1,d1,t10,2030,50.07820609003929
Kenya,Q1,d1,t10,2036,33.22953332020251
Kenya,Q1,d1,t11,2024,53.73751449576061
Kenya,Q1,d1,t11,2030,50.07827868786302
Kenya,Q1,d1,t11,2036,33.229866149875015
Kenya,Q1,d1,t12,2024,53.73278406039954
Kenya,Q1,d1,t12,2030,50.07782411618914
Kenya,Q1,d1,t12,2036,33.22933967364244
Kenya,Q1,d1,t13,2024,53.732633236538426
Kenya,Q1,d1,t13,2030,50.0777513090951
Kenya,Q1,d1,t13,2036,33.22935324263642
Kenya,Q1,d1,t14,2024,53.73480012182084
Kenya,Q1,d1,t14,2030,50.07806725158034
Kenya,Q1,d1,t14,2036,33.229547488857925
Kenya,Q1,d1,t15,2024,53.73024375066935
Kenya,Q1,d1,t15,2030,50.07783281798687
Kenya,Q1,d1,t15,2036,33.228861111326374
Kenya,Q1,d1,t16,2024,53.73602108597151
Kenya,Q1,d1,t16,2030,50.07841856547351
Kenya,Q1,d1,t16,2036,33.22941827707313
Kenya,Q1,d1,t17,2024,53.730885970895486
Kenya,Q1,d1,t17,2030,50.0786697671023
Kenya,Q1,d1,t17,2036,33.229166550970994
Kenya,Q1,d1,t18,2024,53.73355423372802
Kenya,Q1,d1,t18,2030,50.07831290315605
Kenya,Q1,d1,t18,2036,33.22906971240599
Kenya,Q1,d1,t19,2024,53.73313183777096
Kenya,Q1,d1,t19,2030,50.07859580538646
Kenya,Q1,d1,t19,2036,33.229195068202806
Kenya,Q1,d1,t20,2024,54.14360564509833
Kenya,Q1,d1,t20,2030,51.62327542225942
Kenya,Q1,d1,t20,2036,34.32170887942929
Kenya,Q1,d1,t21,2024,63.10235010301686
Kenya,Q1,d1,t21,2030,50.17865231781804
Kenya,Q1,d1,t21,2036,34.364120971493215
Kenya,Q1,d1,t22,2024,53.91916703881805
Kenya,Q1,d1,t22,2030,50.09296690910114
Kenya,Q1,d1,t22,2036,33.25380365262316
Kenya,Q1,d1,t23,2024,53.74494744122479
Kenya,Q1,d1,t23,2030,50.08009339563544
Kenya,Q1,d1,t23,2036,33.23095449762976
Kenya,Q1,d1,t24,2024,53.71885698350631
Kenya,Q1,d1,t24,2030,50.07688853323298
Kenya,Q1,d1,t24,2036,33.22757513574611
Kenya,Q1,d2,t1,2024,53.71265579624034
Kenya,Q1,d2,t1,2030,50.07645192069079
Kenya,Q1,d2,t1,2036,33.22703017785201
Kenya,Q1,d2,t2,2024,53.71306238104228
Kenya,Q1,d2,t2,2030,50.07660826184959
Kenya,Q1,d2,t2,2036,33.22711074102429
Kenya,Q1,d2,t3,2024,53.7107612378277
Kenya,Q1,d2,t3,2030,50.07622336366973
Kenya,Q1,d2,t3,2036,33.22683704271386
Kenya,Q1,d2,t4,2024,53.71023577584588
Kenya,Q1,d2,t4,2030,50.07616420536553
Kenya,Q1,d2,t4,2036,33.226783457434536
Kenya,Q1,d2,t5,2024,53.710679387811865
Kenya,Q1,d2,t5,2030,50.07625552140524
Kenya,Q1,d2,t5,2036,33.226844426058
Kenya,Q1,d2,t6,2024,53.71308395952858
Kenya,Q1,d2,t6,2030,50.07658520781024
Kenya,Q1,d2,t6,2036,33.22710709556109
Kenya,Q1,d2,t7,2024,53.71649918670176
Kenya,Q1,d2,t7,2030,50.0769500262012
Kenya,Q1,d2,t7,2036,33.22746149144685
Kenya,Q1,d2,t8,2024,53.71947745021803
Kenya,Q1,d2,t8,2030,50.07742249333132
Kenya,Q1,d2,t8,2036,33.22792550537744
Kenya,Q1,d2,t9,2024,53.72624572840854
Kenya,Q1,d2,t9,2030,50.07748472883903
Kenya,Q1,d2,t9,2036,33.22845067677651
Kenya,Q1,d2,t10,2024,53.73425449717435
Kenya,Q1,d2,t10,2030,50.077984872059865
Kenya,Q1,d2,t10,2036,33.22942990407365
Kenya,Q1,d2,t11,2024,53.72979071520497
Kenya,Q1,d2,t11,2030,50.07757816070036
Kenya,Q1,d2,t11,2036,33.228911726654154
Kenya,Q1,d2,t12,2024,53.72947321710719
Kenya,Q1,d2,t12,2030,50.0774784075229
Kenya,Q1,d2,t12,2036,33.228864514306814
Kenya,Q1,d2,t13,2024,53.72526636482858
Kenya,Q1,d2,t13,2030,50.07749409729092
Kenya,Q1,d2,t13,2036,33.228461699863736
Kenya,Q1,d2,t14,2024,53.72143670185335
Kenya,Q1,d2,t14,2030,50.077315730569495
Kenya,Q1,d2,t14,2036,33.22809743791462
Kenya,Q1,d2,t15,2024,53.72020604071904
Kenya,Q1,d2,t15,2030,50.07733378378228
Kenya,Q1,d2,t15,2036,33.22798843646962
Kenya,Q1,d2,t16,2024,53.72227591147837
Kenya,Q1,d2,t16,2030,50.0777252695954
Kenya,Q1,d2,t16,2036,33.22826956771602
Kenya,Q1,d2,t17,2024,53.72490213258824
Kenya,Q1,d2,t17,2030,50.07839800481138
Kenya,Q1,d2,t17,2036,33.22879220986145
Kenya,Q1,d2,t18,2024,53.72298911028677
Kenya,Q1,d2,t18,2030,50.07795988357386
Kenya,Q1,d2,t18,2036,33.22828724976208
Kenya,Q1,d2,t19,2024,53.72822071263417
Kenya,Q1,d2,t19,2030,50.07939542439838
Kenya,Q1,d2,t19,2036,33.229661467714045
Kenya,Q1,d2,t20,2024,53.79026034874841
Kenya,Q1,d2,t20,2030,50.09244116078315
Kenya,Q1,d2,t20,2036,33.24722312969081
Kenya,Q1,d2,t21,2024,54.23832239632163
Kenya,Q1,d2,t21,2030,50.217798239477645
Kenya,Q1,d2,t21,2036,34.36083387455898
Kenya,Q1,d2,t22,2024,53.86282654362418
Kenya,Q1,d2,t22,2030,50.09655261237671
Kenya,Q1,d2,t22,2036,33.25860737531865
Kenya,Q1,d2,t23,2024,53.741872006155255
Kenya,Q1,d2,t23,2030,50.07914020424446
Kenya,Q1,d2,t23,2036,33.2300241755823
Kenya,Q1,d2,t24,2024,53.72057284220716
Kenya,Q1,d2,t24,2030,50.07712349431514
Kenya,Q1,d2,t24,2036,33.2277072148292
Kenya,Q1,d3,t1,2024,53.70756475094621
Kenya,Q1,d3,t1,2030,50.07603720595346
Kenya,Q1,d3,t1,2036,33.226897235243946
Kenya,Q1,d3,t2,2024,53.707434436525205
Kenya,Q1,d3,t2,2030,50.076029046201405
Kenya,Q1,d3,t2,2036,33.22686521604678
Kenya,Q1,d3,t3,2024,53.70744767993882
Kenya,Q1,d3,t3,2030,50.07602978184361
Kenya,Q1,d3,t3,2036,33.226867774691925
Kenya,Q1,d3,t4,2024,53.70736629022736
Kenya,Q1,d3,t4,2030,50.07602422043925
Kenya,Q1,d3,t4,2036,33.22684516555281
Kenya,Q1,d3,t5,2024,53.70734593682391
Kenya,Q1,d3,t5,2030,50.0760227345296
Kenya,Q1,d3,t5,2036,33.22683914369308
Kenya,Q1,d3,t6,2024,53.70754831949655
Kenya,Q1,d3,t6,2030,50.07603596772108
Kenya,Q1,d3,t6,2036,33.22689223508187
Kenya,Q1,d3,t7,2024,53.707717761306704
Kenya,Q1,d3,t7,2030,50.076045904436825
Kenya,Q1,d3,t7,2036,33.2269297146404
Kenya,Q1,d3,t8,2024,53.70782844171743
Kenya,Q1,d3,t8,2030,50.07605192364783
Kenya,Q1,d3,t8,2036,33.22695019698946
Kenya,Q1,d3,t9,2024,53.70814381983645
Kenya,Q1,d3,t9,2030,50.07606165625856
Kenya,Q1,d3,t9,2036,33.22697259734503
Kenya,Q1,d3,t10,2024,53.7083590997646
Kenya,Q1,d3,t10,2030,50.076069816965166
Kenya,Q1,d3,t10,2036,33.22698600726785
Kenya,Q1,d3,t11,2024,53.708403657028704
Kenya,Q1,d3,t11,2030,50.076069429626905
Kenya,Q1,d3,t11,2036,33.22698805026365
Kenya,Q1,d3,t12,2024,53.70847482466515
Kenya,Q1,d3,t12,2030,50.07606906987623
Kenya,Q1,d3,t12,2036,33.22699199046479
Kenya,Q1,d3,t13,2024,53.7085564865854
Kenya,Q1,d3,t13,2030,50.0760710659506
Kenya,Q1,d3,t13,2036,33.22699765426135
Kenya,Q1,d3,t14,2024,53.70823173982617
Kenya,Q1,d3,t14,2030,50.07606284514375
Kenya,Q1,d3,t14,2036,33.226977142508154
Kenya,Q1,d3,t15,2024,53.70817999013835
Kenya,Q1,d3,t15,2030,50.07605856091559
Kenya,Q1,d3,t15,2036,33.22697052996197
Kenya,Q1,d3,t16,2024,53.70825974944685
Kenya,Q1,d3,t16,2030,50.07606080493306
Kenya,Q1,d3,t16,2036,33.22697318024103
Kenya,Q1,d3,t17,2024,53.70823540774049
Kenya,Q1,d3,t17,2030,50.07606167107534
Kenya,Q1,d3,t17,2036,33.22697147767453
Kenya,Q1,d3,t18,2024,53.70822396375326
Kenya,Q1,d3,t18,2030,50.07606260062972
Kenya,Q1,d3,t18,2036,33.22697073438909
