z,f,y,value
Kenya,Diesel,2030,0.0022441673505238
Kenya,Diesel,2036,0.0076303200759552
Kenya,Gas,2030,0.0316390058517145
Kenya,Gas,2036,0.2136079720660145
Kenya,Solar,2024,331.0110101763097
Kenya,Solar,2030,363.01803628146735
Kenya,Solar,2036,393.02736484248624
Kenya,Water,2024,832.0
Kenya,Water,2030,1060.0240360849295
Kenya,Water,2036,1329.954459709135
Kenya,HFO,2024,772.0
Kenya,HFO,2030,772.0063575819983
Kenya,HFO,2036,571.0443904344681
Kenya,Wind,2024,476.0
Kenya,Wind,2030,476.0
Kenya,Wind,2036,476.0
Kenya,Battery,2024,250.0
Kenya,Battery,2030,250.0575154288655
Kenya,Battery,2036,251.16559085186648
Kenya,Geothermal,2024,1358.0129851056108
Kenya,Geothermal,2030,1421.898500212262
Kenya,Geothermal,2036,1356.891573624786
Kenya,Uranium,2036,0.0004782413448357
Kenya,Biomass,2024,45.65120719856367
Kenya,Biomass,2030,287.5265509841776
Kenya,Biomass,2036,307.52879696822475
Kenya,Coal,2030,0.0006857059071385
Kenya,Coal,2036,0.0025701246565979
Kenya,Pumped,2036,0.0038021564155773
Burundi,Diesel,2024,34.0
Burundi,Diesel,2030,34.00461247714926
Burundi,Diesel,2036,34.0077293045219
Burundi,Gas,2030,283.7548387309837
Burundi,Gas,2036,393.8212771517663
Burundi,Solar,2024,8.0
Burundi,Solar,2030,8.002319579822535
Burundi,Solar,2036,8.004916728436081
Burundi,Water,2024,113.70122326257663
Burundi,Water,2030,113.71846218905952
Burundi,Water,2036,113.7343290172138
Burundi,Peat,2030,0.0009602980244567
Burundi,Peat,2036,0.0021903626207879
Burundi,Waste,2030,0.0011008748127071
Burundi,Waste,2036,0.0021380224574967
Burundi,HFO,2030,0.005869256111175
Burundi,HFO,2036,0.0101294051721009
Burundi,Biomass,2030,0.0004979449156248
Burundi,Biomass,2036,0.0011485774926908
Djibouti,Diesel,2024,31.4
Djibouti,Diesel,2030,31.404557502218758
Djibouti,Diesel,2036,31.40627236355476
Djibouti,Gas,2030,0.0099342950715682
Djibouti,Gas,2036,30.36388351957499
Djibouti,Solar,2030,50.00108607933812
Djibouti,Solar,2036,228.05192627341887
Djibouti,HFO,2024,83.0
Djibouti,HFO,2030,127.00594070613062
Djibouti,HFO,2036,142.00844155969773
Djibouti,Wind,2024,60.0
Djibouti,Wind,2030,60.0
Djibouti,Wind,2036,60.0
Djibouti,Battery,2030,17.64967702588611
Djibouti,Battery,2036,182.63238560129795
Djibouti,Geothermal,2024,0.0027689345734386
Djibouti,Geothermal,2030,0.0021735724903213
Djibouti,Geothermal,2036,0.0024676782419582
Djibouti,Biomass,2030,1.5148277953384222
Djibouti,Biomass,2036,3.00122554091896
Drc_E,Diesel,2030,0.0045158198662619
Drc_E,Diesel,2036,0.0074705463014345
Drc_E,Solar,2030,0.0014676819235624
Drc_E,Solar,2036,0.0020225320620098
Drc_E,Water,2024,94.80834044079114
Drc_E,Water,2030,108.1705739311077
Drc_E,Water,2036,108.9256544217597
Drc_E,HFO,2030,0.0057692456215428
Drc_E,HFO,2036,0.0097567333101177
Drc_E,Battery,2030,0.0731846724379082
Drc_E,Battery,2036,0.5744426867924407
Drc_E,Biomass,2030,59.53543414000957
Drc_E,Biomass,2036,59.53488327606932
Egypt,Diesel,2030,0.0014521440840632
Egypt,Diesel,2036,0.0067725613088808
Egypt,Gas,2024,46068.0
Egypt,Gas,2030,43801.01991856504
Egypt,Gas,2036,43392.48544994163
Egypt,Solar,2024,2207.0
Egypt,Solar,2030,2207.0054197833906
