From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2032,1,625,452.647843,30,2
Botswana,Zimbabwe,2032,2,549,305.731,30,0
DRC,Angola,2035,2,375,246.8064,30,3
DRC,South_Africa,2037,1,3000,2100.0,30,0
DRC,DRC_South,2032,2,300,885.2,30,3
DRC_South,Zambia,2032,1,826,761.5,30,3
Eswatini,South_Africa,2032,2,0,45.0,30,3
Lesotho,South_Africa,2032,2,0,17.0,30,3
Malawi,Zambia,2030,2,400,191.7,30,2
Malawi,Mozambique,2026,2,300,167.52,30,2
Mozal,Mozambique,2032,1,1000,500.0,30,3
Mozambique,Zambia,2033,2,300,136.2,30,2
Mozambique,South_Africa,2032,2,0,206.0,30,3
Mozambique,Zimbabwe,2033,2,300,107.184,30,0
Mozambique,Eswatini,2032,2,0,182.9484902,30,3
Namibia,Botswana,2034,2,300,344.52,30,0
Namibia,South_Africa,2026,1,925,142.6,30,2
South_Africa,Zimbabwe,2032,2,0,150.394,30,3
South_Africa,Botswana,2032,2,300,128.515,30,0
Tanzania,Mozambique,2034,2,300,150.02,30,3
Tanzania,Malawi,2032,2,300,150.02,30,3
Zambia,Angola,2037,2,300,170.0,30,3
Zambia,Botswana,2032,2,0,131.731,30,3
Zambia,Namibia,2032,2,400,340.0,30,0
Zambia,Zimbabwe,2032,2,410,68.352,30,0
Zambia,Tanzania,2032,2,250,400.0,30,3
