From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2027,1,1514,855,30,2
Angola,Congo,2027,1,1514,102,30,2
Congo,DRC,2027,1,1514,102,30,2
Angola,DRC,2028,1,318,855,30,2
Burundi,Rwanda,2025,4,100,100,30,3
Burundi,DRC,2025,1,750,350,30,3
Cameroon,Chad,2027,1,200,744,30,2
Cameroon,CAR,2032,1,185,855,30,3
Cameroon,Gabon,2035,1,210,160,30,3
Cameroon,EquatorialGuinea,2035,1,210,160,30,3
CAR,DRC,2035,1,0,22,30,3
CAR,Chad,2035,1,0,160,30,3
CAR,Congo,2035,1,185,855,30,3
Gabon,EquatorialGuinea,2035,1,210,160,30,3
Gabon,Congo,2032,1,400,160,30,3
DRC,DRC_South,2030,2,300,885,30,3
