From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
Angola,Namibia,2027,1,1514,855.9,30,2
Cameroon,Chad,2025,1,200,133.7,30,2
Namibia,Angola,2025,1,600,171.2,30,2
Angola,DRC,2026,1,318,855.9,30,2
Angola,Congo,2028,1,1514,204.4,30,2
Burundi,Rwanda,2025,1,100,300,30,2
DRC,Angola,2027,1,1514,204.4,30,2
Namibia,Angola,2027,1,1514,855.9,30,2
Chad,Cameroon,2025,1,200,133.7,30,2
Angola,Namibia,2025,1,600,171.2,30,2
DRC,Angola,2026,1,318,855.9,30,2
Congo,Angola,2028,1,1514,204.4,30,2
Rwanda,Burundi,2025,1,100,300,30,2
Angola,DRC,2027,1,1514,204.4,30,2
Angola,DRC,2050,1,1663,49.2,30,3
Burundi,Rwanda,2023,1,184,28.1,30,3
Cameroon,CAR,2035,1,185,855.9,30,3
Cameroon,Chad,2030,1,1900,1457.2,30,3
EquatorialGuinea,Cameroon,2050,1,210,160.5,30,3
Cameroon,Gabon,2050,1,210,160.5,30,3
Congo,CAR,2027,1,185,855.9,30,3
Congo,Gabon,2024,1,400,160.5,30,3
Burundi,DRC,2022,1,748,356.6,30,3
DRC,Nigeria,2030,1,1030,1935.8,30,3
DRC,South Africa,2030,1,1130,2125.2,30,3
DRC,Egypt,2030,1,2514,4727.5,30,3
Rwanda,DRC,2029,1,600,576.1,30,3
Rwanda,DRC,2030,1,388,576.1,30,3
DRC,Zambia,2031,1,2000,807.8,30,3
Gabon,EquatorialGuinea,2050,1,210,160.5,30,3
Gabon,EquatorialGuinea,2029,1,300,855.9,30,3
Burundi,Rwanda,2029,1,610,96.3,30,3
Tanzania,Rwanda,2022,1,181,278.2,30,3
Tanzania,Burundi,2022,1,1109,42.8,30,3
Cameroon,Nigeria,2033,1,814,169,30,3
