From,To,q,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
NOR,NTE,Q1,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
NTE,NOR,Q1,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
CEN,ORI,Q1,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
ORI,CEN,Q1,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
NTE,NES,Q1,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NES,NTE,Q1,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NTE,OCC,Q1,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
OCC,NTE,Q1,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
NES,ORI,Q1,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
ORI,NES,Q1,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
OCC,ORI,Q1,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
ORI,OCC,Q1,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
OCC,CEN,Q1,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
CEN,OCC,Q1,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
NOR,OCC,Q1,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
OCC,NOR,Q1,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
NES,OCC,Q1,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
OCC,NES,Q1,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
ORI,PEN,Q1,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PEN,ORI,Q1,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
NOR,SIBC,Q1,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
SIBC,NOR,Q1,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
NOR,SIBCS,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIBCS,NOR,Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,NTE,Q2,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
NTE,NOR,Q2,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
CEN,ORI,Q2,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
ORI,CEN,Q2,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
NTE,NES,Q2,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NES,NTE,Q2,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NTE,OCC,Q2,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
OCC,NTE,Q2,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
NES,ORI,Q2,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
ORI,NES,Q2,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
OCC,ORI,Q2,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
ORI,OCC,Q2,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
OCC,CEN,Q2,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
CEN,OCC,Q2,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
NOR,OCC,Q2,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
OCC,NOR,Q2,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
NES,OCC,Q2,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
OCC,NES,Q2,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
ORI,PEN,Q2,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PEN,ORI,Q2,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
NOR,SIBC,Q2,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
SIBC,NOR,Q2,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
NOR,SIBCS,Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIBCS,NOR,Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,NTE,Q3,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
NTE,NOR,Q3,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
CEN,ORI,Q3,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
ORI,CEN,Q3,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
NTE,NES,Q3,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NES,NTE,Q3,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NTE,OCC,Q3,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
OCC,NTE,Q3,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
NES,ORI,Q3,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
ORI,NES,Q3,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
OCC,ORI,Q3,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
ORI,OCC,Q3,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
OCC,CEN,Q3,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
CEN,OCC,Q3,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
NOR,OCC,Q3,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
OCC,NOR,Q3,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
