From,To,q,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
NES,OCC,Q3,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
OCC,NES,Q3,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
ORI,PEN,Q3,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PEN,ORI,Q3,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
NOR,SIBC,Q3,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
SIBC,NOR,Q3,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
NOR,SIBCS,Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIBCS,NOR,Q3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOR,NTE,Q4,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
NTE,NOR,Q4,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980,980
CEN,ORI,Q4,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
ORI,CEN,Q4,7000,7000,7000,7000,9500,9500,9500,9500,9500,9500,9500,9500,9500,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127,10554.127
NTE,NES,Q4,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NES,NTE,Q4,1050,1050,1050,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001,1652.6891000000001
NTE,OCC,Q4,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
OCC,NTE,Q4,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350
NES,ORI,Q4,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
ORI,NES,Q4,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450
OCC,ORI,Q4,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
ORI,OCC,Q4,350,350,350,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887,1309.0887
OCC,CEN,Q4,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
CEN,OCC,Q4,4500,4500,4500,4500,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5131.2674999999999,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997,5965.0083999999997
NOR,OCC,Q4,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
OCC,NOR,Q4,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380,1380
NES,OCC,Q4,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
OCC,NES,Q4,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,4750,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003,5936.3140000000003
ORI,PEN,Q4,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
PEN,ORI,Q4,1200,1200,1200,1200,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
NOR,SIBC,Q4,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
SIBC,NOR,Q4,0,0,0,0,0,0,0,0,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
NOR,SIBCS,Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SIBCS,NOR,Q4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
