zone1,zone2,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
SIBC,CAISO,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
NES,ERCOT,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
NTE,WEPP,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
ORI,GUA,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
NOR,NTE,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NTE,NOR,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
CEN,ORI,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
ORI,CEN,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NTE,NES,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
NES,NTE,1.4E-2,1.7000000000000001E-2,2.3E-2,2.3E-2,3.1E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2,3.2000000000000001E-2
