From,To,EarliestEntry,MaximumNumOfLines,CapacityPerLine,CostPerLine,Life,Status
CEN,OCC,2028,6,500,550,30,3
CEN,ORI,2028,6,500,550,30,3
NES,NTE,2028,6,500,550,30,3
NES,OCC,2028,6,500,650,30,3
NES,ORI,2028,6,500,650,30,3
NOR,NTE,2028,6,500,550,30,3
NOR,OCC,2028,6,500,650,30,3
NTE,OCC,2028,6,500,550,30,3
OCC,ORI,2028,6,500,550,30,3
ORI,PEN,2028,6,500,600,30,3
NOR,SIBC,2028,3,300,500,30,3
NOR,SIBCS,2032,2,200,450,30,3
