zone,season,day,hour,2018
ZONE1,1,1,0,0.5241
ZONE1,1,1,1,0.5393
ZONE1,1,1,2,0.5011
ZONE1,1,1,3,0.5061
ZONE1,1,1,4,0.8437
ZONE1,1,1,5,0.5999
ZONE1,1,1,6,0.6162
ZONE1,1,1,7,0.6901
ZONE1,1,1,8,0.7886
ZONE1,1,1,9,0.9851
ZONE1,1,1,10,0.2576
ZONE1,1,1,11,0.4445
ZONE1,1,1,12,0.4100
ZONE1,1,1,13,0.4364
ZONE1,1,1,14,0.9089
ZONE1,1,1,15,0.4628
ZONE1,1,1,16,0.8565
ZONE1,1,1,17,0.9937
ZONE1,1,1,18,0.2731
ZONE1,1,1,19,0.0758
ZONE1,1,1,20,0.7704
ZONE1,1,1,21,0.7657
ZONE1,1,1,22,0.0343
ZONE1,1,1,23,0.5140
ZONE1,1,2,0,0.1150
ZONE1,1,2,1,0.2518
ZONE1,1,2,2,0.2289
ZONE1,1,2,3,0.8228
ZONE1,1,2,4,0.0302
ZONE1,1,2,5,0.6379
ZONE1,1,2,6,0.8653
ZONE1,1,2,7,0.8144
ZONE1,1,2,8,0.8941
ZONE1,1,2,9,0.2982
ZONE1,1,2,10,0.5624
ZONE1,1,2,11,0.4905
ZONE1,1,2,12,0.9986
ZONE1,1,2,13,0.8690
ZONE1,1,2,14,0.1768
ZONE1,1,2,15,0.8338
ZONE1,1,2,16,0.7247
ZONE1,1,2,17,0.0328
ZONE1,1,2,18,0.2370
ZONE1,1,2,19,0.0502
ZONE1,1,2,20,0.3141
ZONE1,1,2,21,0.9264
ZONE1,1,2,22,0.2707
ZONE1,1,2,23,0.1380
ZONE1,1,3,0,0.4273
ZONE1,1,3,1,0.1967
ZONE1,1,3,2,0.0305
ZONE1,1,3,3,0.4267
ZONE1,1,3,4,0.3113
ZONE1,1,3,5,0.6412
ZONE1,1,3,6,0.2150
ZONE1,1,3,7,0.3076
ZONE1,1,3,8,0.6631
ZONE1,1,3,9,0.8172
ZONE1,1,3,10,0.9949
ZONE1,1,3,11,0.7820
ZONE1,1,3,12,0.4529
ZONE1,1,3,13,0.1374
ZONE1,1,3,14,0.2702
ZONE1,1,3,15,0.5873
ZONE1,1,3,16,0.0155
ZONE1,1,3,17,0.7701
ZONE1,1,3,18,0.5683
ZONE1,1,3,19,0.7958
ZONE1,1,3,20,0.7983
ZONE1,1,3,21,0.4978
ZONE1,1,3,22,0.4428
ZONE1,1,3,23,0.0163
ZONE1,1,4,0,0.1236
ZONE1,1,4,1,0.1626
ZONE1,1,4,2,0.0571
ZONE1,1,4,3,0.2014
ZONE1,1,4,4,0.6563
ZONE1,1,4,5,0.7906
ZONE1,1,4,6,0.0050
