zone,season,day,hour,2018
ZONE1,1,1,0,0.7711
ZONE1,1,1,1,0.5137
ZONE1,1,1,2,0.3878
ZONE1,1,1,3,0.6439
ZONE1,1,1,4,0.0644
ZONE1,1,1,5,0.3593
ZONE1,1,1,6,0.4507
ZONE1,1,1,7,0.3307
ZONE1,1,1,8,0.3710
ZONE1,1,1,9,0.1200
ZONE1,1,1,10,0.2341
ZONE1,1,1,11,0.1751
ZONE1,1,1,12,0.5806
ZONE1,1,1,13,0.1877
ZONE1,1,1,14,0.3068
ZONE1,1,1,15,0.5985
ZONE1,1,1,16,0.7638
ZONE1,1,1,17,0.4856
ZONE1,1,1,18,0.7759
ZONE1,1,1,19,0.1142
ZONE1,1,1,20,0.4416
ZONE1,1,1,21,0.5629
ZONE1,1,1,22,0.3380
ZONE1,1,1,23,0.1834
ZONE1,1,2,0,0.0430
ZONE1,1,2,1,0.4676
ZONE1,1,2,2,0.1189
ZONE1,1,2,3,0.8740
ZONE1,1,2,4,0.9560
ZONE1,1,2,5,0.9883
ZONE1,1,2,6,0.4245
ZONE1,1,2,7,0.2826
ZONE1,1,2,8,0.4786
ZONE1,1,2,9,0.2963
ZONE1,1,2,10,0.8686
ZONE1,1,2,11,0.8505
ZONE1,1,2,12,0.1711
ZONE1,1,2,13,0.6222
ZONE1,1,2,14,0.0456
ZONE1,1,2,15,0.7389
ZONE1,1,2,16,0.0934
ZONE1,1,2,17,0.0370
ZONE1,1,2,18,0.5634
ZONE1,1,2,19,0.3110
ZONE1,1,2,20,0.5480
ZONE1,1,2,21,0.4414
ZONE1,1,2,22,0.2812
ZONE1,1,2,23,0.1196
ZONE1,1,3,0,0.9433
ZONE1,1,3,1,0.4914
ZONE1,1,3,2,0.0091
ZONE1,1,3,3,0.5238
ZONE1,1,3,4,0.7776
ZONE1,1,3,5,0.9360
ZONE1,1,3,6,0.3478
ZONE1,1,3,7,0.4097
ZONE1,1,3,8,0.7042
ZONE1,1,3,9,0.9651
ZONE1,1,3,10,0.1521
ZONE1,1,3,11,0.3689
ZONE1,1,3,12,0.9738
ZONE1,1,3,13,0.2069
ZONE1,1,3,14,0.7875
ZONE1,1,3,15,0.6074
ZONE1,1,3,16,0.7383
ZONE1,1,3,17,0.9657
ZONE1,1,3,18,0.4124
ZONE1,1,3,19,0.0344
ZONE1,1,3,20,0.3860
ZONE1,1,3,21,0.8690
ZONE1,1,3,22,0.7342
ZONE1,1,3,23,0.2653
ZONE1,1,4,0,0.0828
ZONE1,1,4,1,0.6219
ZONE1,1,4,2,0.8752
ZONE1,1,4,3,0.6570
ZONE1,1,4,4,0.2707
ZONE1,1,4,5,0.5393
ZONE1,1,4,6,0.1638
ZONE1,1,4,7,0.0956
ZONE1,1,4,8,0.7067
ZONE1,1,4,9,0.5962
ZONE1,1,4,10,0.3934
ZONE1,1,4,11,0.3306
ZONE1,1,4,12,0.0555
ZONE1,1,4,13,0.0163
ZONE1,1,4,14,0.8252
ZONE1,1,4,15,0.0561
ZONE1,1,4,16,0.6356
ZONE1,1,4,17,0.4226
ZONE1,1,4,18,0.2178
ZONE1,1,4,19,0.8406
ZONE1,1,4,20,0.4029
ZONE1,1,4,21,0.4136
ZONE1,1,4,22,0.9600
ZONE1,1,4,23,0.3136
ZONE1,1,5,0,0.2684
ZONE1,1,5,1,0.9931
ZONE1,1,5,2,0.8976
ZONE1,1,5,3,0.4790
ZONE1,1,5,4,0.1721
ZONE1,1,5,5,0.1637
ZONE1,1,5,6,0.4079
ZONE1,1,5,7,0.5239
ZONE1,1,5,8,0.9347
ZONE1,1,5,9,0.2980
ZONE1,1,5,10,0.8324
ZONE1,1,5,11,0.6797
ZONE1,1,5,12,0.1939
ZONE1,1,5,13,0.6944
ZONE1,1,5,14,0.0746
ZONE1,1,5,15,0.9970
ZONE1,1,5,16,0.3050
ZONE1,1,5,17,0.8666
ZONE1,1,5,18,0.5459
ZONE1,1,5,19,0.3095
ZONE1,1,5,20,0.6600
ZONE1,1,5,21,0.1901
ZONE1,1,5,22,0.9440
ZONE1,1,5,23,0.8080
ZONE1,1,6,0,0.5540
ZONE1,1,6,1,0.6949
ZONE1,1,6,2,0.7019
ZONE1,1,6,3,0.0365
ZONE1,1,6,4,0.8380
ZONE1,1,6,5,0.0083
ZONE1,1,6,6,0.2174
ZONE1,1,6,7,0.2051
ZONE1,1,6,8,0.5112
ZONE1,1,6,9,0.9670
ZONE1,1,6,10,0.0341
ZONE1,1,6,11,0.3430
ZONE1,1,6,12,0.8016
ZONE1,1,6,13,0.8222
ZONE1,1,6,14,0.1765
ZONE1,1,6,15,0.3478
ZONE1,1,6,16,0.2046
ZONE1,1,6,17,0.7229
ZONE1,1,6,18,0.7792
ZONE1,1,6,19,0.8637
ZONE1,1,6,20,0.1832
ZONE1,1,6,21,0.0472
ZONE1,1,6,22,0.9080
ZONE1,1,6,23,0.7511
ZONE1,1,7,0,0.5019
ZONE1,1,7,1,0.9363
ZONE1,1,7,2,0.7857
ZONE1,1,7,3,0.0689
ZONE1,1,7,4,0.7615
ZONE1,1,7,5,0.7909
ZONE1,1,7,6,0.7707
ZONE1,1,7,7,0.8805
ZONE1,1,7,8,0.1636
ZONE1,1,7,9,0.7912
ZONE1,1,7,10,0.0728
ZONE1,1,7,11,0.2377
ZONE1,1,7,12,0.5840
ZONE1,1,7,13,0.1965
ZONE1,1,7,14,0.1531
ZONE1,1,7,15,0.6572
ZONE1,1,7,16,0.9943
ZONE1,1,7,17,0.5078
ZONE1,1,7,18,0.8228
ZONE1,1,7,19,0.4720
ZONE1,1,7,20,0.7679
ZONE1,1,7,21,0.6537
ZONE1,1,7,22,0.3717
ZONE1,1,7,23,0.2710
ZONE1,1,8,0,0.9203
ZONE1,1,8,1,0.3797
ZONE1,1,8,2,0.9723
ZONE1,1,8,3,0.3267
ZONE1,1,8,4,0.3314
ZONE1,1,8,5,0.3936
ZONE1,1,8,6,0.2758
ZONE1,1,8,7,0.0770
ZONE1,1,8,8,0.2405
ZONE1,1,8,9,0.3939
ZONE1,1,8,10,0.9667
ZONE1,1,8,11,0.9638
ZONE1,1,8,12,0.0969
ZONE1,1,8,13,0.0012
ZONE1,1,8,14,0.0783
ZONE1,1,8,15,0.9667
ZONE1,1,8,16,0.7688
ZONE1,1,8,17,0.2005
ZONE1,1,8,18,0.6563
ZONE1,1,8,19,0.6731
ZONE1,1,8,20,0.1531
ZONE1,1,8,21,0.6707
ZONE1,1,8,22,0.2989
ZONE1,1,8,23,0.6921
ZONE1,1,9,0,0.2131
ZONE1,1,9,1,0.1433
ZONE1,1,9,2,0.9177
ZONE1,1,9,3,0.4022
ZONE1,1,9,4,0.4596
ZONE1,1,9,5,0.5190
ZONE1,1,9,6,0.8535
ZONE1,1,9,7,0.1811
ZONE1,1,9,8,0.5655
ZONE1,1,9,9,0.4264
ZONE1,1,9,10,0.7696
ZONE1,1,9,11,0.8810
ZONE1,1,9,12,0.2619
ZONE1,1,9,13,0.9026
ZONE1,1,9,14,0.8466
ZONE1,1,9,15,0.8027
ZONE1,1,9,16,0.4848
ZONE1,1,9,17,0.7811
ZONE1,1,9,18,0.2934
ZONE1,1,9,19,0.4042
ZONE1,1,9,20,0.1005
ZONE1,1,9,21,0.6305
ZONE1,1,9,22,0.1174
ZONE1,1,9,23,0.3967
ZONE1,1,10,0,0.2146
ZONE1,1,10,1,0.2783
ZONE1,1,10,2,0.8696
ZONE1,1,10,3,0.0321
ZONE1,1,10,4,0.1682
ZONE1,1,10,5,0.6796
ZONE1,1,10,6,0.0101
ZONE1,1,10,7,0.8671
ZONE1,1,10,8,0.1759
ZONE1,1,10,9,0.7708
ZONE1,1,10,10,0.1453
ZONE1,1,10,11,0.2630
ZONE1,1,10,12,0.8974
ZONE1,1,10,13,0.7718
ZONE1,1,10,14,0.7126
ZONE1,1,10,15,0.9210
ZONE1,1,10,16,0.5014
ZONE1,1,10,17,0.6083
ZONE1,1,10,18,0.6168
ZONE1,1,10,19,0.3837
ZONE1,1,10,20,0.0614
ZONE1,1,10,21,0.9717
ZONE1,1,10,22,0.8859
ZONE1,1,10,23,0.9632
ZONE1,1,11,0,0.0999
ZONE1,1,11,1,0.9785
ZONE1,1,11,2,0.0097
ZONE1,1,11,3,0.6041
ZONE1,1,11,4,0.3653
ZONE1,1,11,5,0.0094
ZONE1,1,11,6,0.9289
ZONE1,1,11,7,0.8479
ZONE1,1,11,8,0.1884
ZONE1,1,11,9,0.3007
ZONE1,1,11,10,0.0857
ZONE1,1,11,11,0.0137
ZONE1,1,11,12,0.5215
ZONE1,1,11,13,0.4693
ZONE1,1,11,14,0.6824
ZONE1,1,11,15,0.9755
ZONE1,1,11,16,0.9913
ZONE1,1,11,17,0.9839
ZONE1,1,11,18,0.4790
ZONE1,1,11,19,0.7542
ZONE1,1,11,20,0.4728
ZONE1,1,11,21,0.4556
ZONE1,1,11,22,0.8901
ZONE1,1,11,23,0.6943
ZONE1,1,12,0,0.6152
ZONE1,1,12,1,0.5116
ZONE1,1,12,2,0.7478
ZONE1,1,12,3,0.4022
ZONE1,1,12,4,0.0766
ZONE1,1,12,5,0.1858
ZONE1,1,12,6,0.7665
ZONE1,1,12,7,0.3575
ZONE1,1,12,8,0.4554
ZONE1,1,12,9,0.8741
ZONE1,1,12,10,0.4999
ZONE1,1,12,11,0.3489
ZONE1,1,12,12,0.9119
ZONE1,1,12,13,0.2776
ZONE1,1,12,14,0.8721
ZONE1,1,12,15,0.7312
ZONE1,1,12,16,0.8125
ZONE1,1,12,17,0.9202
ZONE1,1,12,18,0.5213
ZONE1,1,12,19,0.8752
ZONE1,1,12,20,0.9815
ZONE1,1,12,21,0.2895
ZONE1,1,12,22,0.3897
ZONE1,1,12,23,0.8833
ZONE1,1,13,0,0.2019
ZONE1,1,13,1,0.4785
ZONE1,1,13,2,0.1757
ZONE1,1,13,3,0.3488
ZONE1,1,13,4,0.2452
ZONE1,1,13,5,0.0850
ZONE1,1,13,6,0.7042
ZONE1,1,13,7,0.6322
ZONE1,1,13,8,0.4772
ZONE1,1,13,9,0.7641
ZONE1,1,13,10,0.1473
ZONE1,1,13,11,0.6928
ZONE1,1,13,12,0.9693
ZONE1,1,13,13,0.9815
ZONE1,1,13,14,0.3285
ZONE1,1,13,15,0.5142
ZONE1,1,13,16,0.2015
ZONE1,1,13,17,0.2964
ZONE1,1,13,18,0.4489
ZONE1,1,13,19,0.0534
ZONE1,1,13,20,0.5693
ZONE1,1,13,21,0.5548
ZONE1,1,13,22,0.1670
ZONE1,1,13,23,0.9049
ZONE1,1,14,0,0.2471
ZONE1,1,14,1,0.7079
ZONE1,1,14,2,0.4152
ZONE1,1,14,3,0.5821
ZONE1,1,14,4,0.1182
ZONE1,1,14,5,0.8310
ZONE1,1,14,6,0.1643
ZONE1,1,14,7,0.6987
ZONE1,1,14,8,0.4135
