paramNames,baseline,ArTur
modeltype,RMIP,RMIP
cplexfile,input/data_blacksea/cplex/cplex_baseline.opt,input/data_blacksea/cplex/cplex_baseline.opt
pSettings,input/data_blacksea/pSettings.csv,input/data_blacksea/pSettings.csv
y,input/data_blacksea/y.csv,input/data_blacksea/y.csv
zcmap,input/data_blacksea/zcmap.csv,input/data_blacksea/zcmap.csv
pHours,input/data_blacksea/pHours.csv,input/data_blacksea/pHours.csv
pDemandProfile,input/data_blacksea/load/pDemandProfile.csv,input/data_blacksea/load/pDemandProfile.csv
pDemandData,input/data_blacksea/load/pDemandData.csv,input/data_blacksea/load/pDemandData.csv
pDemandForecast,input/data_blacksea/load/pDemandForecast.csv,input/data_blacksea/load/pDemandForecast.csv
sRelevant,input/data_blacksea/load/sRelevant.csv,input/data_blacksea/load/sRelevant.csv
pEnergyEfficiencyFactor,input/data_blacksea/load/pEnergyEfficiencyFactor.csv,input/data_blacksea/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_blacksea/supply/pGenDataInput.csv,input/data_blacksea/supply/pGenDataInput.csv
pGenDataInputDefault,input/data_blacksea/supply/pGenDataInputDefault.csv,input/data_blacksea/supply/pGenDataInputDefault.csv
pAvailability,input/data_blacksea/supply/pAvailabilityCustom.csv,input/data_blacksea/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_blacksea/supply/pAvailabilityDefault.csv,input/data_blacksea/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_blacksea/supply/pEvolutionAvailability.csv,input/data_blacksea/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_blacksea/supply/pCapexTrajectoriesCustom.csv,input/data_blacksea/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_blacksea/supply/pCapexTrajectoriesDefault.csv,input/data_blacksea/supply/pCapexTrajectoriesDefault.csv
pCSPData,input/data_blacksea/supply/pCSPData.csv,input/data_blacksea/supply/pCSPData.csv
pFuelPrice,input/data_blacksea/supply/pFuelPrice.csv,input/data_blacksea/supply/pFuelPrice.csv
pVREgenProfile,input/data_blacksea/supply/pVREgenProfile.csv,input/data_blacksea/supply/pVREgenProfile.csv
pVREProfile,input/data_blacksea/supply/pVREProfile.csv,input/data_blacksea/supply/pVREProfile.csv
pStorageDataInput,input/data_blacksea/supply/pStorageDataInput.csv,input/data_blacksea/supply/pStorageDataInput.csv
pPlanningReserveMargin,input/data_blacksea/reserve/pPlanningReserveMargin.csv,input/data_blacksea/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_blacksea/reserve/pSpinningReserveReqCountry.csv,input/data_blacksea/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_blacksea/reserve/pSpinningReserveReqSystem.csv,input/data_blacksea/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_blacksea/constraint/pEmissionsTotal.csv,input/data_blacksea/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_blacksea/constraint/pEmissionsCountry.csv,input/data_blacksea/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_blacksea/constraint/pMaxFuellimit.csv,input/data_blacksea/constraint/pMaxFuellimit.csv
pCarbonPrice,input/data_blacksea/constraint/pCarbonPrice.csv,input/data_blacksea/constraint/pCarbonPrice.csv
zext,input/data_blacksea/trade/zext.csv,input/data_blacksea/trade/zext.csv
pExtTransferLimit,input/data_blacksea/trade/pExtTransferLimit.csv,input/data_blacksea/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_blacksea/trade/pLossFactorInternal.csv,input/data_blacksea/trade/pLossFactorInternal.csv
pMaxPriceImportShare,input/data_blacksea/trade/pMaxPriceImportShare.csv,input/data_blacksea/trade/pMaxPriceImportShare.csv
pMaxAnnualExternalTradeShare,input/data_blacksea/trade/pMaxAnnualExternalTradeShare.csv,input/data_blacksea/trade/pMaxAnnualExternalTradeShare.csv
pMinImport,input/data_blacksea/trade/pMinImport.csv,input/data_blacksea/trade/pMinImport.csv
pNewTransmission,input/data_blacksea/trade/pNewTransmission.csv,input/data_blacksea/trade/pNewTransmissionExp.csv
pTradePrice,input/data_blacksea/trade/pTradePrice.csv,input/data_blacksea/trade/pTradePrice.csv
pTransferLimit,input/data_blacksea/trade/pTransferLimit.csv,input/data_blacksea/trade/pTransferLimit.csv
pH2DataExcel,input/data_blacksea/h2/pH2DataExcel.csv,input/data_blacksea/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_blacksea/h2/pAvailabilityH2.csv,input/data_blacksea/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_blacksea/h2/pCapexTrajectoryH2.csv,input/data_blacksea/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_blacksea/h2/pExternalH2.csv,input/data_blacksea/h2/pExternalH2.csv
pFuelDataH2,input/data_blacksea/h2/pFuelDataH2.csv,input/data_blacksea/h2/pFuelDataH2.csv
