zext,q,d,year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Bulgaria,Q1,d1,2024,55.270,85.429,64.105,129.876,139.963,158.461,181.952,177.082,150.013,142.308,145.887,145.737,144.409,150.908,159.714,176.771,207.175,229.158,213.523,183.195,175.076,142.308,142.308,141.894
Bulgaria,Q1,d1,2025,54.172,83.753,62.837,127.350,137.244,155.389,178.430,173.653,147.102,139.545,143.055,142.908,141.605,147.980,156.618,173.349,203.171,224.733,209.397,179.649,171.685,139.545,139.545,139.138
Bulgaria,Q1,d1,2026,0.010,23.014,2.505,65.760,75.461,93.252,115.843,111.160,85.126,77.717,81.159,81.014,79.737,85.987,94.457,110.861,140.102,161.244,146.207,117.039,109.231,77.717,77.717,77.318
Bulgaria,Q1,d1,2027,0.010,12.327,0.010,54.223,63.731,81.168,103.310,98.720,73.204,65.942,69.316,69.174,67.922,74.048,82.349,98.427,127.086,147.808,133.070,104.482,96.829,65.942,65.942,65.552
Bulgaria,Q1,d1,2028,0.010,1.640,0.010,42.686,52.002,69.085,90.778,86.281,61.282,54.167,57.473,57.334,56.107,62.109,70.242,85.994,114.071,134.372,119.933,91.926,84.428,54.167,54.167,53.785
Bulgaria,Q1,d1,2029,0.010,0.010,0.010,31.149,40.272,57.001,78.245,73.841,49.361,42.393,45.630,45.493,44.292,50.170,58.134,73.560,101.055,120.936,106.796,79.369,72.026,42.393,42.393,42.018
Bulgaria,Q1,d1,2030,0.010,0.010,0.010,19.613,28.542,44.917,65.712,61.401,37.438,30.618,33.787,33.653,32.478,38.231,46.026,61.126,88.040,107.500,93.659,66.812,59.625,30.618,30.618,30.252
Bulgaria,Q1,d1,2031,0.010,0.010,0.010,16.966,25.908,42.308,63.132,58.815,34.818,27.988,31.160,31.027,29.849,35.611,43.418,58.540,85.493,104.982,91.121,64.234,57.037,27.988,27.988,27.620
Bulgaria,Q1,d1,2032,0.010,0.010,0.010,14.318,23.273,39.696,60.551,56.228,32.196,25.355,28.533,28.399,27.220,32.990,40.808,55.952,82.945,102.461,88.581,61.655,54.447,25.355,25.355,24.987
Bulgaria,Q1,d1,2033,0.010,0.010,0.010,11.671,20.639,37.086,57.972,53.642,29.575,22.725,25.907,25.773,24.592,30.370,38.200,53.366,80.398,99.943,86.042,59.077,51.858,22.725,22.725,22.356
Bulgaria,Q1,d1,2034,0.010,0.010,0.010,9.024,18.006,34.477,55.392,51.056,26.954,20.094,23.281,23.146,21.964,27.751,35.592,50.780,77.851,97.425,83.504,56.499,49.270,20.094,20.094,19.725
Bulgaria,Q1,d1,2035,0.010,0.010,0.010,6.377,15.372,31.867,52.813,48.471,24.333,17.463,20.655,20.520,19.336,25.131,32.984,48.194,75.305,94.907,80.965,53.922,46.682,17.463,17.463,17.093
Bulgaria,Q1,d1,2036,0.010,0.010,0.010,3.730,12.738,29.257,50.233,45.885,21.712,14.832,18.029,17.894,16.708,22.511,30.375,45.608,72.758,92.389,78.427,51.344,44.094,14.832,14.832,14.462
Bulgaria,Q1,d1,2037,0.010,0.010,0.010,1.083,10.104,26.647,47.654,43.299,19.092,12.201,15.402,15.268,14.080,19.892,27.767,43.021,70.211,89.870,75.888,48.766,41.505,12.201,12.201,11.831
Bulgaria,Q1,d1,2038,0.010,0.010,0.010,0.010,7.470,24.037,45.075,40.714,16.471,9.571,12.776,12.641,11.452,17.272,25.159,40.435,67.664,87.352,73.350,46.188,38.917,9.571,9.571,9.200
Bulgaria,Q1,d1,2039,0.010,0.010,0.010,0.010,4.837,21.427,42.495,38.128,13.850,6.940,10.150,10.015,8.824,14.653,22.551,37.849,65.118,84.834,70.811,43.610,36.329,6.940,6.940,6.568
Bulgaria,Q1,d1,2040,0.010,0.010,0.010,0.010,2.203,18.817,39.916,35.542,11.229,4.309,7.524,7.388,6.196,12.033,19.943,35.263,62.571,82.316,68.273,41.033,33.740,4.309,4.309,3.937
Bulgaria,Q1,d1,2041,0.010,0.010,0.010,0.010,0.442,17.056,38.155,33.781,9.468,2.548,5.763,5.627,4.434,10.272,18.181,33.502,60.810,80.555,66.511,39.271,31.979,2.548,2.548,2.176
Bulgaria,Q1,d1,2042,0.010,0.010,0.010,0.010,0.010,15.295,36.393,32.020,7.707,0.787,4.001,3.866,2.673,8.510,16.420,31.741,59.048,78.793,64.750,37.510,30.218,0.787,0.787,0.414
Bulgaria,Q1,d1,2043,0.010,0.010,0.010,0.010,0.010,13.534,34.632,30.259,5.945,0.010,2.240,2.105,0.912,6.749,14.659,29.979,57.287,77.032,62.989,35.749,28.457,0.010,0.010,0.010
Bulgaria,Q1,d1,2044,0.010,0.010,0.010,0.010,0.010,11.773,32.871,28.497,4.184,0.010,0.479,0.343,0.010,4.988,12.898,28.218,55.526,75.271,61.228,33.987,26.695,0.010,0.010,0.010
Bulgaria,Q1,d1,2045,0.010,0.010,0.010,0.010,0.010,10.011,31.110,26.736,2.423,0.010,0.010,0.010,0.010,3.227,11.136,26.457,53.765,73.510,59.466,32.226,24.934,0.010,0.010,0.010
Bulgaria,Q1,d1,2046,0.010,0.010,0.010,0.010,0.010,8.250,29.348,24.975,0.662,0.010,0.010,0.010,0.010,1.465,9.375,24.695,52.003,71.748,57.705,30.465,23.173,0.010,0.010,0.010
