zone,tech,fuel,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
KAZ_N,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
KAZ_N,Storage,Battery,1.18812,1.10396,1.04455,1,0.960396,0.915842,0.881188,0.846534,0.836373,0.825792,0.81521,0.804628,0.794047,0.783465,0.772883,0.762302,0.75172,0.741138,0.730557,0.719975,0.709393,0.698812,0.68823,0.677648,0.667067,0.656485,0.645903,0.635322
KAZ_N,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
KAZ_S,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
KAZ_S,Storage,Battery,1.18812,1.10396,1.04455,1,0.960396,0.915842,0.881188,0.846534,0.836373,0.825792,0.81521,0.804628,0.794047,0.783465,0.772883,0.762302,0.75172,0.741138,0.730557,0.719975,0.709393,0.698812,0.68823,0.677648,0.667067,0.656485,0.645903,0.635322
KAZ_S,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
KGZ_N,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
KGZ_N,Storage,Battery,1.18812,1.10396,1.04455,1,0.960396,0.915842,0.881188,0.846534,0.836373,0.825792,0.81521,0.804628,0.794047,0.783465,0.772883,0.762302,0.75172,0.741138,0.730557,0.719975,0.709393,0.698812,0.68823,0.677648,0.667067,0.656485,0.645903,0.635322
KGZ_N,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
KGZ_S,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
KGZ_S,Storage,Battery,1.18812,1.10396,1.04455,1,0.960396,0.915842,0.881188,0.846534,0.836373,0.825792,0.81521,0.804628,0.794047,0.783465,0.772883,0.762302,0.75172,0.741138,0.730557,0.719975,0.709393,0.698812,0.68823,0.677648,0.667067,0.656485,0.645903,0.635322
KGZ_S,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
NEPS_AFG,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
NEPS_AFG,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
NEPS_HERAT,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
NEPS_HERAT,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
NEPS_TAJ,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
NEPS_TAJ,WT,Wind,1.01555,1.01037,1.00518,1,0.994817,0.989633,0.98445,0.979266,0.974083,0.9689,0.963716,0.958533,0.953349,0.948166,0.942982,0.937799,0.932616,0.927432,0.922249,0.917065,0.911882,0.906699,0.901515,0.896332,0.891148,0.885965,0.880781,0.875598
NEPS_TKM,PV,Solar,1.075,1.05,1.025,1,0.975,0.95,0.925,0.9,0.875,0.85,0.825,0.8,0.775,0.75,0.725,0.7,0.675,0.65,0.625,0.6,0.575,0.55,0.525,0.5,0.491071,0.482143,0.473214,0.464286
