g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
ABADAN _CITY-1_CHP_2023,TUR,CHP,Gas,1,1959,2030,60,125,0,10000000,0,9.7486,0,12870,8.7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABADAN _CITY-2_CCGT_2028,TUR,CCGT,Gas,1,1998,2033,35,123,0,10000000,0,6.2036,0,12870,3.4650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKSUSKAYA_ST_2023,KAZ_N,ST,Coal,1,1973,2033,60,1932,0,10000000,0,8.7688,0,31680,10.8900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMATY-1_CHP_2023,KAZ_S,CHP,Coal_KAZ_S,1,1967,2030,60,145,0,10000000,0,11.23,0,31680,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMATY-2_CHP_2023,KAZ_S,CHP,Coal_KAZ_S,1,1986,2046,60,469,0,10000000,0,12.7940,0,31680,12.8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALMATY-3_CHP_2023,KAZ_S,CHP,Coal_KAZ_S,1,1964,2030,60,132,0,10000000,0,14.2404,0,31680,12.8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANGREN_ST_2023,UZB,ST,Coal,1,1961,2030,60,400,0,10000000,0,11.2982,0,31680,9.1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTANA-2_CHP_2023,KAZ_N,CHP,Coal,1,1981,2041,60,221,0,10000000,0,16.4038,0,31680,12.8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATLAS _POWER_ICE_2029,PAK_N,ICE,HFO,1,2009,2039,30,214,0,10000000,0,7.68,0,31680,7.94366174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN _QASIM_ST_2023,PAK_KAR,ST,Gas,1,1983,2038,55,350,0,10000000,0,10.25,0,10820,3.9188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN _QASIM_ST_2024,PAK_KAR,ST,Gas,1,1984,2039,55,210,0,10000000,0,10.25,0,10820,3.9188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN _QASIM_ST_2029,PAK_KAR,ST,HFO,1,1989,2034,45,210,0,10000000,0,10.25,0,25000,3.9188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIN _QASIM_ST_2031,PAK_KAR,ST,Gas,1,1994,2049,55,420,0,10000000,0,10.25,0,10820,3.9188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BISHKEK_CHP_2023,KGZ_N,CHP,Coal,1,1971,2050,60,666,0,10000000,0,11.2255,0,31680,12.8700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DUSHANBE-1_CHP_2023,TAJ_S,CHP,Gas,1,1964,2030,60,0,0,10000000,0,11.2255,0,12870,8.7120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAISALABAD _LIBERTY_ICE_2031,PAK_N,ICE,HFO,1,2011,2041,30,187.836,0,10000000,0,10.07,0,31680,0.219317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAISALABAD_CCGT_2023,PAK_N,CCGT,Gas,1,1979,2030,35,144.4,0,10000000,0,8.2851716079,0,12870,3.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FERGANA_CHP_2023,UZB,CHP,HFO,1,1979,2039,60,260,0,10000000,0,13.43,0,10820,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUDDU_CCGT_2023,PAK_S,CCGT,HFO,1,1988,2030,35,826,0,10000000,0,11.5415,0,44550,0.604437652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUDDU_CCGT_2024,PAK_S,CCGT,Gas,1,1994,2030,35,145,0,10000000,0,11.5415,0,12870,0.604437652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUDDU_ST_2023,PAK_S,ST,Gas,1,1976,2031,55,430,0,10000000,0,17.25075,0,10820,2.630049464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUDDU_ST_2026,PAK_S,ST,Gas,1,1986,2041,55,210,0,10000000,0,17.25075,0,10820,0.604437652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HABIBULLAH _COASTAL_CCGT_2029,PAK_S,CCGT,Gas,1,1999,2034,35,160,0,10000000,0,8.9,0,12870,8.4048239822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMSHORO_ST_2029,PAK_S,ST,Gas,1,1989,2044,55,200,0,10000000,0,13.202,0,10820,0.8114729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMSHORO_ST_2030,PAK_S,ST,HFO,1,1990,2035,45,450,0,10000000,0,13.202,0,25000,0.8114729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KABIRWALA_CCGT_2029,PAK_S,CCGT,Gas,1,1999,2034,35,157,0,10000000,0,8.5,0,12870,3.6057732516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAPCHAGAY_HY_2031,KAZ_S,HY,Water,1,1971,2051,99,364,0,10000000,0,0,0,12870,2.772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
