z,tech,q,level,shape,deca_rows,cf_2020,cf_new,day_scale,max
KAZ_N,PV,Q1,deca,casa_2020 blocks,49,0.1442,0.0889,,0.3490
KAZ_N,PV,Q2,deca,rninja hourly,49,0.1920,0.1702,1.021,0.7670
KAZ_N,PV,Q3a,deca,rninja hourly,49,0.1879,0.2082,0.983,0.6716
KAZ_N,PV,Q3b,deca,rninja hourly,49,0.1879,0.2066,0.937,0.7065
KAZ_N,PV,Q4,deca,rninja hourly,49,0.1068,0.1177,1.415,0.7468
KAZ_N,WT,Q1,deca,rninja hourly,83,0.3311,0.4538,1.403,1.0000
KAZ_N,WT,Q2,deca,rninja hourly,83,0.3313,0.4103,0.724,0.5429
KAZ_N,WT,Q3a,deca,rninja hourly,83,0.3356,0.4079,1.229,1.0000
KAZ_N,WT,Q3b,deca,rninja hourly,83,0.3356,0.3921,1.127,0.8961
KAZ_N,WT,Q4,deca,casa_2020 blocks,83,0.3331,0.4078,,0.4277
KAZ_S,PV,Q1,deca,casa_2020 blocks,49,0.1442,0.0889,,0.3490
KAZ_S,PV,Q2,deca,rninja hourly,49,0.1920,0.1702,1.396,1.0000
KAZ_S,PV,Q3a,deca,rninja hourly,49,0.1879,0.2082,0.921,0.6624
KAZ_S,PV,Q3b,deca,rninja hourly,49,0.1879,0.2066,1.049,0.6345
KAZ_S,PV,Q4,deca,rninja hourly,49,0.1068,0.1177,0.943,0.5071
KAZ_S,WT,Q1,deca,casa_2020 blocks,83,0.3311,0.4538,,0.4647
KAZ_S,WT,Q2,deca,casa_2020 blocks,83,0.3313,0.4103,,0.4230
KAZ_S,WT,Q3a,deca,casa_2020 blocks,83,0.3356,0.4079,,0.4303
KAZ_S,WT,Q3b,deca,casa_2020 blocks,83,0.3356,0.3921,,0.4137
KAZ_S,WT,Q4,deca,casa_2020 blocks,83,0.3331,0.4078,,0.4277
KGZ_N,PV,Q1,deca,rninja hourly,14,0.1538,0.0768,0.939,0.3812
KGZ_N,PV,Q2,deca,rninja hourly,14,0.1602,0.1573,1.180,0.7474
KGZ_N,PV,Q3a,deca,rninja hourly,14,0.1552,0.2466,0.812,0.7635
KGZ_N,PV,Q3b,deca,rninja hourly,14,0.1552,0.2444,0.939,0.7984
KGZ_N,PV,Q4,deca,rninja hourly,14,0.1432,0.1211,1.490,0.6518
KGZ_N,WT,Q1,deca,casa_2020 blocks,14,0.3311,0.1530,,0.1566
KGZ_N,WT,Q2,deca,casa_2020 blocks,14,0.3313,0.3132,,0.3228
KGZ_N,WT,Q3a,deca,casa_2020 blocks,14,0.3356,0.4910,,0.5180
KGZ_N,WT,Q3b,deca,casa_2020 blocks,14,0.3356,0.4867,,0.5135
KGZ_N,WT,Q4,deca,casa_2020 blocks,14,0.3331,0.2411,,0.2528
KGZ_S,PV,Q1,deca,rninja hourly,14,0.1538,0.0768,1.089,0.3761
KGZ_S,PV,Q2,deca,rninja hourly,14,0.1602,0.1573,0.930,0.7106
KGZ_S,PV,Q3a,deca,rninja hourly,14,0.1552,0.2466,0.823,0.7620
KGZ_S,PV,Q3b,deca,rninja hourly,14,0.1552,0.2444,0.923,0.7948
KGZ_S,PV,Q4,deca,rninja hourly,14,0.1432,0.1211,1.280,0.6637
KGZ_S,WT,Q1,deca,casa_2020 blocks,14,0.3311,0.1530,,0.1566
KGZ_S,WT,Q2,deca,casa_2020 blocks,14,0.3313,0.3132,,0.3228
KGZ_S,WT,Q3a,deca,casa_2020 blocks,14,0.3356,0.4910,,0.5180
KGZ_S,WT,Q3b,deca,casa_2020 blocks,14,0.3356,0.4867,,0.5135
KGZ_S,WT,Q4,deca,casa_2020 blocks,14,0.3331,0.2411,,0.2528
NEPS_AFG,PV,Q1,casa_2020,casa_2020 blocks,0,0.1034,0.1034,,0.4017
NEPS_AFG,PV,Q2,casa_2020,rninja hourly,0,0.1704,0.1704,1.324,0.7463
NEPS_AFG,PV,Q3a,casa_2020,rninja hourly,0,0.2140,0.2140,0.994,0.6645
NEPS_AFG,PV,Q3b,casa_2020,rninja hourly,0,0.2140,0.2140,1.085,0.7134
NEPS_AFG,PV,Q4,casa_2020,rninja hourly,0,0.1391,0.1391,1.086,0.5777
NEPS_AFG,WT,Q1,atlas_p90,casa_2020 blocks,0,0.3295,0.2930,,0.3016
NEPS_AFG,WT,Q2,atlas_p90,casa_2020 blocks,0,0.3313,0.2946,,0.3037
