workbook,scenario,type,year,value
KG,Net Zero,Energy,2023,16153.291
KG,Net Zero,Energy,2024,16873.686
KG,Net Zero,Energy,2025,17580.239
KG,Net Zero,Energy,2026,18141.328
KG,Net Zero,Energy,2027,18706.738
KG,Net Zero,Energy,2028,19229.447
KG,Net Zero,Energy,2029,19779.358
KG,Net Zero,Energy,2030,20349.046
KG,Net Zero,Energy,2031,22781.375
KG,Net Zero,Energy,2032,25175.895
KG,Net Zero,Energy,2033,27258.676
KG,Net Zero,Energy,2034,29445.584
KG,Net Zero,Energy,2035,31636.711
KG,Net Zero,Energy,2036,33846.987
KG,Net Zero,Energy,2037,36093.536
KG,Net Zero,Energy,2038,38370.388
KG,Net Zero,Energy,2039,40672.768
KG,Net Zero,Energy,2040,43317.657
KG,Net Zero,Energy,2041,45729.311
KG,Net Zero,Energy,2042,48167.564
KG,Net Zero,Energy,2043,50641.672
KG,Net Zero,Energy,2044,53156.258
KG,Net Zero,Energy,2045,55712.481
KG,Net Zero,Energy,2046,58311.496
KG,Net Zero,Energy,2047,60956.773
KG,Net Zero,Energy,2048,63649.469
KG,Net Zero,Energy,2049,66390.74
KG,Net Zero,Energy,2050,69181.743
KG,Net Zero,Energy,2051,73982.622
KG,Net Zero,Energy,2052,78837.858
KG,Net Zero,Energy,2053,83750.923
KG,Net Zero,Energy,2054,88724.128
KG,Net Zero,Energy,2055,93757.474
KG,Net Zero,Energy,2056,98857.9
KG,Net Zero,Energy,2057,104025.407
KG,Net Zero,Energy,2058,109261.15
KG,Net Zero,Energy,2059,114572.069
KG,Net Zero,Energy,2060,119958.164
KG,Net Zero,Peak,2023,3486.685
KG,Net Zero,Peak,2024,3642.182
KG,Net Zero,Peak,2025,3794.692
KG,Net Zero,Peak,2026,3915.803
KG,Net Zero,Peak,2027,4037.846
KG,Net Zero,Peak,2028,4150.673
KG,Net Zero,Peak,2029,4269.371
KG,Net Zero,Peak,2030,4392.338
KG,Net Zero,Peak,2031,4917.356
KG,Net Zero,Peak,2032,5434.213
KG,Net Zero,Peak,2033,5883.781
KG,Net Zero,Peak,2034,6355.824
KG,Net Zero,Peak,2035,6828.779
KG,Net Zero,Peak,2036,7305.866
KG,Net Zero,Peak,2037,7790.784
KG,Net Zero,Peak,2038,8282.242
KG,Net Zero,Peak,2039,8779.21
KG,Net Zero,Peak,2040,9350.109
KG,Net Zero,Peak,2041,9870.664
KG,Net Zero,Peak,2042,10396.961
KG,Net Zero,Peak,2043,10930.996
KG,Net Zero,Peak,2044,11473.769
KG,Net Zero,Peak,2045,12025.53
KG,Net Zero,Peak,2046,12586.527
KG,Net Zero,Peak,2047,13157.509
KG,Net Zero,Peak,2048,13738.727
KG,Net Zero,Peak,2049,14330.43
KG,Net Zero,Peak,2050,14932.868
KG,Net Zero,Peak,2051,15969.136
KG,Net Zero,Peak,2052,17017.138
KG,Net Zero,Peak,2053,18077.623
KG,Net Zero,Peak,2054,19151.088
KG,Net Zero,Peak,2055,20237.535
KG,Net Zero,Peak,2056,21338.461
KG,Net Zero,Peak,2057,22453.867
KG,Net Zero,Peak,2058,23584.001
KG,Net Zero,Peak,2059,24730.362
KG,Net Zero,Peak,2060,25892.95
KG,Reference,Energy,2023,16153.291
KG,Reference,Energy,2024,16873.686
KG,Reference,Energy,2025,17580.239
KG,Reference,Energy,2026,18141.328
KG,Reference,Energy,2027,18706.738
KG,Reference,Energy,2028,19229.447
KG,Reference,Energy,2029,19779.358
KG,Reference,Energy,2030,20349.046
KG,Reference,Energy,2031,21359.733
KG,Reference,Energy,2032,22332.611
KG,Reference,Energy,2033,22993.75
KG,Reference,Energy,2034,23759.016
KG,Reference,Energy,2035,24528.5
KG,Reference,Energy,2036,25317.135
KG,Reference,Energy,2037,26142.041
KG,Reference,Energy,2038,26997.252
KG,Reference,Energy,2039,27877.989
KG,Reference,Energy,2040,29101.237
KG,Reference,Energy,2041,30091.248
KG,Reference,Energy,2042,31107.86
KG,Reference,Energy,2043,32160.325
KG,Reference,Energy,2044,33253.269
KG,Reference,Energy,2045,34387.85
KG,Reference,Energy,2046,35565.223
KG,Reference,Energy,2047,36788.858
KG,Reference,Energy,2048,38059.912
KG,Reference,Energy,2049,39379.541
KG,Reference,Energy,2050,40748.902
KG,Reference,Energy,2051,42172.622
KG,Reference,Energy,2052,43650.699
KG,Reference,Energy,2053,45186.604
KG,Reference,Energy,2054,46782.65
KG,Reference,Energy,2055,48438.837
KG,Reference,Energy,2056,50162.103
KG,Reference,Energy,2057,51952.451
KG,Reference,Energy,2058,53811.034
KG,Reference,Energy,2059,55744.794
KG,Reference,Energy,2060,57753.73
KG,Reference,Peak,2023,3486.685
KG,Reference,Peak,2024,3642.182
KG,Reference,Peak,2025,3794.692
KG,Reference,Peak,2026,3915.803
KG,Reference,Peak,2027,4037.846
KG,Reference,Peak,2028,4150.673
KG,Reference,Peak,2029,4269.371
KG,Reference,Peak,2030,4392.338
KG,Reference,Peak,2031,4610.495
KG,Reference,Peak,2032,4820.49
KG,Reference,Peak,2033,4963.197
KG,Reference,Peak,2034,5128.38
KG,Reference,Peak,2035,5294.473
KG,Reference,Peak,2036,5464.699
KG,Reference,Peak,2037,5642.755
KG,Reference,Peak,2038,5827.352
KG,Reference,Peak,2039,6017.459
KG,Reference,Peak,2040,6281.497
KG,Reference,Peak,2041,6495.191
KG,Reference,Peak,2042,6714.626
KG,Reference,Peak,2043,6941.801
KG,Reference,Peak,2044,7177.713
KG,Reference,Peak,2045,7422.612
KG,Reference,Peak,2046,7676.747
KG,Reference,Peak,2047,7940.869
KG,Reference,Peak,2048,8215.226
KG,Reference,Peak,2049,8500.067
KG,Reference,Peak,2050,8795.644
KG,Reference,Peak,2051,9102.953
KG,Reference,Peak,2052,9421.996
KG,Reference,Peak,2053,9753.521
KG,Reference,Peak,2054,10098.027
KG,Reference,Peak,2055,10455.515
KG,Reference,Peak,2056,10827.482
