z,iso,iec,area_km2,mean,max,p50,km2_above_p50,p75,km2_above_p75,p90,km2_above_p90,p95,km2_above_p95,p99,km2_above_p99,cf_stated,cf_rninja,level_from
KAZ_N,KAZ,IEC1,1574000.8,0.3003,0.5963,0.3136,787000.4,0.3379,393500.2,0.3582,157400.1,0.3722,78700.0,0.4004,15740.0,0.4156,0.5046,deca
KAZ_S,KAZ,IEC1,710799.5,0.2458,0.5977,0.2592,355399.8,0.3268,177699.9,0.359,71080.0,0.3794,35540.0,0.4169,7108.0,0.4156,0.5133,deca
KGZ_N,KGZ,IEC1,118860.1,0.1339,0.576,0.1049,59430.1,0.1911,29715.0,0.2839,11886.0,0.3425,5943.0,0.4342,1188.6,0.3351,0.1798,deca
KGZ_S,KGZ,IEC1,79178.8,0.1068,0.6091,0.0697,39589.4,0.1548,19794.7,0.258,7917.9,0.3276,3958.9,0.439,791.8,0.3351,0.0764,deca
NEPS_AFG,AFG,IEC1,298836.2,0.1301,0.6002,0.12,149418.1,0.1758,74709.0,0.2299,29883.6,0.2585,14941.8,0.3189,2988.4,0.3329,0.179,casa_2020
NEPS_HERAT,AFG,IEC1,54693.2,0.3269,0.6964,0.3229,27346.6,0.4322,13673.3,0.5122,5469.3,0.5568,2734.7,0.6108,546.9,0.3329,0.6282,casa_2020
NEPS_TAJ,AFG,IEC1,20359.8,0.0641,0.4573,0.0481,10179.9,0.0835,5090.0,0.1318,2036.0,0.1654,1018.0,0.2418,203.6,0.3329,0.0735,casa_2020
NEPS_TKM,AFG,IEC1,52980.8,0.1518,0.5255,0.1307,26490.4,0.2047,13245.2,0.2746,5298.1,0.312,2649.0,0.3674,529.8,0.3329,0.2915,casa_2020
NEPS_UZB,AFG,IEC1,45097.9,0.1333,0.5183,0.1017,22549.0,0.1868,11274.5,0.2866,4509.8,0.3231,2254.9,0.3683,451.0,0.3329,0.1607,casa_2020
PAK_KAR,PAK,IEC1,4028.8,0.1999,0.436,0.187,2014.4,0.2319,1007.2,0.2804,402.9,0.3022,201.4,0.3388,40.3,0.3333,0.4417,casa_2020
PAK_N,PAK,IEC1,309523.4,0.0798,0.6283,0.0661,154761.7,0.1061,77380.8,0.155,30952.3,0.1764,15476.2,0.2694,3095.2,0.3333,0.1562,casa_2020
PAK_S,PAK,IEC1,485222.7,0.1735,0.6064,0.1674,242611.3,0.2243,121305.7,0.2876,48522.3,0.3237,24261.1,0.388,4852.2,0.3333,0.2439,casa_2020
TAJ_N,TJK,IEC1,25132.0,0.1639,0.5586,0.1423,12566.0,0.2404,6283.0,0.3268,2513.2,0.3764,1256.6,0.4348,251.3,0.3726,0.1063,deca
TAJ_S,TJK,IEC1,116140.5,0.1301,0.5637,0.1042,58070.3,0.1936,29035.1,0.2848,11614.1,0.3411,5807.0,0.4299,1161.4,0.3726,0.0158,deca
TUR,TKM,IEC1,470834.2,0.2642,0.5211,0.2763,235417.1,0.3194,117708.5,0.3468,47083.4,0.3636,23541.7,0.3959,4708.3,0.349,0.4464,deca
UZB,UZB,IEC1,446892.3,0.2498,0.5394,0.2752,223446.2,0.3317,111723.1,0.3622,44689.2,0.3805,22344.6,0.4024,4468.9,0.3625,0.4726,deca
KAZ_N,KAZ,IEC2,1574000.8,0.3351,0.6259,0.3508,787000.4,0.3753,393500.2,0.3949,157400.1,0.4081,78700.0,0.4349,15740.0,0.4156,0.5046,deca
KAZ_S,KAZ,IEC2,710799.5,0.2764,0.6267,0.2932,355399.8,0.3646,177699.9,0.3966,71080.0,0.4166,35540.0,0.451,7108.0,0.4156,0.5133,deca
KGZ_N,KGZ,IEC2,118860.1,0.1524,0.6327,0.1223,59430.1,0.2173,29715.0,0.3154,11886.0,0.3766,5943.0,0.4738,1188.6,0.3351,0.1798,deca
KGZ_S,KGZ,IEC2,79178.8,0.1219,0.6614,0.0826,39589.4,0.1767,19794.7,0.2871,7917.9,0.3611,3958.9,0.4814,791.8,0.3351,0.0764,deca
NEPS_AFG,AFG,IEC2,298836.2,0.1503,0.629,0.1406,149418.1,0.2021,74709.0,0.2599,29883.6,0.2898,14941.8,0.3515,2988.4,0.3329,0.179,casa_2020
NEPS_HERAT,AFG,IEC2,54693.2,0.3538,0.7237,0.3525,27346.6,0.4625,13673.3,0.5395,5469.3,0.5817,2734.7,0.6357,546.9,0.3329,0.6282,casa_2020
NEPS_TAJ,AFG,IEC2,20359.8,0.0758,0.5039,0.0583,10179.9,0.0985,5090.0,0.1526,2036.0,0.1892,1018.0,0.2717,203.6,0.3329,0.0735,casa_2020
