z,c,year,peak_mw,margin,required_mw,firm_Q1_mw,gap_mw,firm_Q5_2020_mw,gap_2020_mw
KAZ_N,KAZ,2026,11487,0.15,13210,10241,-2969,11914,-1296
KAZ_N,KAZ,2035,13993,0.15,16092,6735,-9357,7789,-8303
KAZ_N,KAZ,2050,18834,0.15,21659,2787,-18872,3163,-18496
KAZ_S,KAZ,2026,4591,0.15,5280,3582,-1698,4121,-1158
KAZ_S,KAZ,2035,5593,0.15,6431,2123,-4308,2405,-4026
KAZ_S,KAZ,2050,7527,0.15,8657,1588,-7068,1776,-6880
KGZ_N,KGZ,2026,2525,0.15,2904,341,-2562,348,-2556
KGZ_N,KGZ,2035,3414,0.15,3926,341,-3585,348,-3578
KGZ_N,KGZ,2050,5671,0.15,6522,341,-6181,348,-6174
KGZ_S,KGZ,2026,1524,0.15,1753,1675,-78,2285,532
KGZ_S,KGZ,2035,2061,0.15,2370,1675,-696,2285,-85
KGZ_S,KGZ,2050,3424,0.15,3938,1675,-2263,2285,-1653
NEPS_AFG,AFG,2026,1509,0.15,1735,250,-1485,273,-1462
NEPS_AFG,AFG,2035,2462,0.15,2831,250,-2581,273,-2558
NEPS_AFG,AFG,2050,5519,0.15,6347,118,-6229,125,-6222
NEPS_HERAT,AFG,2026,397,0.15,456,363,-93,406,-50
NEPS_HERAT,AFG,2035,671,0.15,772,363,-409,406,-365
NEPS_HERAT,AFG,2050,1616,0.15,1858,360,-1498,361,-1496
NEPS_TAJ,AFG,2026,411,0.15,473,0,-473,0,-473
NEPS_TAJ,AFG,2035,671,0.15,772,0,-772,0,-772
NEPS_TAJ,AFG,2050,1505,0.15,1731,0,-1731,0,-1731
NEPS_TKM,AFG,2026,170,0.15,196,0,-196,0,-196
NEPS_TKM,AFG,2035,278,0.15,320,0,-320,0,-320
NEPS_TKM,AFG,2050,624,0.15,717,0,-717,0,-717
NEPS_UZB,AFG,2026,411,0.15,473,0,-473,0,-473
NEPS_UZB,AFG,2035,671,0.15,772,0,-772,0,-772
NEPS_UZB,AFG,2050,1505,0.15,1731,0,-1731,0,-1731
PAK_KAR,PAK,2026,4016,0.15,4619,3765,-854,4323,-296
PAK_KAR,PAK,2035,5866,0.15,6746,3373,-3374,3862,-2884
PAK_KAR,PAK,2050,11032,0.15,12687,1122,-11565,1320,-11367
PAK_N,PAK,2026,18158,0.15,20882,14345,-6537,16420,-4462
PAK_N,PAK,2035,26524,0.15,30502,10911,-19592,12380,-18122
PAK_N,PAK,2050,49876,0.15,57358,7628,-49730,8518,-48840
PAK_S,PAK,2026,11610,0.15,13351,13752,401,15894,2543
PAK_S,PAK,2035,16958,0.15,19502,11723,-7779,13506,-5995
PAK_S,PAK,2050,31889,0.15,36672,7682,-28990,9038,-27634
TAJ_N,TAJ,2026,1088,0.15,1251,81,-1170,110,-1141
TAJ_N,TAJ,2035,1519,0.15,1747,81,-1666,110,-1637
TAJ_N,TAJ,2050,2292,0.15,2636,81,-2555,110,-2526
TAJ_S,TAJ,2026,3221,0.15,3704,3117,-586,3623,-80
TAJ_S,TAJ,2035,4497,0.15,5172,3889,-1283,4371,-800
TAJ_S,TAJ,2050,6788,0.15,7806,3889,-3918,4371,-3435
TUR,TUR,2026,3180,0.15,3657,4932,1276,5802,2146
TUR,TUR,2035,3578,0.15,4114,4721,607,5554,1440
TUR,TUR,2050,4271,0.15,4912,861,-4051,1013,-3899
UZB,UZB,2026,12889,0.15,14822,11097,-3725,13221,-1601
UZB,UZB,2035,20228,0.15,23262,5691,-17570,6861,-16400
UZB,UZB,2050,39302,0.15,45198,3906,-41292,4761,-40436
