z,c,lat,lon,method,iec,cf_window,cf_pixel,cf_zone_p95,km_from_zone_point,note
KAZ_N,KAZ,46.1025,72.055,atlas best 10 km window,IEC3,0.5106,0.5224,0.4587,450.5,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
KAZ_S,KAZ,45.335,82.45,atlas best 10 km window,IEC3,0.6141,0.6244,0.4683,936.0,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
KGZ_N,KGZ,41.8425,78.35,atlas best 10 km window,IEC3,0.4386,0.4566,0.3996,200.2,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
KGZ_S,KGZ,39.64,71.5725,atlas best 10 km window,IEC3,0.4557,0.4992,0.3752,149.8,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
NEPS_AFG,AFG,35.34,69.0825,atlas best 10 km window,IEC3,0.4154,0.4246,0.3269,331.4,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
NEPS_HERAT,AFG,34.9175,61.5175,atlas best 10 km window,IEC3,0.662,0.6736,0.5956,97.5,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
NEPS_TAJ,AFG,35.8775,70.2375,atlas best 10 km window,IEC3,0.2779,0.3968,0.2148,125.1,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
NEPS_TKM,AFG,37.265,66.395,atlas best 10 km window,IEC3,0.4608,0.4615,0.38,221.1,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
NEPS_UZB,AFG,37.2475,66.4275,atlas best 10 km window,IEC3,0.46,0.4646,0.3977,130.6,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
PAK_KAR,PAK,25.3125,67.385,atlas best 10 km window,IEC3,0.4125,0.4348,0.3946,28.8,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
PAK_N,PAK,35.185,73.0975,atlas best 10 km window,IEC3,0.3727,0.3385,0.2411,281.1,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
PAK_S,PAK,29.1,62.0875,atlas best 10 km window,IEC3,0.5013,0.497,0.3986,477.0,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
TAJ_N,TJK,40.375,70.0225,atlas best 10 km window,IEC3,0.5235,0.5357,0.4333,93.1,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
TAJ_S,TJK,38.895,72.105,atlas best 10 km window,IEC3,0.4265,0.4549,0.3928,93.9,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
TUR,TKM,41.71,52.505,atlas best 10 km window,IEC3,0.5095,0.5182,0.4453,650.0,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
UZB,UZB,42.4775,57.6525,atlas best 10 km window,IEC3,0.5121,0.5167,0.4703,460.2,"centre of the best 10 km square of the zone on IEC3, net of 15% losses. Not screened for slope, altitude, protected land or grid access."
