z,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
KAZ_N,Q1,d1,0.901167,0.877831,0.862634,0.857535,0.842436,0.873027,0.874596,0.903128,0.937935,0.966859,0.969605,0.961663,0.956662,0.942347,0.947348,0.952348,0.954015,0.957741,0.976076,0.969703,0.954799,0.958721,0.933425,0.919992
KAZ_N,Q1,d2,0.888708,0.867743,0.857591,0.848376,0.846928,0.845925,0.854424,0.864561,0.884848,0.902854,0.916607,0.925244,0.920373,0.911096,0.903077,0.900815,0.901731,0.905508,0.918744,0.929971,0.927722,0.923464,0.915186,0.901987
KAZ_N,Q1,d3,0.905888,0.886087,0.875208,0.869,0.868957,0.868471,0.879265,0.894981,0.919874,0.939741,0.951958,0.954085,0.948474,0.938687,0.926982,0.924781,0.927941,0.937005,0.955852,0.95924,0.95159,0.949082,0.936037,0.922598
KAZ_N,Q2,d1,0.877243,0.853515,0.841357,0.830768,0.846554,0.844004,0.866457,0.880969,0.906952,0.925091,0.927836,0.93215,0.903128,0.910481,0.894009,0.88842,0.892833,0.907932,0.913227,0.893421,0.910874,0.919012,0.917737,0.891558
KAZ_N,Q2,d2,0.767069,0.740236,0.727356,0.722885,0.7228,0.72129,0.724365,0.729192,0.744119,0.764441,0.774965,0.782266,0.778619,0.776478,0.769441,0.771948,0.775694,0.778903,0.785505,0.788139,0.800389,0.812818,0.804932,0.78609
KAZ_N,Q2,d3,0.852593,0.831784,0.818551,0.812246,0.812779,0.813547,0.823656,0.836177,0.850051,0.871782,0.879191,0.884374,0.878714,0.870533,0.863085,0.863464,0.867637,0.870572,0.871945,0.878138,0.889901,0.899457,0.885786,0.869582
KAZ_N,Q3,d1,0.710854,0.697225,0.676439,0.670262,0.654574,0.636729,0.637023,0.648789,0.671242,0.688695,0.706736,0.726542,0.726052,0.720463,0.730856,0.726836,0.730268,0.741347,0.698402,0.704285,0.691048,0.697421,0.712717,0.700755
KAZ_N,Q3,d2,0.722063,0.70011,0.685394,0.678953,0.675676,0.673936,0.678224,0.68717,0.705488,0.729765,0.735582,0.740098,0.741209,0.738109,0.733609,0.737438,0.74058,0.744151,0.748536,0.748733,0.754739,0.766769,0.763068,0.746406
KAZ_N,Q3,d3,0.710075,0.688614,0.672329,0.665586,0.66201,0.656369,0.659173,0.664354,0.683529,0.710275,0.721803,0.73126,0.731893,0.730402,0.728765,0.73158,0.737323,0.73837,0.739915,0.734565,0.729286,0.738299,0.744142,0.732901
KAZ_N,Q4,d1,0.909207,0.905579,0.874203,0.872831,0.863614,0.884302,0.8995,0.903814,0.949995,0.98039,0.957839,0.970585,0.963722,0.949113,0.953525,0.970585,0.952937,0.988626,0.99902,1,0.982841,0.981469,0.945779,0.937249
KAZ_N,Q4,d2,0.789751,0.776164,0.758545,0.754476,0.75242,0.753404,0.760267,0.774445,0.787133,0.810749,0.812697,0.814122,0.813034,0.80454,0.803232,0.805716,0.811988,0.817711,0.831961,0.843315,0.846253,0.839566,0.825591,0.807213
KAZ_N,Q4,d3,0.860561,0.849054,0.83467,0.830898,0.83148,0.83199,0.8397,0.854221,0.872932,0.895359,0.895444,0.900078,0.897258,0.89248,0.886979,0.889878,0.8933,0.905455,0.924332,0.925996,0.914871,0.911557,0.896003,0.876416
KAZ_S,Q1,d1,0.818336,0.77007,0.730536,0.727626,0.708707,0.728353,0.745089,0.815426,0.872423,0.913898,0.949551,0.951492,0.941547,0.928208,0.922872,0.929663,0.930876,0.925782,0.986903,0.99903,1,0.995634,0.955857,0.904681
KAZ_S,Q1,d2,0.737735,0.691696,0.660414,0.650271,0.644263,0.645332,0.65182,0.685837,0.72385,0.76539,0.795063,0.802031,0.800851,0.781806,0.775985,0.776933,0.787203,0.795091,0.821043,0.863129,0.86949,0.854271,0.823622,0.786425
KAZ_S,Q1,d3,0.803288,0.754316,0.719476,0.708885,0.706621,0.708659,0.721605,0.766987,0.81687,0.860824,0.892004,0.8907,0.886658,0.871544,0.861854,0.861072,0.865373,0.879683,0.919325,0.948387,0.937031,0.923351,0.892311,0.854216
KAZ_S,Q2,d1,0.749454,0.687364,0.680087,0.657046,0.648799,0.645404,0.667233,0.704341,0.76522,0.803299,0.824157,0.85399,0.839195,0.82634,0.795052,0.828038,0.819306,0.825612,0.806209,0.834101,0.873636,0.877274,0.858598,0.806209
