g,z,tech,fuel,deca_tech,heatrate_before,heatrate_after,capex_before,capex_after,fompermw_before,fompermw_after,vom_before,vom_after,life_before,life_after,deca_max_mw,basis
GRANGE _POWER_CCGT_NEW_2031,PAK_S,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
BIN _BIN QASIM _SIDDIQSONS_ST_NEW_2031,PAK_KAR,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
THAR _BLOCK-I_ST_NEW_2031,PAK_S,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
OSH_CHP_NEW_2031,KGZ_N,CHP,Coal,,9.74898,9.74898,2.3,2.3,31680,31680,12.87,12.87,30,30,,"DeCA carries CHP-Gas and CHP-Biogas and no coal fired CHP at all, so these keep their 2020 costs. Four rows: the candidates of KAZ_N, TAJ_N and TAJ_S, and the Osh project."
FAN-YAGNOB_ST_NEW_2031,TAJ_N,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
THAR _THAR BLOCK-II _THAL_ST_NEW_2031,PAK_S,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
CHASHMA _(CHASNUPP)_ST_NEW_2031,PAK_N,ST,UR,Nuclear,8.3223,10.3394,4.6,6,102960,70204,16.83,0.67,40,60,1200,"DeCA Nuclear, efficiency 0.33"
KAZ_N_ST_Coal_cand,KAZ_N,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
KAZ_N_CCGT_Gas_cand,KAZ_N,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
KAZ_N_CHP_Coal_cand,KAZ_N,CHP,Coal,,9.74898,9.74898,2.3,2.3,31680,31680,12.87,12.87,30,30,,"DeCA carries CHP-Gas and CHP-Biogas and no coal fired CHP at all, so these keep their 2020 costs. Four rows: the candidates of KAZ_N, TAJ_N and TAJ_S, and the Osh project."
KAZ_N_GT_Gas_cand,KAZ_N,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
KAZ_N_ICE_HFO_cand,KAZ_N,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
KAZ_N_ST_UR_cand,KAZ_N,ST,UR,Nuclear,8.3223,10.3394,4.6,6,102960,70204,16.83,0.67,40,60,1200,"DeCA Nuclear, efficiency 0.33"
KAZ_S_ST_Coal_cand,KAZ_S,ST,Coal_KAZ_S,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
KAZ_S_CCGT_Gas_cand,KAZ_S,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
KAZ_S_CHP_Gas_cand,KAZ_S,CHP,Gas,CHP-Gas,9.74898,8.8712,1.358,1.1,12870,30500,8.712,1.8,30,25,100,"DeCA CHP-Gas, efficiency 0.384615"
KAZ_S_GT_Gas_cand,KAZ_S,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
KAZ_S_ICE_HFO_cand,KAZ_S,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
KAZ_S_ST_UR_cand,KAZ_S,ST,UR,Nuclear,8.3223,10.3394,4.6,6,102960,70204,16.83,0.67,40,60,1200,"DeCA Nuclear, efficiency 0.33"
KGZ_N_ST_Coal_cand,KGZ_N,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
KGZ_N_CCGT_Gas_cand,KGZ_N,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
KGZ_N_CHP_Gas_cand,KGZ_N,CHP,Gas,CHP-Gas,9.74898,8.8712,1.358,1.1,12870,30500,8.712,1.8,30,25,100,"DeCA CHP-Gas, efficiency 0.384615"
KGZ_N_GT_Gas_cand,KGZ_N,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
KGZ_N_ICE_HFO_cand,KGZ_N,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
KGZ_S_ST_Coal_cand,KGZ_S,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
KGZ_S_CCGT_Gas_cand,KGZ_S,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
KGZ_S_CHP_Gas_cand,KGZ_S,CHP,Gas,CHP-Gas,9.74898,8.8712,1.358,1.1,12870,30500,8.712,1.8,30,25,100,"DeCA CHP-Gas, efficiency 0.384615"
KGZ_S_GT_Gas_cand,KGZ_S,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
KGZ_S_ICE_HFO_cand,KGZ_S,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
NEPS_AFG_ST_Coal_cand,NEPS_AFG,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
NEPS_AFG_CCGT_Gas_cand,NEPS_AFG,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
NEPS_AFG_GT_Gas_cand,NEPS_AFG,GT,Gas,Gas turbine,9.74898,8.38389,0.776,0.48,11880,24500,7.623,3.4,30,25,100,"DeCA Gas turbine, efficiency 0.406971"
NEPS_AFG_ICE_HFO_cand,NEPS_AFG,ICE,HFO,Combustion Engine,7.58254,7.25958,0.97,0.65,31680,12500,3.96,5,20,25,100,"DeCA Combustion Engine, efficiency 0.47"
NEPS_TAJ_ST_Coal_cand,NEPS_TAJ,ST,Coal,Supercritical,8.12415,7.39539,2.328,2.25,31680,54000,10.89,2.5,40,35,300,"DeCA Supercritical, efficiency 0.461368"
NEPS_TAJ_CCGT_Gas_cand,NEPS_TAJ,CCGT,Gas,CCGT,5.98621,5.5266,1.164,0.85,12870,23000,3.465,1.7,30,25,300,"DeCA CCGT, efficiency 0.617378"
