z,tech,level_from,action,reason,cf_rninja,cf_stated,cf_after,monthly_scale
KAZ_N,PV,deca,rescaled,,0.1699,0.1569,0.1569,x0.77-1.32
KAZ_S,PV,deca,rescaled,,0.1883,0.1569,0.1569,x0.49-0.95
KGZ_N,PV,deca,rescaled,,0.2097,0.1683,0.1683,x0.34-1.21
KGZ_S,PV,deca,rescaled,,0.1977,0.1683,0.1683,x0.45-1.21
NEPS_AFG,PV,casa_2020,rescaled,,0.2439,0.1669,0.1669,x0.42-0.99
NEPS_HERAT,PV,casa_2020,rescaled,,0.2249,0.1669,0.1669,x0.47-0.91
NEPS_TAJ,PV,casa_2020,rescaled,,0.1913,0.1669,0.1669,x0.62-1.02
NEPS_TKM,PV,casa_2020,rescaled,,0.2155,0.1669,0.1669,x0.53-0.92
NEPS_UZB,PV,casa_2020,rescaled,,0.2120,0.1669,0.1669,x0.55-0.92
PAK_KAR,PV,casa_2020,rescaled,,0.1984,0.1671,0.1671,x0.71-1.12
PAK_N,PV,casa_2020,rescaled,,0.1894,0.1671,0.1671,x0.76-1.06
PAK_S,PV,casa_2020,rescaled,,0.2161,0.1671,0.1671,x0.64-1.13
TAJ_N,PV,deca,rescaled,,0.1968,0.1695,0.1695,x0.44-1.18
TAJ_S,PV,deca,rescaled,,0.2215,0.1695,0.1695,x0.44-1.07
TUR,PV,deca,rescaled,,0.1932,0.1627,0.1627,x0.43-1.12
UZB,PV,deca,rescaled,,0.1942,0.1880,0.1880,x0.59-1.16
KAZ_N,WT,deca,rescaled,,0.5440,0.4156,0.4156,x0.58-0.98
KAZ_S,WT,deca,kept 2020 construction,month 5 cannot reach its stated factor,0.2726,0.4156,,
KGZ_N,WT,deca,kept 2020 construction,would need x2.4,0.1417,0.3351,,
KGZ_S,WT,deca,kept 2020 construction,would need x4.3,0.0780,0.3351,,
NEPS_AFG,WT,atlas_p90,kept 2020 construction,would need x2.1,0.1438,0.2961,,
NEPS_HERAT,WT,atlas_p90,rescaled,,0.6396,0.5604,0.5604,x0.60-1.40
NEPS_TAJ,WT,atlas_p90,kept 2020 construction,would need x8.4,0.0208,0.1759,,
NEPS_TKM,WT,atlas_p90,rescaled,,0.3674,0.3416,0.3416,x0.60-1.73
NEPS_UZB,WT,atlas_p90,rescaled,,0.3663,0.3633,0.3633,x0.63-1.93
PAK_KAR,WT,atlas_p90,rescaled,,0.4475,0.3714,0.3714,x0.49-1.86
PAK_N,WT,atlas_p90,kept 2020 construction,would need x14.3,0.0149,0.2139,,
PAK_S,WT,atlas_p90,rescaled,,0.5053,0.3615,0.3615,x0.47-1.17
TAJ_N,WT,deca,rescaled,,0.3423,0.3726,0.3726,x0.89-1.58
TAJ_S,WT,deca,kept 2020 construction,would need x6.1,0.0613,0.3726,,
TUR,WT,deca,rescaled,,0.5504,0.3490,0.3490,x0.41-1.04
UZB,WT,deca,rescaled,,0.4900,0.3625,0.3625,x0.52-1.03
