g,z,tech,fuel,Status,StYr,RetrYr,Life,Capacity,UnitSize,BuildLimitperYear,DescreteCap,HeatRate,Capex,FOMperMW,VOM,ReserveCost,MinLimitShare,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,MinGenCommitment,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,fuel2,HeatRate2
BT_NN_BAT_22_ALG,ALGERIA,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_BAH,BAHRAIN,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_EGY,EGYPT,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_IRQ,IRAQ,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_JOR,JORDAN,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_KSA,KSA,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_KUW,KUWAIT,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_LEB,LEBANON,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_LIB,LIBYA,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_MOR,MOROCCO,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_OMA,OMAN,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_PAL,PALESTINE,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_QAT,QATAR,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_SUD,SUDAN,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_SYR,SYRIA,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_TUN,TUNISIA,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_UAE,UAE,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
BT_NN_BAT_22_YEM,YEMEN,STORAGE,Battery,3,2022,2051,10.0,2000.0,200.0,200.0,,,0.3,13860.0,,3.0,,0.75,0.75,,0.9,,,,,,,,,
CC_CM_ALC_DIE_18_KSA,KSA,CCGT,ALC,2,2018,2048,30.0,148.0,148.0,148.0,,6.7,,6700.0,3.8,3.0,,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_ALC_�_19_KSA,KSA,CCGT,ALC,2,2019,2049,30.0,115.0,115.0,115.0,,6.7,,6700.0,3.8,3.0,,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_GAS_ALC_18_UAE,UAE,CCGT,Gas,2,2018,2048,30.0,1599.0,1599.0,1599.0,,7.075,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,7.075
CC_CM_GAS_ALC_20_LIB,LIBYA,CCGT,Gas,2,2020,2045,30.0,250.0,250.0,250.0,,6.7,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_GAS_ASL_19_KSA,KSA,CCGT,Gas,2,2019,2049,30.0,1995.0,1995.0,1995.0,,6.3785,,6700.0,3.8,3.0,,0.5,0.83,,0.05,,,,,,,,,6.3785
CC_CM_GAS_ASL_20_KSA,KSA,CCGT,Gas,2,2019,2049,30.0,3496.0,3496.0,3496.0,,6.56,,6700.0,3.8,3.0,,0.5,0.83,,0.05,,,,,,,,,6.56
CC_CM_GAS_DIE_18_ALG,ALGERIA,CCGT,Gas,2,2018,2048,30.0,2400.0,2400.0,2400.0,,6.7,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_GAS_DIE_18_JOR,JORDAN,CCGT,Gas,2,2018,2043,30.0,210.0,210.0,210.0,,6.92089249492901,,6700.0,3.8,3.0,0.6,1.0,1.0,,0.05,,,,,,,,,6.92089249492901
CC_CM_GAS_DIE_19_ALG,ALGERIA,CCGT,Gas,2,2019,2049,30.0,8400.0,8400.0,8400.0,,6.7,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_GAS_DIE_19_IRQ,IRAQ,CCGT,Gas,2,2019,2049,30.0,2250.0,2250.0,2250.0,,6.7,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,6.7
CC_CM_GAS_DIE_19_JOR,JORDAN,CCGT,Gas,2,2018,2043,30.0,485.0,485.0,485.0,,6.97185333333333,,6700.0,3.8,3.0,0.6,1.0,1.0,,0.05,,,,,,,,,6.97185333333333
CC_CM_GAS_DIE_19_OMA,OMAN,CCGT,Gas,2,2019,2034,30.0,2306.0,2306.0,2306.0,,6.7,,6700.0,3.8,3.0,0.6,0.5,0.83,,0.05,,,,,,,,,6.7
