c,fuel,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
ALGERIA,ALC,8.57987144972641,8.57987144972641,12.9986043210636,12.9986043210636,12.9986043210636,12.9986043210636,12.9986043210636,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
ALGERIA,Coal,4.0,4.0,4.32972864,4.32972864,4.32972864,4.32972864,4.32972864,4.78037027448924,4.78037027448924,4.78037027448924,4.78037027448924,4.78037027448924,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149
ALGERIA,Diesel,10.0060939833958,10.0060939833958,15.159347928655,15.159347928655,15.159347928655,15.159347928655,15.159347928655,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337
ALGERIA,Gas,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
ALGERIA,HFO,7.79988313611492,7.79988313611492,11.8169130191487,11.8169130191487,11.8169130191487,11.8169130191487,11.8169130191487,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525,14.8792227954525
ALGERIA,LNG,10.7,10.6,8.7,8.9,8.9,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
BAHRAIN,ALC,8.57987144972641,8.57987144972641,12.9986043210636,12.9986043210636,12.9986043210636,12.9986043210636,12.9986043210636,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,16.3671450749977,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9,8.9
BAHRAIN,Coal,4.0,4.0,4.32972864,4.32972864,4.32972864,4.32972864,4.32972864,4.78037027448924,4.78037027448924,4.78037027448924,4.78037027448924,4.78037027448924,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149,5.27791505225149
BAHRAIN,Diesel,10.0060939833958,10.0060939833958,15.159347928655,15.159347928655,15.159347928655,15.159347928655,15.159347928655,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,19.087837483337,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
BAHRAIN,Gas,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.5,6.5,6.5,6.5,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
