g,z,tech,f,Linked plant,Status,StYr,RetrYr,Life,Capacity,StorageDuration,UnitSize,BuildLimitperYear,CapacityMWh,DescreteCap,Efficiency,Capex,FOMperMW,VOM,ReserveCost,CapexMWh,FixedOMMWh,VOMMWh,MinGenShareAllHours,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,HoursOn,HoursOff,minUT,minDT,StUpCost,InitialOn,MinGenCommitment
BT_NN_BAT_22_ALG,ALGERIA,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_BAH,BAHRAIN,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_EGY,EGYPT,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_IRQ,IRAQ,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_JOR,JORDAN,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_KSA,KSA,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_KUW,,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_LEB,LEBANON,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_LIB,,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_MOR,,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_OMA,OMAN,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_PAL,PALESTINE,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_QAT,QATAR,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_SUD,SUDAN,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_SYR,SYRIA,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_TUN,TUNISIA,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_UAE,UAE,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
BT_NN_BAT_22_YEM,YEMEN,Storage,Battery,,,,,20.0,5000.0,,,,,,0.9,200.0,,,,,,,,,,,,,,,,,,,
PSH_NN_25_MOR,,Storage,Battery,,,,,50.0,50000.0,,,,,,0.98,,,5.0,,,,,,,,,,,,,,,,,
