z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Libya,energy,48139,50334,51884,53460,55055,57555,59533,60951,62390,63848,65333,66846,68387,69958,71560,73193,74862,76571,78312,80088,81902,83755,85648,87585,89564,91586,93655
Libya,peak,9053,9466,9758,10054,10354,10824,11196,11463,11733,12007,12287,12571,12861,13157,13458,13765,14079,14400,14728,15062,15403,15751,16107,16472,16844,17224,17613
