z,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Libya,m1,d1,0.40079,0.37722,0.36261,0.35409,0.35219,0.35649,0.38275,0.42636,0.44814,0.47675,0.47927,0.47957,0.47612,0.47227,0.47091,0.48068,0.48887,0.49819,0.56588,0.57642,0.56405,0.53253,0.49151,0.44162
Libya,m2,d1,0.40635,0.38202,0.36952,0.3624,0.36013,0.36516,0.3907,0.41725,0.45051,0.4818,0.48501,0.48658,0.4854,0.48036,0.47593,0.48273,0.48815,0.4897,0.52031,0.5651,0.55494,0.52517,0.48756,0.44124
Libya,m3,d1,0.4267,0.39955,0.38139,0.37134,0.37106,0.37813,0.36603,0.38413,0.41915,0.44803,0.4528,0.45512,0.45369,0.44935,0.43963,0.43195,0.44425,0.47276,0.51618,0.49935,0.50183,0.48987,0.48144,0.45804
Libya,m4,d1,0.39562,0.37135,0.35516,0.34681,0.34857,0.3465,0.33275,0.36449,0.39929,0.42593,0.43409,0.43818,0.4372,0.43129,0.4218,0.4186,0.42446,0.43325,0.4472,0.46074,0.484,0.46125,0.44593,0.41786
Libya,m5,d1,0.40266,0.38197,0.3701,0.3641,0.36414,0.35473,0.36238,0.3983,0.43756,0.46948,0.47949,0.48389,0.48207,0.47626,0.46944,0.47317,0.47901,0.47741,0.46883,0.47527,0.52733,0.50352,0.47812,0.43594
Libya,m6,d1,0.54494,0.52091,0.5025,0.49114,0.48223,0.45739,0.45873,0.48485,0.52092,0.55168,0.56574,0.57268,0.58172,0.58803,0.60672,0.62023,0.62975,0.6161,0.58833,0.57323,0.60904,0.61091,0.5882,0.57425
Libya,m7,d1,0.74937,0.7317,0.70778,0.68577,0.66704,0.62603,0.60845,0.62685,0.67055,0.7064,0.72192,0.7377,0.76485,0.80058,0.8303,0.83831,0.84622,0.80922,0.75713,0.70462,0.73166,0.74391,0.7388,0.75195
Libya,m8,d1,0.77724,0.76014,0.73575,0.71108,0.69347,0.66711,0.62936,0.6464,0.68399,0.71709,0.73131,0.74177,0.76803,0.80613,0.83792,0.85027,0.85786,0.82298,0.76556,0.72503,0.76271,0.76239,0.75592,0.76957
Libya,m9,d1,0.54754,0.52768,0.51119,0.49646,0.48881,0.48577,0.46433,0.49228,0.53199,0.57188,0.58584,0.59978,0.61381,0.62345,0.63755,0.64965,0.64681,0.61884,0.58109,0.61893,0.61476,0.59397,0.5762,0.55631
Libya,m10,d1,0.41068,0.39511,0.38422,0.3776,0.3748,0.38093,0.38499,0.4137,0.45164,0.48538,0.49419,0.5027,0.50324,0.49867,0.49734,0.50629,0.51398,0.51023,0.53582,0.54955,0.52698,0.49765,0.46502,0.4336
Libya,m11,d1,0.35116,0.33942,0.33102,0.32533,0.32454,0.33232,0.35451,0.37368,0.39949,0.41996,0.4211,0.42439,0.42381,0.42025,0.41795,0.42796,0.44053,0.45488,0.50684,0.49663,0.47336,0.44318,0.40792,0.37537
Libya,m12,d1,0.39612,0.37591,0.36169,0.35437,0.3517,0.35876,0.38497,0.41215,0.43862,0.4646,0.46653,0.46593,0.46515,0.46581,0.46844,0.48104,0.49547,0.52082,0.58211,0.57972,0.56072,0.52969,0.48609,0.43888
