z,type,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Libya,energy,48260,50578,52217,53882,54419,55668,56390,56503,56594,56475,56507,56506,56479,56347,56192,56012,55810,55502,55195,54876,54539,54182,53808,53418,53011,52606,52297
Libya,peak,9076,9512,9820,10133,10234,10469,10605,10626,10643,10621,10627,10627,10622,10597,10568,10534,10496,10438,10380,10320,10257,10190,10119,10046,9969,9893,9835
