,,,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Benin,Niger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,Nigeria,1,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Togo,1,,,,,171,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250
Benin,Burkina,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Togo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Mali,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,IvoryCoast,1,,,,,30,30,30,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Burkina,Ghana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Niger,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina,Benin,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,Senegal,1,,,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
Gambia,GuineaBissau,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghana,Burkina,1,,,,,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9,108.9
Ghana,Togo,1,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Ghana,IvoryCoast,1,,,,,0,0,0,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117
