paramNames,baseline
pSettings,pSettings.csv
y,y.csv
zcmap,zcmap.csv
pHours,pHours.csv
ftfindex,resources/ftfindex.csv
pFuelCarbonContent,resources/pFuelCarbonContent.csv
pTechData,resources/pTechData.csv
pDemandData,load/pDemandData.csv
pDemandForecast,load/pDemandForecast_sapp_adapted.csv
pDemandProfile,load/pDemandProfile.csv
sRelevant,load/srelevant.csv
pEnergyEfficiencyFactor,load/pEnergyEfficiencyFactor.csv
pGenDataInput,supply/pGenDataExcelCustom.csv
pGenDataInputDefault,supply/pGenDataExcelDefaultRampHydro.csv
pAvailability,supply/pAvailabilityCustom.csv
pAvailabilityDefault,supply/pAvailabilityDefault.csv
pEvolutionAvailability,supply/pEvolutionAvailability.csv
pCapexTrajectories,supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,supply/pCapexTrajectoriesDefaultCCDR.csv
pCSPData,supply/pCSPData.csv
pFuelPrice,supply/pFuelPrice.csv
pVREgenProfile,supply/pVREgenProfileROR.csv
pVREProfile,supply/pVREProfile.csv
pStorageDataInput,supply/pStorDataExcel.csv
pPlanningReserveMargin,reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,constraint/pEmissionsTotal.csv
pEmissionsCountry,constraint/pEmissionsCountry.csv
pMaxFuellimit,constraint/pMaxFuellimit.csv
pCarbonPrice,constraint/pCarbonPrice.csv
zext,trade/zext.csv
pExtTransferLimit,trade/pExtTransferLimit.csv
pLossFactorInternal,trade/pLossFactor.csv
pMaxPriceImportShare,trade/pMaxPriceImportShare.csv
pMaxAnnualExternalTradeShare,trade/pMaxExchangeShare.csv
pMinImport,trade/pMinImport.csv
pNewTransmission,trade/pNewTransmission.csv
pTradePrice,trade/pTradePrice.csv
pTransferLimit,trade/pTransferLimit.csv
pH2DataExcel,h2/pH2DataExcel.csv
pAvailabilityH2,h2/pAvailabilityH2.csv
pCapexTrajectoryH2,h2/pCapexTrajectoryH2.csv
pExternalH2,h2/pExternalH2.csv
pFuelDataH2,h2/pFuelDataH2.csv
solvemode,2
trace,0
reportshort,0
modeltype,rmip
pAvailabilityH2,h2/pAvailabilityH2.csv
pCapexTrajectoryH2,h2/pCapexTrajectoryH2.csv
pExternalH2,h2/pExternalH2.csv
pFuelDataH2,h2/pFuelDataH2.csv
SOLVER,
solvemode,2
trace,0
reportshort,0
modeltype,rmip
