Zone,Index
South_Africa,1
Lesotho,2
Eswatini,3
Mozambique,4
Zimbabwe,5
Botswana,6
Namibia,7
Zambia,8
Angola,9
Tanzania,10
DRC,11
Malawi,12
DRC_South,13
Mozal,14
