paramNames,baseline
modeltype,RMIP
cplexfile,input/data_casa/cplex/cplex_baseline.opt
pSettings,input/data_casa/pSettings.csv
y,input/data_casa/y.csv
zcmap,input/data_casa/zcmap.csv
pHours,input/data_casa/pHours.csv
pTechFuel,input/data_casa/pTechFuel.csv
pFuelCarbonContent,input/data_casa/pFuelCarbonContent.csv
pDemandData,input/data_casa/load/pDemandData.csv
pGenDataInput,input/data_casa/supply/pGenDataInput.csv
pAvailability,input/data_casa/supply/pAvailabilityCustom.csv
pFuelPrice,input/data_casa/supply/pFuelPrice.csv
pVREProfile,input/data_casa/supply/pVREProfile.csv
pPlanningReserveMargin,input/data_casa/reserve/pPlanningReserveMargin.csv
pPlanningReserveMarginZone,input/data_casa/reserve/pPlanningReserveMarginZone.csv
pReserveSeasonFlag,input/data_casa/reserve/pReserveSeasonFlag.csv
pSpinningReserveReqCountry,input/data_casa/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_casa/reserve/pSpinningReserveReqSystem.csv
pMaxFuellimit,input/data_casa/constraint/pMaxFuellimit.csv
pMaxFuellimitZone,input/data_casa/constraint/pMaxFuellimitZone.csv
pCarbonPrice,input/data_casa/constraint/pCarbonPrice.csv
pTransferLimit,input/data_casa/trade/pTransferLimit.csv
pLossFactorInternal,input/data_casa/trade/pLossFactorInternal.csv
pHistoricalTradeFlag,input/data_casa/trade/pHistoricalTradeFlag.csv
pMaxAnnualTransfer,input/data_casa/trade/pMaxAnnualTransfer.csv
pContractedTradeFlag,input/data_casa/trade/pContractedTradeFlag.csv
pContractedTradeEnergy,input/data_casa/trade/pContractedTradeEnergy.csv
pAvailabilityGeneric,input/data_casa/generic/pAvailabilityGeneric.csv
pCapexTrajectoriesGeneric,input/data_casa/generic/pCapexTrajectoriesGeneric.csv
pGenDataInputGeneric,input/data_casa/generic/pGenDataInputGeneric.csv
