paramNames,file
ftfindex,input/data_liberia/ftfindex.csv
mapGG,input/data_liberia/mapGG.csv
pAvailability,input/data_liberia/pAvailability.csv
pAvailabilityDaily,input/data_liberia/pAvailabilityDaily.csv
pAvailabilityH2,input/pAvailabilityH2.csv
pCapexTrajectory,input/data_liberia/pCapexTrajectory.csv
pCapexTrajectoryH2,input/data_liberia/pCapexTrajectoryH2.csv
pCarbonPrice,input/data_liberia/pCarbonPrice.csv
pCSPData,input/data_liberia/pCSPData.csv
pDemandData,input/data_liberia/pDemandData.csv
pDemandForecast,input/data_liberia/pDemandForecast_Artelia.csv
pDemandProfile,input/data_liberia/pDemandProfile.csv
peak,input/peak.csv
pEmissionsTotal,input/data_liberia/pEmissionsTotal.csv
pEmissionsCountry,input/data_liberia/pEmissionsCountry.csv
pEnergyEfficiencyFactor,input/data_liberia/pEnergyEfficiencyFactor.csv
pExternalH2,input/data_liberia/pExternalH2.csv
pExtTransferLimit,input/data_liberia/pExtTransferLimitHourly.csv
pFuelData,input/data_liberia/pFuelData.csv
pFuelPrice,input/data_liberia/pFuelPrice.csv
pFuelTypeCarbonContent,input/data_liberia/pFuelTypeCarbonContent.csv
pGenDataExcel,input/data_liberia/pGenDataExcel.csv
pH2DataExcel,input/data_liberia/pH2DataExcel.csv
pHours,input/data_liberia/pHours.csv
pLossFactor,input/data_liberia/pLossFactor.csv
pMaxExchangeShare,input/data_liberia/pMaxExchangeShare.csv
pMaxFuellimit,input/data_liberia/pMaxFuellimit.csv
pNewTransmission,input/data_liberia/pNewTransmission.csv
pReserveMargin,input/data_liberia/pReserveMargin.csv
pReserveReqLoc,input/data_liberia/pReserveReqLoc.csv
pReserveReqSys,input/data_liberia/pReserveReqSys.csv
pScalars,input/data_liberia/pScalars.csv
pStorDataExcel,input/data_liberia/pStorDataExcel.csv
pTechDataExcel,input/data_liberia/pTechDataExcel.csv
pTradePrice,input/data_liberia/pTradePrice.csv
pTransferLimit,input/data_liberia/pTransferLimit.csv
pVREgenProfile,input/data_liberia/pVREgenProfile.csv
pVREProfile,input/data_liberia/pVREProfile.csv
pZoneIndex,input/data_liberia/pZoneIndex.csv
relevant,input/data_liberia/relevant.csv
sTopology,input/data_liberia/sTopology.csv
y,input/data_liberia/y.csv
zcmapExcel,input/data_liberia/zcmapExcel.csv
zext,input/data_liberia/zext.csv
