,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
AE,0.9,0.9,,,,,,,,,,
PEM,0.9,0.9,,,,,,,,,,
SOE,0.9,0.9,,,,,,,,,,
AE2,0.9,0.9,,,,,,,,,,
