,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
MTCoffee,1,1,1,1,1,1,1,1,1,1,1,1
MTCoffee_extension,1,1,1,1,1,1,1,1,1,1,1,1
SP2_150,1,1,1,1,1,1,1,1,1,1,1,1
SP2_161,0.317567568,0.195945946,0.216216216,0.236486486,0.364864865,0.783783784,0.945945946,0.966216216,0.966216216,0.966216216,0.959459459,0.581081081
Existing_gen_lib,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Bushrod,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
CLSG_CIV,1,1,1,1,1,1,1,1,1,1,1,1
BESS_4h,1,1,1,1,1,1,1,1,1,1,1,1
BESS_8h,1,1,1,1,1,1,1,1,1,1,1,1
BESS_2h,1,1,1,1,1,1,1,1,1,1,1,1
BESS_2h_committed,1,1,1,1,1,1,1,1,1,1,1,1
BESS_3h,1,1,1,1,1,1,1,1,1,1,1,1
PV_RESPITE,1,1,1,1,1,1,1,1,1,1,1,1
PV_CAND_LIB,1,1,1,1,1,1,1,1,1,1,1,1
PV_2026,1,1,1,1,1,1,1,1,1,1,1,1
PV_2028,1,1,1,1,1,1,1,1,1,1,1,1
PV_2030,1,1,1,1,1,1,1,1,1,1,1,1
Thermal_LNG,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Via/SP4,0.764835783,0.764835783,0.764835783,0.764835783,0.764835783,0.732088132,0.915140286,0.95,0.95,0.95,0.95,0.875298151
SP1B,0.215120728,0.215120728,0.215120728,0.215120728,0.215120728,0.508194899,0.803415363,0.85405,0.85405,0.85405,0.846655033,0.501311474
Respite_PV,0.203395572,0.203395572,0.203395572,0.203395572,0.203395572,0.480495733,0.759625204,0.8075,0.8075,0.8075,0.800508096,0.473987489
SP3,0.216556462,0.216556462,0.216556462,0.216556462,0.216556462,0.511586633,0.808777423,0.85975,0.85975,0.85975,0.852305678,0.504657268
SP1A,0.259322034,0.191525424,0.213559322,0.228813559,0.322033898,0.720338983,0.955932203,0.991525424,0.944067797,1,0.993220339,0.601694915
Tiboto,0.239288908,0.239288908,0.239288908,0.239288908,0.239288908,0.565289098,0.893676711,0.95,0.95,0.95,0.94177423,0.55763234
SP2_Upper,0.183893263,0.183893263,0.183893263,0.183893263,0.183893263,0.547203788,0.850526318,0.95,0.95,0.95,0.835490202,0.400631459
MTCoffee_ext,0.253646243,0.253646243,0.253646243,0.253646243,0.253646243,0.565289098,0.893676711,0.95,0.95,0.95,0.94177423,0.591090281
SP0,1,1,1,1,1,1,1,1,1,1,1,1
MTCoffee_1,0.396852897,0.396852897,0.396852897,0.396852897,0.396852897,0.688385222,0.911304443,0.95,0.95,0.95,0.901997899,0.488679588
SP2_1,0.634434026,0.634434026,0.634434026,0.634434026,0.634434026,0.873480402,0.938675045,0.95,0.95,0.95,0.95,0.701120844
MTCoffee_ext_1,0.396852897,0.396852897,0.396852897,0.396852897,0.396852897,0.688385222,0.911304443,0.95,0.95,0.95,0.901997899,0.488679588
SP2_Upper_1,0.634434026,0.634434026,0.634434026,0.634434026,0.634434026,0.873480402,0.938675045,0.95,0.95,0.95,0.95,0.701120844
CLSG_Guinea,1,1,1,1,1,1,1,1,1,1,1,1
CLSG_CIV_ext,1,1,1,1,1,1,1,1,1,1,1,1
