ZONE,Seasons,Day types,Year,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Liberia,m1,d1,2023,72.15307005,72.06529259,70.55794177,68.36955895,67.67339291,68.80239262,56.70393485,59.41583453,60.77680888,63.30582877,65.7725872,66.8545503,68.98911646,70.55854713,71.41864514,72.928145,70.81833208,73.73609109,81.66633035,87.18117613,89.13044105,88.43427501,87.38699914,80.8279043
Liberia,m1,d2,2023,75.38570193,75.27976362,72.84015566,72.0683194,71.11184779,71.72931681,65.53646584,67.42519458,65.36091093,62.24329778,60.84491208,61.8740271,63.66287114,67.02565581,66.94695878,67.57653502,68.77515134,70.79100605,82.30498703,85.2288844,86.58792159,84.59930816,81.11847795,77.51052176
Liberia,m1,d3,2023,74.88930528,72.42850966,71.9987028,71.98659556,70.01614298,71.92303257,63.92620352,64.65263765,67.88829634,68.84779475,69.90112424,72.43759008,72.76751225,70.34001153,76.0576535,71.20265206,71.00590948,79.51124243,86.60608244,88.19515711,89.22729893,88.42216777,83.96367829,80.14384549
Liberia,m1,d4,2023,75.43110406,74.21130009,74.68045546,75.50072067,75.06486019,74.33842606,68.41193428,71.01801672,73.1942923,73.1942923,75.27371,76.21504756,77.31075238,77.84044393,80.6947247,80.23464975,80.03790718,81.30008648,88.38281926,91.40054771,91.40357452,91.61847795,86.454742,83.96973191
Liberia,m1,d5,2023,81.25771116,81.91755549,79.71706544,79.51124243,78.20063419,76.87186509,71.98054194,73.01873739,78.53055636,77.83439031,78.24906313,79.49610839,81.69659844,72.56774287,75.49466705,77.28048429,79.16315941,79.55967138,90.88296339,95.48068608,95.44739118,92.92908619,88.63101758,87.17814932
Liberia,m1,d6,2023,75.14961084,73.58475065,73.0217642,71.22383972,69.48342462,78.15825886,71.33885846,77.00807149,77.4560392,79.00273854,79.75944076,78.615307,81.58763332,83.71245316,85.11083886,86.97232632,84.44796771,82.44422024,89.03358317,90.41380801,90.33208417,90.59844336,85.88570193,84.23609109
Liberia,m1,d7,2023,82.42605938,80.0439608,78.82718363,79.35687518,75.54914961,77.32285961,70.5004324,70.01916979,76.07581436,72.7826463,76.0576535,78.01297204,77.88887287,77.18362641,79.47492073,79.0572211,80.183194,78.53660997,87.52925915,91.51859325,93.84620928,92.09974056,88.48573076,85.13202652
Liberia,m1,d8,2023,84.32386855,83.64586336,81.42115884,80.53733064,79.80484289,78.96339003,73.36984722,68.9658403,71.63245892,74.05693283,72.8855578,76.07278755,74.8983857,75.26462958,77.9312482,79.55967138,80.28610551,82.65609686,86.25799942,88.22542519,89.18795042,88.23753243,88.06803113,86.83309311
Liberia,m1,d9,2023,83.01931392,82.95877775,81.59368694,80.48284808,80.30426636,77.12309023,71.76714586,68.30230326,66.03825022,64.32770971,65.42217354,66.65538628,69.23894926,70.92009945,71.01308302,73.66847218,74.38797492,78.30959931,89.43614875,93.613145,94.82689536,93.61011819,91.64874604,86.13390026
Liberia,m1,d10,2023,78.76967426,77.63764774,77.5559239,76.02738541,77.18665321,77.77385414,74.47765927,73.03387143,74.20827328,78.41251081,79.3629288,80.61905448,82.34736235,83.16762756,86.13390026,86.73320842,87.58676852,86.66359181,91.35514558,97.96872297,97.86883828,95.6925627,94.9782358,88.6007495
