,,2022,2023,2024,2025
North,Q1,2000000,2000000,2000000,2000000
South,Q1,2000000,2000000,2000000,2000000
North,Q2,2000000,2000000,2000000,2000000
South,Q2,2000000,2000000,2000000,2000000
