,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
Country1,,372000.6142,389415.7476,362550.8332,189460.0243,217942.6333,170690.2785,161342.6444,167109.367,,,,,,,,,,
Country2,,315863.5339,265651.6605,243334.5571,235762.1273,51240.82097,48802.39373,,,,,,,,,,,,
