Abbreviation,Assigned Value,Construction Period (years),Hourly Variation? (Yes/No),RE Technology (Yes/No)
GT,1,2,NO,NO
CCGT,2,2.5,NO,NO
COAL,3,7,NO,NO
STO HY,4,4,NO,YES
WIND,5,2,YES,YES
PV,6,1,YES,YES
BIOGAS,7,2,NO,YES
INT,8,2,NO,NO
CHP,9,2.5,NO,NO
ICE,10,1,NO,NO
BIOMAS,11,2,NO,YES
ROR,12,2,YES,YES
ST,13,4,NO,NO
CSP,14,3,NO,YES
PVwSTO,15,1,YES,YES
STOPV,16,1,NO,YES
STORAGE,17,1,NO,NO
COALCCS,18,1,NO,NO
GASCCS,19,1,NO,NO
CCGTH2,20,1,NO,YES
