gen,zone,tech,fuel,Status,StYr,RetrYr,Capacity,DescreteCap,fuel2,HeatRate2,BuildLimitperYear,Life,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,Capex,FOMperMW,VOM,ReserveCost
Bisinde,Burundi,PV,Solar,3,2030,,20,,,,10,,,,,,,,,,,
Bweru,Burundi,PV,Solar,3,2030,,20,,,,10,,,,,,,,,,,
Forzi Akwaya,Cameroon,BiomassPlant,Biomass,3,2051,,50,,,,50,,,,,,,,,,,
Nkayi Mill ,Congo,BiomassPlant,Biomass,1,2024,,6,,,,,,,,,,,,,,,
Ouesso Biomass,Congo,BiomassPlant,Biomass,1,2024,,2.5,,,,,,,,,,,,,,,
Candidate_BESS_Rwanda,Rwanda,Storage,Battery,3,2035,,40000,,,,40,,,,,,,,,,,
Bagasse 1,Rwanda,BiomassPlant,Biomass,3,2023,,12,,,,12,,,,,,,,,,,
Soyo,Angola,CCGT,Gas,1,2017,2051,750,,,,,,,,,,,,,,,
Malembo,Angola,OCGT,Gas,1,2012,,105,,,,,,,,,,,,,,,
Limbe CCGT,Cameroon,CCGT,Gas,2,2027,,350,,,,350,,,,,,,,0.85,,,
Bikongo,Congo,ReservoirHydro,Water,3,2051,,100,,,,100,,,,,,,,,,,
Baia farta,Angola,PV,Solar,1,2024,,96,,,,96,,,,,,,,,,,
Candidate_BESS_Burundi,Burundi,Storage,Battery,3,2035,,3000,,,,6,,,,,,,,,,,
Candidate_CSP_Cameroon,Cameroon,CSPPlant,CSP,3,2035,,0,,,,40000,,,,,,,,,,,
Bangui Enerca ,CAR,OCGT,Diesel,1,2025,,20,,,,,,,,,,,,,,,
Biopo,Angola,PV,Solar,1,2024,,188,,,,188,,,,,,,,,,,
Saurimo,Angola,PV,Solar,1,2024,,27,,,,27,,,,,,,,,,,
AH Mabubas,Angola,ReservoirHydro,Water,1,1954,2051,12.8,,,,,,,,,,,,,,,
Candidate_CSP_Burundi,Burundi,CSPPlant,CSP,3,2030,,0,,,,80,,,,,,,,,,,
CTH plant,Burundi,OCGT,Diesel,1,2022,,34,,,,,,,,,,,,,,,
Candidate_OCGT_Diesel_Cameroon,Cameroon,OCGT,Diesel,3,2051,,72.6,,,,72.6,,,,,,,,,,,
Existing_OCGT_Diesel_Cameroon_2050,Cameroon,OCGT,Diesel,1,2025,,140,,,,,,,,,,,,,,,
Existing_OCGT_HFO_Cameroon_2050,Cameroon,OCGT,HFO,1,2025,,186,,,,,,,,,,,,,,,
Kribi,Cameroon,OCGT,Gas,1,2025,,216,,,,,,,,,,,,,,,
Ngaoundere,Cameroon,OCGT,Diesel,2,2030,,10,,,,10,,,,,,,,,,,
Danzi,CAR,PV,Solar,1,2025,,25,,,,,,,,,,,,,,,
Sakai,CAR,PV,Solar,1,2025,,15,,,,,,,,,,,,,,,
Abeche ,Chad,OCGT,Diesel,1,2010,,0.5,,,,,,,,,,,,,,,
Abeche 2,Chad,OCGT,Diesel,3,2030,,13.5,,,,13.5,,,,,,,,,,,
AM Timan ,Chad,OCGT,Diesel,1,2010,,0.5,,,,,,,,,,,,,,,
Ati,Chad,OCGT,Diesel,3,2028,,2,,,,2,,,,,,,,,,,
Baibokoum,Chad,OCGT,Diesel,1,2010,,0.54,,,,,,,,,,,,,,,
Bardai,Chad,OCGT,Diesel,1,2010,,1,,,,,,,,,,,,,,,
Bebedja,Chad,OCGT,Diesel,1,2010,,0.9,,,,,,,,,,,,,,,
Biltine,Chad,OCGT,Diesel,1,2010,,0.58,,,,,,,,,,,,,,,
Candidate_OCGT_Diesel_Chad,Chad,OCGT,Diesel,3,2035,,0,,,,3.5,,,,,,,,,,,
Denali Ndjamena ,Chad,OCGT,Diesel,2,2028,,32,,,,32,,,,,,,,,,,
