z,tech,fuel,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
CAR,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Storage,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ST ,Coal,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ST ,Lignite,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OCGT,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,CCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OCGT,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OCGT,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,CCGT,LNG,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ROR,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ReservoirHydro,Water,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,PV,Solar,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OnshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,OffshoreWind,Wind,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,BiomassPlant,Biomass,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,Storage,Battery,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,CSPPlant,CSP,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ICE,Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ICE,HFO,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Chad,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Congo,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
EquatorialGuinea,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_South,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC_East,ICE,Diesel,,,,,,,,,,,,,,,,,,,,,,,,,,
