z,tech,fuel,MinLimitShare,HeatRate,RampUpRate,RampDnRate,OverLoadFactor,ResLimShare,FOMperMW,VOM,ReserveCost,Capex,Life
Angola,ST ,Coal,,,,,,,,,,,
Angola,ST ,Lignite,,,,,,,,,,,
Angola,OCGT,Gas,,,,,,,,,,,
Angola,OCGT,HFO,,,,,,,,,,,
Angola,OCGT,Diesel,,,,,,,,,,,
Angola,CCGT,Gas,,,,,,,,,,,
Angola,ReservoirHydro,Water,,,,,,,,,,,
Angola,ROR,Water,,,,,,,,,,,
Angola,PV,Solar,,,,,,,,,,,
Angola,OnshoreWind,Wind,,,,,,,,,,,
Angola,OffshoreWind,Wind,,,,,,,,,,,
Angola,BiomassPlant,Biomass,,,,,,,,,,,
Angola,Storage,Battery,,,,,,,,,,,
Burundi,ST ,Coal,,,,,,,,,,,
Burundi,ST ,Lignite,,,,,,,,,,,
Burundi,OCGT,Gas,,,,,,,,,,,
Burundi,OCGT,HFO,,,,,,,,,,,
Burundi,OCGT,Diesel,,,,,,,,,,,
Burundi,CCGT,Gas,,,,,,,,,,,
Burundi,ReservoirHydro,Water,,,,,,,,,,,
Burundi,ROR,Water,,,,,,,,,,,
Burundi,PV,Solar,,,,,,,,,,,
Burundi,OnshoreWind,Wind,,,,,,,,,,,
Burundi,OffshoreWind,Wind,,,,,,,,,,,
Burundi,BiomassPlant,Biomass,,,,,,,,,,,
Burundi,Storage,Battery,,,,,,,,,,,
Cameroon,ST ,Coal,,,,,,,,,,,
Cameroon,ST ,Lignite,,,,,,,,,,,
Cameroon,OCGT,Gas,,,,,,,,,,,
Cameroon,OCGT,HFO,,,,,,,,,,,
Cameroon,OCGT,Diesel,,,,,,,,,,,
Cameroon,CCGT,Gas,,,,,,,,,,,
Cameroon,ReservoirHydro,Water,,,,,,,,,,,
Cameroon,ROR,Water,,,,,,,,,,,
Cameroon,PV,Solar,,,,,,,,,,,
Cameroon,OnshoreWind,Wind,,,,,,,,,,,
Cameroon,OffshoreWind,Wind,,,,,,,,,,,
Cameroon,BiomassPlant,Biomass,,,,,,,,,,,
Cameroon,Storage,Battery,,,,,,,,,,,
CAR,ST ,Coal,,,,,,,,,,,
CAR,ST ,Lignite,,,,,,,,,,,
CAR,OCGT,Gas,,,,,,,,,,,
CAR,OCGT,HFO,,,,,,,,,,,
CAR,OCGT,Diesel,,,,,,,,,,,
CAR,CCGT,Gas,,,,,,,,,,,
CAR,ReservoirHydro,Water,,,,,,,,,,,
CAR,ROR,Water,,,,,,,,,,,
CAR,PV,Solar,,,,,,,,,,,
CAR,OnshoreWind,Wind,,,,,,,,,,,
CAR,OffshoreWind,Wind,,,,,,,,,,,
CAR,BiomassPlant,Biomass,,,,,,,,,,,
CAR,Storage,Battery,,,,,,,,,,,
Chad,ST ,Coal,,,,,,,,,,,
Chad,ST ,Lignite,,,,,,,,,,,
Chad,OCGT,Gas,,,,,,,,,,,
Chad,OCGT,HFO,,,,,,,,,,,
Chad,OCGT,Diesel,,,,,,,,,,,
Chad,CCGT,Gas,,,,,,,,,,,
Chad,ReservoirHydro,Water,,,,,,,,,,,
Chad,ROR,Water,,,,,,,,,,,
Chad,PV,Solar,,,,,,,,,,,
Chad,OnshoreWind,Wind,,,,,,,,,,,
Chad,OffshoreWind,Wind,,,,,,,,,,,
Chad,BiomassPlant,Biomass,,,,,,,,,,,
Chad,Storage,Battery,,,,,,,,,,,
Congo,ST ,Coal,,,,,,,,,,,
Congo,ST ,Lignite,,,,,,,,,,,
Congo,OCGT,Gas,,,,,,,,,,,
Congo,OCGT,HFO,,,,,,,,,,,
Congo,OCGT,Diesel,,,,,,,,,,,
Congo,CCGT,Gas,,,,,,,,,,,
Congo,ReservoirHydro,Water,,,,,,,,,,,
Congo,ROR,Water,,,,,,,,,,,
Congo,PV,Solar,,,,,,,,,,,
Congo,OnshoreWind,Wind,,,,,,,,,,,
Congo,OffshoreWind,Wind,,,,,,,,,,,
Congo,BiomassPlant,Biomass,,,,,,,,,,,
Congo,Storage,Battery,,,,,,,,,,,
DRC,ST ,Coal,,,,,,,,,,,
DRC,ST ,Lignite,,,,,,,,,,,
DRC,OCGT,Gas,,,,,,,,,,,
DRC,OCGT,HFO,,,,,,,,,,,
DRC,OCGT,Diesel,,,,,,,,,,,
DRC,CCGT,Gas,,,,,,,,,,,
