gen,Q1,Q2
Lauca,,
Cambambe 2,0.20736543257199638,0.6353299356919978
Capanda,0.1975880161669667,0.6188453280640588
Cambambe 1,0.8784836682273692,0.9673909100124588
1smallhydrodro2012_hydro_angola,,
Cacula Cabasa,,
Baynes,,
Zenzo 1,,
Quilengue,,
Vuka,,
Rwegura,,
Ruzb,,
Rusumo,,
Gikuka,,
Ruvyironza,,
Bini A Warak,,
Lagdo,0.6220327848373971,0.4562441019170654
Lom-Pangar,,
Bikongo,,
Chollet (Congo),,
Djoue Rebuild,,
Hydrodroaggregated2,,
Hydrodroaggregated3,,
Ibabanga,,
Ibenga,,
Imboulou,0.16900624965215044,0.689690566798333
Kakamoeka,,
Kiniangui,,
Kiteke,,
Kouembali,,
Linzolo,,
Liouesso,0.3430283400809716,0.5115095430884905
Loufoulakari,,
Mbandza Ndounga,,
Moanga Mapita 1,,
Moanga Mapita 2,,
Motaba,,
Moukouloukou,,
Moukouloukou 1,,
Moukouloukou 2,,
Mourala,,
Mpoukou,,
Ntoula,,
Nyanga,,
Sounda Gorge,,
Inga 1,1.0,1.0
Inga 2,1.0,1.0
Inga 3,,
Nzongo,,
Nzongoii,,
Nzoro,,
Ruzizi 1,0.22421636982931012,0.6136612582707446
Ruzizi 3,,
Ruzizi 4,,
Smallhydrodro_hydro_drc,,
Sombwe,,
Nseke,0.4512347906299876,0.5348322924071518
Busanga,,
Nzilo,0.3929287941920429,0.46572430165924866
Mwadingusha,0.2616079463297755,0.5293684607955453
Koni,0.3130767797418988,0.6084973135720607
Kilubi,0.039817198186597014,0.5829879746132366
Djibloho,0.27118313473877176,0.6212151368338352
Sendje,,
Grand Poubara,0.28089642900492107,0.9027034794989154
Tchimbele,0.3918093699792461,0.9266649085934924
Ouyama,,
