g,q,d,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24
Akieni,Q1,d1,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
Akieni,Q1,d2,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
Akieni,Q1,d3,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
Akieni,Q1,d4,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
Akieni,Q1,d5,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772,0.772
Angouma,Q1,d1,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002
Angouma,Q1,d2,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002
Angouma,Q1,d3,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002
Angouma,Q1,d4,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002
Angouma,Q1,d5,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002,0.6060000002
