paramNames,baseline,TransmissionOptimal,NoTransmission
modeltype,RMIP,RMIP,RMIP
cplexfile,input/data_wapp/cplex/cplex_baseline.opt,input/data_wapp/cplex/cplex_baseline.opt,input/data_wapp/cplex/cplex_baseline.opt
pSettings,input/data_wapp/pSettings.csv,input/data_wapp/pSettings.csv,input/data_wapp/pSettings.csv
y,input/data_wapp/y.csv,input/data_wapp/y.csv,input/data_wapp/y.csv
zcmap,input/data_wapp/zcmap.csv,input/data_wapp/zcmap.csv,input/data_wapp/zcmap.csv
pHours,input/data_wapp/pHours.csv,input/data_wapp/pHours.csv,input/data_wapp/pHours.csv
pDemandProfile,input/data_wapp/load/pDemandProfile.csv,input/data_wapp/load/pDemandProfile.csv,input/data_wapp/load/pDemandProfile.csv
pDemandData,input/data_wapp/load/pDemandData.csv,input/data_wapp/load/pDemandData.csv,input/data_wapp/load/pDemandData.csv
pDemandForecast,input/data_wapp/load/pDemandForecast.csv,input/data_wapp/load/pDemandForecast.csv,input/data_wapp/load/pDemandForecast.csv
sRelevant,input/data_wapp/load/sRelevant.csv,input/data_wapp/load/sRelevant.csv,input/data_wapp/load/sRelevant.csv
pEnergyEfficiencyFactor,input/data_wapp/load/pEnergyEfficiencyFactor.csv,input/data_wapp/load/pEnergyEfficiencyFactor.csv,input/data_wapp/load/pEnergyEfficiencyFactor.csv
pGenDataInput,input/data_wapp/supply/pGenDataInput.csv,input/data_wapp/supply/pGenDataInput.csv,input/data_wapp/supply/pGenDataInput.csv
pGenDataInputDefault,input/data_wapp/supply/pGenDataInputDefault.csv,input/data_wapp/supply/pGenDataInputDefault.csv,input/data_wapp/supply/pGenDataInputDefault.csv
pAvailability,input/data_wapp/supply/pAvailabilityCustom.csv,input/data_wapp/supply/pAvailabilityCustom.csv,input/data_wapp/supply/pAvailabilityCustom.csv
pAvailabilityDefault,input/data_wapp/supply/pAvailabilityDefault.csv,input/data_wapp/supply/pAvailabilityDefault.csv,input/data_wapp/supply/pAvailabilityDefault.csv
pEvolutionAvailability,input/data_wapp/supply/pEvolutionAvailability.csv,input/data_wapp/supply/pEvolutionAvailability.csv,input/data_wapp/supply/pEvolutionAvailability.csv
pCapexTrajectories,input/data_wapp/supply/pCapexTrajectoriesCustom.csv,input/data_wapp/supply/pCapexTrajectoriesCustom.csv,input/data_wapp/supply/pCapexTrajectoriesCustom.csv
pCapexTrajectoriesDefault,input/data_wapp/supply/pCapexTrajectoriesDefault.csv,input/data_wapp/supply/pCapexTrajectoriesDefault.csv,input/data_wapp/supply/pCapexTrajectoriesDefault.csv
pCSPData,input/data_wapp/supply/pCSPData.csv,input/data_wapp/supply/pCSPData.csv,input/data_wapp/supply/pCSPData.csv
pFuelPrice,input/data_wapp/supply/pFuelPrice.csv,input/data_wapp/supply/pFuelPrice.csv,input/data_wapp/supply/pFuelPrice.csv
pVREgenProfile,input/data_wapp/supply/pVREgenProfile.csv,input/data_wapp/supply/pVREgenProfile.csv,input/data_wapp/supply/pVREgenProfile.csv
pVREProfile,input/data_wapp/supply/pVREProfile.csv,input/data_wapp/supply/pVREProfile.csv,input/data_wapp/supply/pVREProfile.csv
pStorageDataInput,input/data_wapp/supply/pStorageDataInput.csv,input/data_wapp/supply/pStorageDataInput.csv,input/data_wapp/supply/pStorageDataInput.csv
pPlanningReserveMargin,input/data_wapp/reserve/pPlanningReserveMargin.csv,input/data_wapp/reserve/pPlanningReserveMargin.csv,input/data_wapp/reserve/pPlanningReserveMargin.csv
pSpinningReserveReqCountry,input/data_wapp/reserve/pSpinningReserveReqCountry.csv,input/data_wapp/reserve/pSpinningReserveReqCountry.csv,input/data_wapp/reserve/pSpinningReserveReqCountry.csv
pSpinningReserveReqSystem,input/data_wapp/reserve/pSpinningReserveReqSystem.csv,input/data_wapp/reserve/pSpinningReserveReqSystem.csv,input/data_wapp/reserve/pSpinningReserveReqSystem.csv
pEmissionsTotal,input/data_wapp/constraint/pEmissionsTotal.csv,input/data_wapp/constraint/pEmissionsTotal.csv,input/data_wapp/constraint/pEmissionsTotal.csv
pEmissionsCountry,input/data_wapp/constraint/pEmissionsCountry.csv,input/data_wapp/constraint/pEmissionsCountry.csv,input/data_wapp/constraint/pEmissionsCountry.csv
pMaxFuellimit,input/data_wapp/constraint/pMaxFuellimit.csv,input/data_wapp/constraint/pMaxFuellimit.csv,input/data_wapp/constraint/pMaxFuellimit.csv
pMaxGenerationByFuel,input/data_wapp/constraint/pMaxGenerationByFuel.csv,input/data_wapp/constraint/pMaxGenerationByFuel.csv,input/data_wapp/constraint/pMaxGenerationByFuel.csv
pCarbonPrice,input/data_wapp/constraint/pCarbonPrice.csv,input/data_wapp/constraint/pCarbonPrice.csv,input/data_wapp/constraint/pCarbonPrice.csv
zext,input/data_wapp/trade/zext.csv,input/data_wapp/trade/zext.csv,input/data_wapp/trade/zext.csv
pExtTransferLimit,input/data_wapp/trade/pExtTransferLimit.csv,input/data_wapp/trade/pExtTransferLimit.csv,input/data_wapp/trade/pExtTransferLimit.csv
pLossFactorInternal,input/data_wapp/trade/pLossFactorInternal.csv,input/data_wapp/trade/pLossFactorInternal.csv,input/data_wapp/trade/pLossFactorInternal.csv
pMaxAnnualExternalTradeShare,input/data_wapp/trade/pMaxAnnualExternalTradeShare.csv,input/data_wapp/trade/pMaxAnnualExternalTradeShare.csv,input/data_wapp/trade/pMaxAnnualExternalTradeShare.csv
pMinImport,input/data_wapp/trade/pMinImport.csv,input/data_wapp/trade/pMinImport.csv,input/data_wapp/trade/pMinImport.csv
pNewTransmission,input/data_wapp/trade/pNewTransmission.csv,input/data_wapp/trade/pNewTransmission.csv,input/data_wapp/trade/pNewTransmission.csv
pTradePrice,input/data_wapp/trade/pTradePrice.csv,input/data_wapp/trade/pTradePrice.csv,input/data_wapp/trade/pTradePrice.csv
pTransferLimit,input/data_wapp/trade/pTransferLimit.csv,input/data_wapp/trade/pTransferLimit.csv,input/data_wapp/trade/pTransferLimit.csv
pH2DataExcel,input/data_wapp/h2/pH2DataExcel.csv,input/data_wapp/h2/pH2DataExcel.csv,input/data_wapp/h2/pH2DataExcel.csv
pAvailabilityH2,input/data_wapp/h2/pAvailabilityH2.csv,input/data_wapp/h2/pAvailabilityH2.csv,input/data_wapp/h2/pAvailabilityH2.csv
pCapexTrajectoryH2,input/data_wapp/h2/pCapexTrajectoryH2.csv,input/data_wapp/h2/pCapexTrajectoryH2.csv,input/data_wapp/h2/pCapexTrajectoryH2.csv
pExternalH2,input/data_wapp/h2/pExternalH2.csv,input/data_wapp/h2/pExternalH2.csv,input/data_wapp/h2/pExternalH2.csv
pFuelDataH2,input/data_wapp/h2/pFuelDataH2.csv,input/data_wapp/h2/pFuelDataH2.csv,input/data_wapp/h2/pFuelDataH2.csv
