paramNames,baseline,NoInterconnection,NoInterconnectionExpansion,OptimalInterconnection,pDemandForecast_01,pDemandForecast_02
modeltype,RMIP,RMIP,RMIP,RMIP,RMIP,RMIP
cplexfile,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\cplex/cplex_baseline.opt
pSettings,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pSettings.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\sensitivity\pSettings_NoInterconnection.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\sensitivity\pSettings_NoInterconnectionExpansion.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\sensitivity\pSettings_OptimalInterconnection.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pSettings.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pSettings.csv
y,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\y.csv
zcmap,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\zcmap.csv
pHours,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\pHours.csv
pDays,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_month_days.csv
mapTS,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\static/dispatch_map_ts.csv
ftfindex,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/ftfindex.csv
pFuelCarbonContent,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pFuelCarbonContent.csv
pTechData,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv,C:\Users\wb590499\Documents\Projects\EPM\epm\input\data_test\resources/pTechData.csv
