gen,Linked Plant,CapacityMWh,CapexMWh,VOMMWh,FixedOMMWh,Efficiency,Life
Jambur BESS,,8,250,0,0,0.9,15
New BESS,,100,200,0,0,0.9,20
BESS Project,,40,200,0,0,0.9,20
