c,f,y,value
Gambia,HFO,2025,75.7
Gambia,HFO,2030,100.70006580100838
Gambia,LFO,2025,6.4
Gambia,LFO,2030,6.4
Gambia,Solar,2025,23.0
Gambia,Solar,2030,173.0000566451207
Gambia,Battery,2025,2.0
Gambia,Battery,2030,12.005000234749897
Gambia,Import,2025,77.0
Gambia,Import,2030,87.0
Gambia,Gas,2030,50.00006298956799
