z,q,d,t,y,value
Gambia,m1,d1,t1,2025,194.9990932634603
Gambia,m1,d1,t1,2030,139.4000402924849
Gambia,m1,d1,t2,2025,194.99903233632392
Gambia,m1,d1,t2,2030,139.40001057665955
Gambia,m1,d1,t3,2025,194.99900802777717
Gambia,m1,d1,t3,2030,139.40000234766654
Gambia,m1,d1,t4,2025,194.99898201722326
Gambia,m1,d1,t4,2030,139.39999544391458
Gambia,m1,d1,t5,2025,194.99895294882316
Gambia,m1,d1,t5,2030,139.3999893810463
Gambia,m1,d1,t6,2025,194.99896043597403
Gambia,m1,d1,t6,2030,139.39999072541315
Gambia,m1,d1,t7,2025,194.9989676998419
Gambia,m1,d1,t7,2030,139.39999207769912
Gambia,m1,d1,t8,2025,194.99898018968696
Gambia,m1,d1,t8,2030,139.39999293081874
Gambia,m1,d1,t9,2025,194.99891682021615
Gambia,m1,d1,t9,2030,139.39988614033956
Gambia,m1,d1,t10,2025,194.99878710869402
Gambia,m1,d1,t10,2030,57.71000354778795
Gambia,m1,d1,t11,2025,194.99881402002467
Gambia,m1,d1,t11,2030,57.70999008500128
Gambia,m1,d1,t12,2025,194.99871563944666
Gambia,m1,d1,t12,2030,57.709979156409304
Gambia,m1,d1,t13,2025,194.99860522307446
Gambia,m1,d1,t13,2030,57.70996660949936
Gambia,m1,d1,t14,2025,194.99878435355043
Gambia,m1,d1,t14,2030,57.70998296092532
Gambia,m1,d1,t15,2025,194.99878430574563
Gambia,m1,d1,t15,2030,57.70998359375797
Gambia,m1,d1,t16,2025,194.99882748011092
Gambia,m1,d1,t16,2030,57.70998881718528
Gambia,m1,d1,t17,2025,194.99886093928015
Gambia,m1,d1,t17,2030,57.71000280797506
Gambia,m1,d1,t18,2025,194.99897613465632
Gambia,m1,d1,t18,2030,139.3997284943337
Gambia,m1,d1,t19,2025,194.9991475525517
Gambia,m1,d1,t19,2030,139.40001267225043
Gambia,m1,d1,t20,2025,194.9992267963694
Gambia,m1,d1,t20,2030,139.4000600357019
Gambia,m1,d1,t21,2025,194.99935384937783
Gambia,m1,d1,t21,2030,139.40011422707607
Gambia,m1,d1,t22,2025,194.99927724156112
Gambia,m1,d1,t22,2030,139.40007975536986
Gambia,m1,d1,t23,2025,194.99922577062875
Gambia,m1,d1,t23,2030,139.40005417990372
Gambia,m1,d1,t24,2025,194.999115323062
Gambia,m1,d1,t24,2030,139.4000058469099
Gambia,m1,d2,t1,2025,194.99908690635644
Gambia,m1,d2,t1,2030,139.40003741864277
Gambia,m1,d2,t2,2025,194.99904399644933
Gambia,m1,d2,t2,2030,139.40001548266088
Gambia,m1,d2,t3,2025,194.99900803206555
Gambia,m1,d2,t3,2030,139.400002587377
Gambia,m1,d2,t4,2025,194.99898870371825
Gambia,m1,d2,t4,2030,139.39999722678292
Gambia,m1,d2,t5,2025,194.99896789070053
Gambia,m1,d2,t5,2030,139.3999924606598
Gambia,m1,d2,t6,2025,194.9989748850848
Gambia,m1,d2,t6,2030,139.39999389685124
Gambia,m1,d2,t7,2025,194.99898169943037
Gambia,m1,d2,t7,2030,139.3999953907876
Gambia,m1,d2,t8,2025,194.99899987624696
Gambia,m1,d2,t8,2030,139.39999809084023
