z,hh,y,value
Gambia,AE,2025,1e-06
Gambia,AE,2030,1e-06
Gambia,PEM,2025,1e-06
Gambia,PEM,2030,1e-06
Gambia,SOE,2025,1e-06
Gambia,SOE,2030,1e-06
