c,tech,f,y,value
Gambia,Storage,Battery,2025,0.044371477873322365
Gambia,Storage,Battery,2030,17.535519270772795
Gambia,ICE,HFO,2025,148.70760649623477
Gambia,ICE,HFO,2030,201.72305187285968
Gambia,ICE,LFO,2025,28.0322897498454
Gambia,ICE,LFO,2030,20.707425363024683
Gambia,PV,Solar,2025,45.98702551993665
Gambia,PV,Solar,2030,344.0931034726384
Gambia,ImportTransmission,Import,2025,525.7190900420022
Gambia,ImportTransmission,Import,2030,159.7839910102062
Gambia,CCGT,Gas,2030,351.8335601013152
