z,y,q,d,uni,t,value
Gambia,2025,m1,d1,Generation,t1,79.9849578607449
Gambia,2025,m1,d1,Generation,t2,74.72266824074863
Gambia,2025,m1,d1,Generation,t3,72.62268551582905
Gambia,2025,m1,d1,Generation,t4,70.52395231842335
Gambia,2025,m1,d1,Generation,t5,68.42615772075546
Gambia,2025,m1,d1,Generation,t6,68.94979629802599
Gambia,2025,m1,d1,Generation,t7,69.47361902900606
Gambia,2025,m1,d1,Generation,t8,70.52179598642276
Gambia,2025,m1,d1,Generation,t9,71.04579653879803
Gambia,2025,m1,d1,Generation,t10,72.61827388692454
Gambia,2025,m1,d1,Generation,t11,74.71498524918661
Gambia,2025,m1,d1,Generation,t12,71.56958448698362
Gambia,2025,m1,d1,Generation,t13,68.94841558751949
Gambia,2025,m1,d1,Generation,t14,73.66624521231762
Gambia,2025,m1,d1,Generation,t15,73.66616621256509
Gambia,2025,m1,d1,Generation,t16,75.23873638705287
Gambia,2025,m1,d1,Generation,t17,75.76288495802612
Gambia,2025,m1,d1,Generation,t18,76.81124987511838
Gambia,2025,m1,d1,Generation,t19,84.67440349340923
Gambia,2025,m1,d1,Generation,t20,88.34381416465318
Gambia,2025,m1,d1,Generation,t21,93.0616883624501
Gambia,2025,m1,d1,Generation,t22,90.44056644960231
Gambia,2025,m1,d1,Generation,t23,88.34365513222609
Gambia,2025,m1,d1,Generation,t24,82.05301891664105
Gambia,2025,m1,d1,Unmet demand,t1,4.989483311689977e-05
Gambia,2025,m1,d1,Unmet demand,t2,4.988630231930659e-05
Gambia,2025,m1,d1,Unmet demand,t3,4.9881920776771214e-05
Gambia,2025,m1,d1,Unmet demand,t4,4.987437827668158e-05
Gambia,2025,m1,d1,Unmet demand,t5,4.986853395246715e-05
Gambia,2025,m1,d1,Unmet demand,t6,4.986957744177408e-05
Gambia,2025,m1,d1,Unmet demand,t7,4.987074596659779e-05
Gambia,2025,m1,d1,Unmet demand,t8,4.9873225856547184e-05
Gambia,2025,m1,d1,Unmet demand,t9,4.9862292853559726e-05
Gambia,2025,m1,d1,Unmet demand,t10,4.984234982550158e-05
Gambia,2025,m1,d1,Unmet demand,t11,4.984612015936321e-05
Gambia,2025,m1,d1,Unmet demand,t12,4.9832014492009785e-05
Gambia,2025,m1,d1,Unmet demand,t13,4.9817263208385474e-05
Gambia,2025,m1,d1,Unmet demand,t14,4.984157028060985e-05
Gambia,2025,m1,d1,Unmet demand,t15,4.984157582637144e-05
Gambia,2025,m1,d1,Unmet demand,t16,4.9847963758784366e-05
Gambia,2025,m1,d1,Unmet demand,t17,4.985314707558747e-05
Gambia,2025,m1,d1,Unmet demand,t18,4.9872533660224965e-05
Gambia,2025,m1,d1,Unmet demand,t19,4.9904200355437104e-05
Gambia,2025,m1,d1,Unmet demand,t20,4.991692721228258e-05
Gambia,2025,m1,d1,Unmet demand,t21,4.993485022028158e-05
Gambia,2025,m1,d1,Unmet demand,t22,4.992332880540776e-05
Gambia,2025,m1,d1,Unmet demand,t23,4.991440723158681e-05
Gambia,2025,m1,d1,Unmet demand,t24,4.989485905730714e-05
Gambia,2025,m1,d1,Storage Charge,t1,-0.029522048692175534
Gambia,2025,m1,d1,Storage Charge,t2,-0.009375562844311236
Gambia,2025,m1,d1,Storage Charge,t3,-0.006250119772355939
Gambia,2025,m1,d1,Storage Charge,t4,-0.004374120949597687
Gambia,2025,m1,d1,Storage Charge,t5,-0.0034368053172491096
Gambia,2025,m1,d1,Storage Charge,t6,-0.002861019992842677
Gambia,2025,m1,d1,Storage Charge,t7,-0.002469470404906276
Gambia,2025,m1,d1,Storage Charge,t8,-0.0021832456729898447
Gambia,2025,m1,d1,Storage Charge,t9,-0.001969473860869352
Gambia,2025,m1,d1,Storage Charge,t10,-0.0018038135161440572
Gambia,2025,m1,d1,Storage Charge,t11,-0.0016578875282259593
Gambia,2025,m1,d1,Storage Charge,t12,-0.0015429448876994125
Gambia,2025,m1,d1,Storage Charge,t13,-0.0014455777988889658
Gambia,2025,m1,d1,Storage Charge,t14,-0.001346485043705033
Gambia,2025,m1,d1,Storage Charge,t15,-0.0012674853171414226
Gambia,2025,m1,d1,Storage Charge,t16,-0.001194747542686539
Gambia,2025,m1,d1,Storage Charge,t17,-0.0011289710383708329
Gambia,2025,m1,d1,Storage Charge,t18,-0.0010653073467653846
Gambia,2025,m1,d1,Storage Charge,t19,-0.001004276790490798
Gambia,2025,m1,d1,Storage Charge,t20,-0.0009492918496110749
Gambia,2025,m1,d1,Storage Charge,t21,-0.0008947429740656112
Gambia,2025,m1,d1,Storage Charge,t22,-0.0008443780836544469
Gambia,2025,m1,d1,Storage Charge,t23,-0.0007902506432058741
Gambia,2025,m1,d1,Storage Charge,t24,-0.0007257904835503664
Gambia,2025,m1,d1,Demand,t1,79.9551078094778
Gambia,2025,m1,d1,Demand,t2,74.71296402771584
Gambia,2025,m1,d1,Demand,t3,72.6161064823001
Gambia,2025,m1,d1,Demand,t4,70.51924901866178
Gambia,2025,m1,d1,Demand,t5,68.42239147324602
Gambia,2025,m1,d1,Demand,t6,68.94660590048869
Gambia,2025,m1,d1,Demand,t7,69.4708202459539
Gambia,2025,m1,d1,Demand,t8,70.51924901866178
Gambia,2025,m1,d1,Demand,t9,71.043463364127
Gambia,2025,m1,d1,Demand,t10,72.6161064823001
Gambia,2025,m1,d1,Demand,t11,74.71296402771584
Gambia,2025,m1,d1,Demand,t12,71.56767779136966
Gambia,2025,m1,d1,Demand,t13,68.94660590048869
Gambia,2025,m1,d1,Demand,t14,73.66453525500796
Gambia,2025,m1,d1,Demand,t15,73.66453525500796
Gambia,2025,m1,d1,Demand,t16,75.23717837318105
Gambia,2025,m1,d1,Demand,t17,75.76139280042372
Gambia,2025,m1,d1,Demand,t18,76.80982157313161
Gambia,2025,m1,d1,Demand,t19,84.67303724577452
Gambia,2025,m1,d1,Demand,t20,88.34253790936337
Gambia,2025,m1,d1,Demand,t21,93.06046726388266
Gambia,2025,m1,d1,Demand,t22,90.4393953730017
Gambia,2025,m1,d1,Demand,t23,88.34253790936337
Gambia,2025,m1,d1,Demand,t24,82.05196535489355
Gambia,2025,m1,d2,Generation,t1,79.46069179225567
Gambia,2025,m1,d2,Generation,t2,75.77108731394527
Gambia,2025,m1,d2,Generation,t3,72.62268583221767
Gambia,2025,m1,d2,Generation,t4,71.04816715531108
Gambia,2025,m1,d2,Generation,t5,69.47458674084127
Gambia,2025,m1,d2,Generation,t6,69.99822623925508
Gambia,2025,m1,d2,Generation,t7,70.5220498759915
Gambia,2025,m1,d2,Generation,t8,72.09444136491885
Gambia,2025,m1,d2,Generation,t9,73.6668668048728
Gambia,2025,m1,d2,Generation,t10,76.28776414836659
Gambia,2025,m1,d2,Generation,t11,77.86026540639809
Gambia,2025,m1,d2,Generation,t12,76.81171906013272
Gambia,2025,m1,d2,Generation,t13,75.76318968648454
Gambia,2025,m1,d2,Generation,t14,78.90838411105467
Gambia,2025,m1,d2,Generation,t15,77.33566233883933
Gambia,2025,m1,d2,Generation,t16,79.43244699787483
Gambia,2025,m1,d2,Generation,t17,78.90816902259787
Gambia,2025,m1,d2,Generation,t18,79.43232255320214
Gambia,2025,m1,d2,Generation,t19,84.67440708282757
Gambia,2025,m1,d2,Generation,t20,93.06174263440948
Gambia,2025,m1,d2,Generation,t21,95.15854648766069
Gambia,2025,m1,d2,Generation,t22,94.11006646405404
Gambia,2025,m1,d2,Generation,t23,91.48894115063763
Gambia,2025,m1,d2,Generation,t24,85.1983050859609
Gambia,2025,m1,d2,Unmet demand,t1,4.9893591316746055e-05
Gambia,2025,m1,d2,Unmet demand,t2,4.98885805488258e-05
Gambia,2025,m1,d2,Unmet demand,t3,4.988194717890493e-05
Gambia,2025,m1,d2,Unmet demand,t4,4.987562981652959e-05
Gambia,2025,m1,d2,Unmet demand,t5,4.987120712426162e-05
Gambia,2025,m1,d2,Unmet demand,t6,4.9872221131353625e-05
Gambia,2025,m1,d2,Unmet demand,t7,4.987337232451074e-05
Gambia,2025,m1,d2,Unmet demand,t8,4.987700576947979e-05
Gambia,2025,m1,d2,Unmet demand,t9,4.987644269465573e-05
Gambia,2025,m1,d2,Unmet demand,t10,4.987886919158608e-05
Gambia,2025,m1,d2,Unmet demand,t11,4.98782565529285e-05
Gambia,2025,m1,d2,Unmet demand,t12,4.987358607938486e-05
Gambia,2025,m1,d2,Unmet demand,t13,4.98690958511913e-05
Gambia,2025,m1,d2,Unmet demand,t14,4.987780017299059e-05
Gambia,2025,m1,d2,Unmet demand,t15,4.9878638398404065e-05
Gambia,2025,m1,d2,Unmet demand,t16,4.9887450400616954e-05
Gambia,2025,m1,d2,Unmet demand,t17,4.9884094524878314e-05
Gambia,2025,m1,d2,Unmet demand,t18,4.989025202690131e-05
Gambia,2025,m1,d2,Unmet demand,t19,4.990495687646039e-05
Gambia,2025,m1,d2,Unmet demand,t20,4.993547363547784e-05
Gambia,2025,m1,d2,Unmet demand,t21,4.9944633262804325e-05
Gambia,2025,m1,d2,Unmet demand,t22,4.9938815754742485e-05
Gambia,2025,m1,d2,Unmet demand,t23,4.992588893396275e-05
Gambia,2025,m1,d2,Unmet demand,t24,4.990269827977263e-05
Gambia,2025,m1,d2,Storage Charge,t1,-0.029470260609781182
Gambia,2025,m1,d2,Storage Charge,t2,-0.009365992908689679
Gambia,2025,m1,d2,Storage Charge,t3,-0.006250436247164766
Gambia,2025,m1,d2,Storage Charge,t4,-0.0043746776390235186
Gambia,2025,m1,d2,Storage Charge,t5,-0.003437183891526159
Gambia,2025,m1,d2,Storage Charge,t6,-0.0028624013671271526
Gambia,2025,m1,d2,Storage Charge,t7,-0.0024716756782566956
Gambia,2025,m1,d2,Storage Charge,t8,-0.0021857020368508725
Gambia,2025,m1,d2,Storage Charge,t9,-0.001968204207494171
Gambia,2025,m1,d2,Storage Charge,t10,-0.0017939696718955534
Gambia,2025,m1,d2,Storage Charge,t11,-0.0016522080880753008
Gambia,2025,m1,d2,Storage Charge,t12,-0.0015344961470681233
Gambia,2025,m1,d2,Storage Charge,t13,-0.001433757371332706
Gambia,2025,m1,d2,Storage Charge,t14,-0.0013423418619455537
Gambia,2025,m1,d2,Storage Charge,t15,-0.001263508277753705
Gambia,2025,m1,d2,Storage Charge,t16,-0.0011908964369384753
Gambia,2025,m1,d2,Storage Charge,t17,-0.001127275709269526
Gambia,2025,m1,d2,Storage Charge,t18,-0.0010664615267865774
Gambia,2025,m1,d2,Storage Charge,t19,-0.001007868740944346
Gambia,2025,m1,d2,Storage Charge,t20,-0.0009490169479770817
Gambia,2025,m1,d2,Storage Charge,t21,-0.0008955987497566387
Gambia,2025,m1,d2,Storage Charge,t22,-0.0008442067321528346
Gambia,2025,m1,d2,Storage Charge,t23,-0.0007904364557676125
Gambia,2025,m1,d2,Storage Charge,t24,-0.0007261154775873128
Gambia,2025,m1,d2,Demand,t1,79.43089346401257
Gambia,2025,m1,d2,Demand,t2,75.76139280042372
Gambia,2025,m1,d2,Demand,t3,72.6161064823001
Gambia,2025,m1,d2,Demand,t4,71.043463364127
Gambia,2025,m1,d2,Demand,t5,69.4708202459539
Gambia,2025,m1,d2,Demand,t6,69.99503459141911
Gambia,2025,m1,d2,Demand,t7,70.51924901866178
Gambia,2025,m1,d2,Demand,t8,72.09189213683487
Gambia,2025,m1,d2,Demand,t9,73.66453525500796
Gambia,2025,m1,d2,Demand,t10,76.28560714588895
Gambia,2025,m1,d2,Demand,t11,77.85825034583948
Gambia,2025,m1,d2,Demand,t12,76.80982157313161
Gambia,2025,m1,d2,Demand,t13,75.76139280042372
Gambia,2025,m1,d2,Demand,t14,78.90667903676992
Gambia,2025,m1,d2,Demand,t15,77.33403591859683
Gambia,2025,m1,d2,Demand,t16,79.43089346401257
Gambia,2025,m1,d2,Demand,t17,78.90667903676992
Gambia,2025,m1,d2,Demand,t18,79.43089346401257
Gambia,2025,m1,d2,Demand,t19,84.67303724577452
Gambia,2025,m1,d2,Demand,t20,93.06046726388266
Gambia,2025,m1,d2,Demand,t21,95.15732480929842
Gambia,2025,m1,d2,Demand,t22,94.10889603659052
Gambia,2025,m1,d2,Demand,t23,91.48782414570957
Gambia,2025,m1,d2,Demand,t24,85.19725159123973
Gambia,2025,m1,d3,Generation,t1,79.46072617915584
Gambia,2025,m1,d3,Generation,t2,76.29530811832252
Gambia,2025,m1,d3,Generation,t3,73.14690478524477
Gambia,2025,m1,d3,Generation,t4,71.04817184577306
Gambia,2025,m1,d3,Generation,t5,69.99880372271298
Gambia,2025,m1,d3,Generation,t6,71.04665647290055
Gambia,2025,m1,d3,Generation,t7,71.57048004781278
Gambia,2025,m1,d3,Generation,t8,74.19129915262513
Gambia,2025,m1,d3,Generation,t9,76.81215500833744
Gambia,2025,m1,d3,Generation,t10,80.48148148913393
Gambia,2025,m1,d3,Generation,t11,81.00555393061344
Gambia,2025,m1,d3,Generation,t12,82.05386033717559
Gambia,2025,m1,d3,Generation,t13,82.5779722165175
Gambia,2025,m1,d3,Generation,t14,84.15052749665384
Gambia,2025,m1,d3,Generation,t15,81.52937815734502
Gambia,2025,m1,d3,Generation,t16,83.62616389012435
Gambia,2025,m1,d3,Generation,t17,82.05345674376015
Gambia,2025,m1,d3,Generation,t18,82.05339527220913
Gambia,2025,m1,d3,Generation,t19,84.67440828185738
Gambia,2025,m1,d3,Generation,t20,97.77966866447227
Gambia,2025,m1,d3,Generation,t21,97.25540344012555
Gambia,2025,m1,d3,Generation,t22,98.30377946892924
Gambia,2025,m1,d3,Generation,t23,94.63422660923815
Gambia,2025,m1,d3,Generation,t24,88.34359107895962
Gambia,2025,m1,d3,Unmet demand,t1,4.98936041130147e-05
Gambia,2025,m1,d3,Unmet demand,t2,4.9889731403275824e-05
Gambia,2025,m1,d3,Unmet demand,t3,4.988310720710615e-05
Gambia,2025,m1,d3,Unmet demand,t4,4.987564808252655e-05
Gambia,2025,m1,d3,Unmet demand,t5,4.987250114516881e-05
Gambia,2025,m1,d3,Unmet demand,t6,4.9874730990163125e-05
Gambia,2025,m1,d3,Unmet demand,t7,4.987585316612253e-05
Gambia,2025,m1,d3,Unmet demand,t8,4.988154140252917e-05
Gambia,2025,m1,d3,Unmet demand,t9,4.9876809198881684e-05
Gambia,2025,m1,d3,Unmet demand,t10,4.9877114229941306e-05
Gambia,2025,m1,d3,Unmet demand,t11,4.987574103276295e-05
Gambia,2025,m1,d3,Unmet demand,t12,4.988488024500101e-05
Gambia,2025,m1,d3,Unmet demand,t13,4.988697678871169e-05
Gambia,2025,m1,d3,Unmet demand,t14,4.9883013049044894e-05
Gambia,2025,m1,d3,Unmet demand,t15,4.987893318657435e-05
Gambia,2025,m1,d3,Unmet demand,t16,4.988227536051204e-05
Gambia,2025,m1,d3,Unmet demand,t17,4.98808829660014e-05
Gambia,2025,m1,d3,Unmet demand,t18,4.9890242604258255e-05
Gambia,2025,m1,d3,Unmet demand,t19,4.9905291565247854e-05
Gambia,2025,m1,d3,Unmet demand,t20,4.995795846350572e-05
Gambia,2025,m1,d3,Unmet demand,t21,4.995496240833021e-05
Gambia,2025,m1,d3,Unmet demand,t22,4.995911540974103e-05
Gambia,2025,m1,d3,Unmet demand,t23,4.9939503269012385e-05
Gambia,2025,m1,d3,Unmet demand,t24,4.991183950272468e-05
Gambia,2025,m1,d3,Storage Charge,t1,-0.029504647541776646
Gambia,2025,m1,d3,Storage Charge,t2,-0.009372516633222257
Gambia,2025,m1,d3,Storage Charge,t3,-0.006255026956336362
Gambia,2025,m1,d3,Storage Charge,t4,-0.004379368159425203
Gambia,2025,m1,d3,Storage Charge,t5,-0.0034398857301974257
Gambia,2025,m1,d3,Storage Charge,t6,-0.0028639928732440254
Gambia,2025,m1,d3,Storage Charge,t7,-0.0024732052374700285
Gambia,2025,m1,d3,Storage Charge,t8,-0.0021862038387640923
Gambia,2025,m1,d3,Storage Charge,t9,-0.001970455905999628
Gambia,2025,m1,d3,Storage Charge,t10,-0.0017967000333373629
Gambia,2025,m1,d3,Storage Charge,t11,-0.0016548519513508255
Gambia,2025,m1,d3,Storage Charge,t12,-0.0015326399895303582
Gambia,2025,m1,d3,Storage Charge,t13,-0.0014302420889539106
Gambia,2025,m1,d3,Storage Charge,t14,-0.0013425725476625336
Gambia,2025,m1,d3,Storage Charge,t15,-0.0012648054572161824
Gambia,2025,m1,d3,Storage Charge,t16,-0.001193248042713711
Gambia,2025,m1,d3,Storage Charge,t17,-0.0011290323864714003
Gambia,2025,m1,d3,Storage Charge,t18,-0.0010675938239993398
Gambia,2025,m1,d3,Storage Charge,t19,-0.0010090688977527546
Gambia,2025,m1,d3,Storage Charge,t20,-0.0009462331105548296
Gambia,2025,m1,d3,Storage Charge,t21,-0.0008952834313882769
Gambia,2025,m1,d3,Storage Charge,t22,-0.0008426749684072079
Gambia,2025,m1,d3,Storage Charge,t23,-0.0007899876044678406
Gambia,2025,m1,d3,Storage Charge,t24,-0.0007261866068918648
Gambia,2025,m1,d3,Demand,t1,79.43089346401257
Gambia,2025,m1,d3,Demand,t2,76.28560714588895
Gambia,2025,m1,d3,Demand,t3,73.14032090954275
Gambia,2025,m1,d3,Demand,t4,71.043463364127
Gambia,2025,m1,d3,Demand,t5,69.99503459141911
Gambia,2025,m1,d3,Demand,t6,71.043463364127
Gambia,2025,m1,d3,Demand,t7,71.56767779136966
Gambia,2025,m1,d3,Demand,t8,74.18874968225062
Gambia,2025,m1,d3,Demand,t9,76.80982157313161
Gambia,2025,m1,d3,Demand,t10,80.47932223672046
Gambia,2025,m1,d3,Demand,t11,81.00353658218567
