z,uni,y,q,value
Gambia,Demand: GWh,2025,m1,59.4682527170739
Gambia,Demand: GWh,2025,m2,53.28372602018801
Gambia,Demand: GWh,2025,m3,61.92367286840922
Gambia,Demand: GWh,2025,m4,61.38867624173843
Gambia,Demand: GWh,2025,m5,63.78987605692447
Gambia,Demand: GWh,2025,m6,64.35310855375947
Gambia,Demand: GWh,2025,m7,65.15126079820925
Gambia,Demand: GWh,2025,m8,64.41473959687178
Gambia,Demand: GWh,2025,m9,62.72489869215114
Gambia,Demand: GWh,2025,m10,67.2350129561211
Gambia,Demand: GWh,2025,m11,63.87450082625558
Gambia,Demand: GWh,2025,m12,60.830161672295276
Gambia,Demand: GWh,2030,m1,86.55769268307917
Gambia,Demand: GWh,2030,m2,77.67331256239632
Gambia,Demand: GWh,2030,m3,89.46068206938729
Gambia,Demand: GWh,2030,m4,88.30398400528045
Gambia,Demand: GWh,2030,m5,91.66705316478132
Gambia,Demand: GWh,2030,m6,91.80876730419824
Gambia,Demand: GWh,2030,m7,93.27658848299656
Gambia,Demand: GWh,2030,m8,92.40581562194018
Gambia,Demand: GWh,2030,m9,89.88377049892209
Gambia,Demand: GWh,2030,m10,95.74016295306234
Gambia,Demand: GWh,2030,m11,91.24291988603109
Gambia,Demand: GWh,2030,m12,88.16784776793327
Gambia,Total production: GWh,2025,m1,59.47099335729656
Gambia,Total production: GWh,2025,m2,53.29017298021444
Gambia,Total production: GWh,2025,m3,61.92641309758627
Gambia,Total production: GWh,2025,m4,61.39132784011296
Gambia,Total production: GWh,2025,m5,63.79338238107006
Gambia,Total production: GWh,2025,m6,64.3598958830672
Gambia,Total production: GWh,2025,m7,65.15476409265094
Gambia,Total production: GWh,2025,m8,64.42260271584854
Gambia,Total production: GWh,2025,m9,62.73226893475331
Gambia,Total production: GWh,2025,m10,67.2385127951806
Gambia,Total production: GWh,2025,m11,63.8771487901456
Gambia,Total production: GWh,2025,m12,60.832900417964744
Gambia,Total production: GWh,2030,m1,88.09635279666709
Gambia,Total production: GWh,2030,m2,79.20920312721422
Gambia,Total production: GWh,2030,m3,91.42496966389372
Gambia,Total production: GWh,2030,m4,90.33400837533442
Gambia,Total production: GWh,2030,m5,93.39367130495992
Gambia,Total production: GWh,2030,m6,93.38600076760167
Gambia,Total production: GWh,2030,m7,94.92299819545333
Gambia,Total production: GWh,2030,m8,94.03280337234364
Gambia,Total production: GWh,2030,m9,91.53080309625888
Gambia,Total production: GWh,2030,m10,97.42418028217921
Gambia,Total production: GWh,2030,m11,92.11996676485346
Gambia,Total production: GWh,2030,m12,89.8016933440625
Gambia,Unmet demand: GWh,2025,m1,3.711351220029545e-05
Gambia,Unmet demand: GWh,2025,m2,3.348709681010888e-05
Gambia,Unmet demand: GWh,2025,m3,3.714534523390055e-05
Gambia,Unmet demand: GWh,2025,m4,3.5966032126594293e-05
Gambia,Unmet demand: GWh,2025,m5,3.252734974583765e-05
Gambia,Unmet demand: GWh,2025,m6,3.150717512244166e-05
Gambia,Unmet demand: GWh,2025,m7,3.254306308018651e-05
Gambia,Unmet demand: GWh,2025,m8,3.254666916691864e-05
Gambia,Unmet demand: GWh,2025,m9,3.149788581701924e-05
Gambia,Unmet demand: GWh,2025,m10,3.253955562065193e-05
Gambia,Unmet demand: GWh,2025,m11,3.60262669497543e-05
Gambia,Unmet demand: GWh,2025,m12,3.714147345213865e-05
Gambia,Unmet demand: GWh,2030,m1,7.08316319488842e-06
Gambia,Unmet demand: GWh,2030,m2,6.369416970881848e-06
Gambia,Unmet demand: GWh,2030,m3,6.9745867249996766e-06
Gambia,Unmet demand: GWh,2030,m4,6.682446999412344e-06
Gambia,Unmet demand: GWh,2030,m5,7.007154615809081e-06
Gambia,Unmet demand: GWh,2030,m6,7.080708910873726e-06
Gambia,Unmet demand: GWh,2030,m7,7.338213429942226e-06
Gambia,Unmet demand: GWh,2030,m8,7.321234425354048e-06
Gambia,Unmet demand: GWh,2030,m9,6.848108639243214e-06
Gambia,Unmet demand: GWh,2030,m10,7.068499648710615e-06
Gambia,Unmet demand: GWh,2030,m11,7.384429288086266e-06
Gambia,Unmet demand: GWh,2030,m12,7.088184295891586e-06
Gambia,Surplus generation: GWh,2025,m1,5.685257246530551e-05
Gambia,Surplus generation: GWh,2025,m2,5.145088006067669e-05
Gambia,Surplus generation: GWh,2025,m3,5.6772429711692435e-05
Gambia,Surplus generation: GWh,2025,m4,5.4896013859831764e-05
Gambia,Surplus generation: GWh,2025,m5,7.271289302710196e-05
Gambia,Surplus generation: GWh,2025,m6,7.021541858281026e-05
