,Angola,Burundi,Cameroon,CAR,Congo,Gabon,EquatorialGuinea,DRC,Rwanda,STP,Chad
1,2159.960687,60.88029108,879.8679204,21.22571429,337.3339882,329.86014,357.0905848,1958.894379,180.1326227,19.646,78.375
2,2217.859896,64.11616189,904.4504131,21.85,341.5147348,339.6649,361,1988.388911,185.1124413,19.437,86.6875
3,2198.545277,67.20551613,849.796449,21.53785714,324.7917485,349.294575,352.4912728,2003.341,187.0204565,19.228,95
4,2112.495507,65.98633333,837.1945678,20.60142857,348.5697446,340.540325,335.9797426,2003.341,186.4922404,19.019,99.75
5,2163.476401,70.06425806,867.4538182,19.97714286,341.2534381,336.1632,339.1532679,1973.57337,190.0520638,18.392,96.1875
6,1910.088779,69.87053333,838.9339274,19.35285714,352.7504912,302.89705,335.6577908,1832.928147,192.5101067,18.601,89.775
7,1811.237261,62.3946129,814.4326844,18.72857143,333.1532417,276.6343,318.4103707,1793.397281,192.8435534,19.646,80.75
8,1827.979387,69.69025806,796.9844071,18.88464286,349.6149312,271.38175,315.2368455,1832.928147,195.8395782,20.064,75.525
9,1939.110833,67.03146667,813.1949796,19.35285714,352.7504912,291.516525,310.7295197,1929.946041,191.3507957,18.601,80.75
10,2090.737848,67.18854839,838.005464,19.50892857,349.6149312,315.153,328.2988916,1944.351936,196.2161602,19.646,88.5875
11,2114.185497,68.76463333,852.488297,19.97714286,361.1119843,325.6581,339.1532679,1944.351936,199.1533728,20.9,87.875
12,2196.856774,67.31667581,894.1619511,20.60142857,399,329.1598,357.3665435,1929.946041,195.843188,20.064,80.75
