,Angola,Burundi,Cameroon,CAR,Congo,Gabon,EquatorialGuinea,DRC,Rwanda,STP,Chad
1,0.819,0.602,0.713,0.826,0.827,0.94,0.94,0.819,0.697,0.600,0.713
2,0.788,0.569,0.687,0.813,0.779,0.885,0.885,0.804,0.682,0.580,0.687
3,0.777,0.569,0.666,0.811,0.752,0.85,0.85,0.795,0.672,0.570,0.666
4,0.755,0.571,0.654,0.800,0.747,0.815,0.815,0.787,0.667,0.570,0.654
5,0.748,0.580,0.663,0.805,0.741,0.78,0.78,0.786,0.675,0.580,0.663
6,0.740,0.640,0.686,0.829,0.741,0.77,0.77,0.794,0.676,0.620,0.686
7,0.736,0.666,0.682,0.868,0.747,0.76,0.76,0.795,0.690,0.620,0.682
8,0.791,0.765,0.702,0.921,0.733,0.72,0.7,0.800,0.737,0.650,0.702
9,0.814,0.808,0.712,0.895,0.747,0.73,0.73,0.808,0.787,0.670,0.712
10,0.825,0.830,0.754,0.884,0.795,0.81,0.8,0.825,0.817,0.670,0.754
11,0.833,0.855,0.779,0.895,0.800,0.83,0.83,0.833,0.823,0.670,0.779
12,0.844,0.856,0.795,0.895,0.797,0.86,0.86,0.838,0.823,0.670,0.795
13,0.803,0.836,0.798,0.868,0.789,0.88,0.88,0.837,0.797,0.650,0.798
14,0.802,0.845,0.796,0.853,0.803,0.88,0.88,0.835,0.803,0.660,0.796
15,0.803,0.850,0.813,0.837,0.827,0.88,0.88,0.835,0.812,0.670,0.813
16,0.813,0.840,0.814,0.853,0.821,0.89,0.89,0.839,0.822,0.670,0.814
17,0.836,0.832,0.882,0.895,0.816,0.87,0.87,0.842,0.814,0.700,0.882
18,0.853,0.887,0.943,0.974,0.813,0.84,0.835,0.852,0.872,0.950,0.943
19,0.968,1.000,0.970,1.000,0.835,0.81,0.8,0.868,1.000,1.000,0.970
20,1.000,0.989,1.000,0.974,1.000,0.95,0.95,0.910,0.988,0.970,1.000
21,0.977,0.961,0.965,0.895,0.992,0.99,0.99,0.902,0.945,0.920,0.965
22,0.955,0.893,0.901,0.868,0.960,1,1,0.877,0.851,0.800,0.901
23,0.904,0.793,0.826,0.832,0.973,1,1,0.858,0.777,0.710,0.826
24,0.847,0.686,0.751,0.842,0.928,0.98,0.98,0.844,0.728,0.650,0.751
