Technology,Hourly Variation,RE Technology
GT,0,0
CCGT,0,0
COAL,0,0
STOHY,0,1
WIND,1,1
PV,1,1
BIOGAS,0,1
INT,0,0
CHP,0,0
ICE,0,0
BIOMAS,0,1
ROR,0,1
ST,0,0
CSP,0,1
PVwSTO,1,1
STOPV,0,1
STORAGE,0,0
MPAOpt,0,1
