Fuel,Index
Coal,1
Gas,2
Water,3
PV,4
OnshoreWind,5
Import,6
HFO,7
LFO,8
Uranium,9
CSP,10
Battery,11
Diesel,12
Biomass,13
Geothermal,14
LNG,15
OffshoreWind,16
